StrainIndex  Lineage  Cluster  Name
1            4        6        ERR069738
2            4        2        ERR065974
3            4        4        ERR129065
4            2        7        ERR129037
5            4        9        ERR124247
6            3        10       ERR124222
7            4        8        ERR065305
8            3        10       ERR069786
9            4        9        ERR129179
10           4        9        ERR129176
11           4        6        ERR069709
12           2        7        ERR067985
13           3        10       ERR129212
14           4        6        ERR068037
15           3        5        ERR069814
16           4        9        ERR124241
17           4        8        ERR069795
18           4        9        ERR124293
19           4        6        ERR069735
20           1        1        ERR069773
21           4        4        ERR129029
22           3        10       ERR124226
23           3        10       ERR129196
24           2        3        ERR069823
25           4        9        ERR124319
26           4        6        ERR068001
27           4        9        ERR129117
28           3        5        ERR069764
29           3        5        ERR068007
30           4        8        ERR068008
31           4        9        ERR069703
32           4        6        ERR065325
33           2        3        ERR124256
34           4        9        ERR129087
35           4        6        ERR069819
36           4        8        ERR129129
37           4        6        ERR065960
38           4        8        ERR069796
39           2        7        ERR065326
40           3        5        ERR069712
41           2        3        ERR124244
42           3        10       ERR129075
43           2        7        ERR069713
44           4        4        ERR069826
45           4        2        ERR065341
46           4        8        ERR069771
47           3        10       ERR069706
48           4        8        ERR065970
49           4        2        ERR129130
50           4        6        ERR129096
51           4        4        ERR129107
52           2        3        ERR069809
53           1        1        ERR065302
54           3        5        ERR129187
55           3        10       ERR069686
56           3        10       ERR069824
57           2        3        ERR068048
58           4        8        ERR065972
59           4        9        ERR129164
60           4        6        ERR069688
61           4        9        ERR069685
62           4        6        ERR124307
63           4        9        ERR067962
64           4        6        ERR124257
65           2        7        ERR129127
66           3        10       ERR065301
67           2        7        ERR124287
68           4        9        ERR068025
69           2        3        ERR067964
70           4        9        ERR069811
71           2        7        ERR069727
72           4        8        ERR129063
73           3        10       ERR065332
74           3        5        ERR129028
75           4        8        ERR065287
76           4        9        ERR129213
77           4        4        ERR129155
78           2        3        ERR129042
79           4        9        ERR129148
80           1        1        ERR129040
81           2        3        ERR069835
82           2        7        ERR129146
83           3        10       ERR129102
84           3        10       ERR069729
85           4        9        ERR129152
86           3        10       ERR069748
87           3        10       ERR069843
88           4        8        ERR124229
89           4        9        ERR129088
90           2        7        ERR069752
91           2        3        ERR065350
92           4        8        ERR129149
93           2        7        ERR129214
94           4        8        ERR069833
95           2        7        ERR068046
96           2        7        ERR129215
97           4        8        ERR129140
98           4        8        ERR069831
99           3        5        ERR068014
100          4        8        ERR124315
101          3        10       ERR124255
102          3        10       ERR065342
103          3        10       ERR124235
104          2        7        ERR129159
105          4        6        ERR129204
106          3        5        ERR129094
107          3        10       ERR069689
108          4        8        ERR069751
109          3        10       ERR068005
110          4        9        ERR069749
111          4        9        ERR067981
112          4        6        ERR067996
113          4        4        ERR129052
114          4        4        ERR069785
115          3        10       ERR069792
116          4        9        ERR124271
117          4        8        ERR069687
118          4        9        ERR124277
119          3        10       ERR124228
120          3        10       ERR129044
121          4        6        ERR065353
122          4        9        ERR129074
123          4        8        ERR069817
124          3        5        ERR065953
125          2        7        ERR129076
126          2        7        ERR129154
127          3        10       ERR069725
128          2        7        ERR068040
129          3        5        ERR129051
130          4        9        ERR129157
131          3        5        ERR124311
132          2        3        ERR069746
133          3        10       ERR068031
134          2        7        ERR067986
135          2        7        ERR124291
136          2        7        ERR129055
137          4        4        ERR069780
138          4        9        ERR065327
139          2        7        ERR069822
140          4        8        ERR129207
141          4        9        ERR124288
142          3        10       ERR129026
143          2        7        ERR124218
144          4        4        ERR068027
145          4        6        ERR069710
146          2        7        ERR065310
147          4        8        ERR129160
148          4        9        ERR065300
149          3        5        ERR069789
150          4        6        ERR065343
151          4        4        ERR069802
152          3        5        ERR129027
153          4        8        ERR129170
154          4        9        ERR129048
155          3        5        ERR065968
156          4        2        ERR065965
157          4        8        ERR068044
158          3        10       ERR129180
159          4        6        ERR068016
160          4        9        ERR065324
161          4        8        ERR129112
162          4        9        ERR129158
163          3        10       ERR069698
164          2        3        ERR069812
165          2        7        ERR124302
166          3        5        ERR129083
167          3        10       ERR065354
168          4        8        ERR068017
169          4        6        ERR129066
170          4        9        ERR129039
171          4        9        ERR065329
172          4        8        ERR124269
173          4        9        ERR129200
174          4        6        ERR067995
175          4        9        ERR068012
176          3        10       ERR124274
177          4        2        ERR067993
178          2        3        ERR069708
179          4        4        ERR129106
180          4        8        ERR069717
181          4        8        ERR067974
182          2        7        ERR129210
183          4        8        ERR129108
184          3        5        ERR129132
185          4        8        ERR069711
186          4        9        ERR068019
187          4        9        ERR129099
188          4        8        ERR129059
189          2        3        ERR065292
