2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
688       717       4               2                0.9        ERR065974
1189      1199      4               25               2.2        ERR124226
1189      1199      4               28               2.2        ERR124319
688       717       4               50               0.8        ERR065341
688       717       4               54               0.9        ERR129130
1189      1199      4               148              2.2        ERR124288
688       717       4               163              0.9        ERR065965
1189      1199      4               250              2.2        ERR069769
688       717       4               273              0.9        ERR124278
1189      1199      4               412              2.2        ERR124294
688       717       4               418              0.9        ERR065289
688       717       4               492              0.9        ERR065296
1189      1199      4               587              2.2        ERR124297
1189      1199      4               606              2.2        ERR124286
