9 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
913       951       1               1                14.4       ERR124247
833       1012      1               9                11.3       ERR068008
365       429       1               17               15.6       ERR129164
833       1012      1               17               10.9       ERR129164
365       429       1               23               15.6       ERR129088
833       1012      1               23               10.9       ERR129088
591       1012      1               33               15.1       ERR124271
847       1012      1               39               15.4       ERR124218
833       1012      1               56               11.3       ERR129108
913       951       1               60               14.4       ERR069820
984       1012      5               78               13.0       ERR129181
591       1012      1               93               15.1       ERR124289
365       429       1               98               15.6       ERR069683
833       1012      1               98               10.9       ERR069683
833       1012      1               101              11.3       ERR069745
591       1012      1               106              15.1       ERR124309
591       1012      1               111              15.1       ERR129184
766       813       5               116              5.8        ERR069807
1         131       6               122              1.5        ERR067975
492       717       6               122              19.6       ERR067975
833       1012      1               124              11.3       ERR124285
591       1012      1               131              15.1       ERR065318
153       214       2               164              3.8        ERR069758
504       695       5               164              21.1       ERR069758
847       1012      1               171              15.4       ERR124306
913       951       1               172              14.4       ERR129084
847       1012      1               193              15.4       ERR065312
