StrainIndex  Lineage  Cluster  Name
1            5        4        ERR069738
2            2        5        ERR065974
3            5        9        ERR129065
4            5        9        ERR129037
5            4        8        ERR069700
6            1        2        ERR124247
7            5        10       ERR124222
8            5        7        ERR065305
9            3        6        ERR069786
10           5        10       ERR129179
11           3        6        ERR129176
12           3        6        ERR069709
13           5        9        ERR067985
14           2        5        ERR129212
15           5        4        ERR068037
16           5        9        ERR069814
17           5        10       ERR124241
18           3        6        ERR069795
19           5        10       ERR124293
20           5        9        ERR069735
21           4        8        ERR069773
22           4        8        ERR067966
23           5        10       ERR129029
24           5        10       ERR129105
25           5        7        ERR124226
26           5        10       ERR129196
27           4        8        ERR069823
28           3        6        ERR124319
29           3        6        ERR068001
30           3        6        ERR129117
31           2        3        ERR069764
32           5        9        ERR068007
33           5        9        ERR068008
34           4        8        ERR067969
35           5        10       ERR069703
36           5        10       ERR129195
37           4        8        ERR065325
38           4        8        ERR124256
39           5        10       ERR129087
40           5        9        ERR069819
41           5        7        ERR129129
42           4        8        ERR065960
43           5        9        ERR069796
44           5        9        ERR065326
45           4        8        ERR069712
46           4        8        ERR124244
47           5        10       ERR129075
48           5        9        ERR069713
49           2        1        ERR069826
50           2        5        ERR065341
51           5        9        ERR069771
52           5        10       ERR069706
53           3        6        ERR065970
54           2        5        ERR129130
55           5        4        ERR129096
56           5        10       ERR129107
57           4        8        ERR069809
58           4        8        ERR065302
59           5        7        ERR129187
60           4        8        ERR124314
61           5        4        ERR069686
62           3        6        ERR069824
63           4        8        ERR068048
64           5        7        ERR065972
65           1        2        ERR129164
66           5        4        ERR069688
67           3        6        ERR069685
68           5        4        ERR124307
69           5        10       ERR067962
70           2        3        ERR124257
71           5        9        ERR129127
72           5        10       ERR065301
73           4        8        ERR124287
74           4        8        ERR068025
75           4        8        ERR067964
76           4        8        ERR069811
77           5        9        ERR069727
78           5        9        ERR129063
79           5        9        ERR065332
80           1        2        ERR129028
81           5        7        ERR065287
82           3        6        ERR129213
83           5        10       ERR129155
84           3        6        ERR129042
85           5        10       ERR129148
86           4        8        ERR129040
87           4        8        ERR069835
88           4        8        ERR129146
89           5        9        ERR129102
90           3        6        ERR069729
91           4        8        ERR129152
92           2        5        ERR069748
93           5        10       ERR069843
94           5        7        ERR124229
95           3        6        ERR129088
96           5        9        ERR069752
97           4        8        ERR065350
98           5        7        ERR129149
99           5        9        ERR129214
100          5        7        ERR069833
101          4        8        ERR124310
102          5        9        ERR068046
103          5        9        ERR129215
104          5        9        ERR129140
105          5        9        ERR069831
106          5        7        ERR068014
107          5        9        ERR124315
108          5        10       ERR124255
109          5        10       ERR065342
110          3        6        ERR124235
111          5        9        ERR129159
112          5        4        ERR129204
113          5        7        ERR129094
114          2        5        ERR069689
115          3        6        ERR069751
116          3        6        ERR068005
117          5        10       ERR069749
118          1        2        ERR067981
119          5        4        ERR067996
120          5        10       ERR129052
121          5        7        ERR069785
122          2        3        ERR069792
123          1        2        ERR124271
124          5        7        ERR069687
125          5        10       ERR124277
126          2        5        ERR124228
127          5        10       ERR129044
128          3        6        ERR065353
129          5        10       ERR129074
130          5        9        ERR069817
131          3        6        ERR065953
132          4        8        ERR129076
133          5        9        ERR129154
134          5        9        ERR069725
135          5        9        ERR068040
136          4        8        ERR129051
137          3        6        ERR129157
138          2        3        ERR124311
139          4        8        ERR069746
140          2        3        ERR068031
141          5        9        ERR067986
142          5        9        ERR124291
143          4        8        ERR129055
144          2        1        ERR069780
145          4        8        ERR065327
146          5        9        ERR069822
147          5        7        ERR129207
148          3        6        ERR124288
149          5        9        ERR129026
150          5        9        ERR124218
151          5        10       ERR068027
152          3        6        ERR069710
153          5        9        ERR065310
154          5        9        ERR129160
155          5        10       ERR065300
156          5        9        ERR069789
157          5        4        ERR065343
158          5        10       ERR069802
159          3        6        ERR129027
160          5        9        ERR129170
161          4        8        ERR129048
162          4        8        ERR065968
163          2        5        ERR065965
164          5        7        ERR068044
165          2        5        ERR129180
166          2        1        ERR068016
167          5        10       ERR065324
168          5        9        ERR129112
169          1        2        ERR129158
170          5        9        ERR069698
171          4        8        ERR069812
172          5        9        ERR124302
173          1        2        ERR129083
174          2        3        ERR065354
175          4        8        ERR069787
176          5        9        ERR068017
177          2        1        ERR129066
178          4        8        ERR129039
179          5        10       ERR065329
180          5        9        ERR124269
181          5        10       ERR129200
182          5        4        ERR067995
183          1        2        ERR068012
184          5        9        ERR124274
185          2        5        ERR067993
186          3        6        ERR069708
187          5        10       ERR129106
188          5        9        ERR069717
189          5        7        ERR067974
190          4        8        ERR069744
191          5        9        ERR129210
192          5        9        ERR129108
193          4        8        ERR129132
194          3        6        ERR069711
195          5        10       ERR068019
196          5        10       ERR129099
197          5        9        ERR129059
198          4        8        ERR065292
199          2        5        ERR067961
200          2        3        ERR069820
201          1        2        ERR129216
202          5        10       ERR129116
203          5        10       ERR124250
204          4        8        ERR069690
