StrainIndex  Lineage  Cluster  Name
1            2        7        ERR069738
2            3        5        ERR129037
3            2        7        ERR069700
4            3        6        ERR124222
5            2        7        ERR065305
6            3        6        ERR129179
7            3        5        ERR129176
8            3        5        ERR067985
9            3        4        ERR129212
10           2        7        ERR068037
11           3        5        ERR069814
12           3        6        ERR124241
13           2        7        ERR069795
14           3        6        ERR124293
15           3        4        ERR069735
16           2        3        ERR069773
17           2        7        ERR067966
18           3        6        ERR129105
19           3        6        ERR129196
20           3        6        ERR069823
21           3        5        ERR124319
22           3        5        ERR129117
23           3        5        ERR068007
24           2        7        ERR068008
25           2        7        ERR067969
26           3        6        ERR069703
27           3        6        ERR129195
28           2        7        ERR065325
29           3        6        ERR124256
30           3        6        ERR129087
31           2        7        ERR129129
32           2        7        ERR065960
33           2        7        ERR069796
34           3        5        ERR065326
35           3        6        ERR069712
36           1        1        ERR124244
37           3        6        ERR129075
38           3        5        ERR069713
39           2        7        ERR069771
40           3        6        ERR069706
41           2        7        ERR065970
42           2        7        ERR129096
43           3        6        ERR069809
44           2        3        ERR065302
45           3        4        ERR129187
46           2        7        ERR124314
47           2        7        ERR069686
48           2        7        ERR069824
49           3        6        ERR068048
50           2        7        ERR065972
51           2        7        ERR069688
52           3        4        ERR069685
53           2        7        ERR124307
54           3        6        ERR067962
55           3        5        ERR124257
56           3        5        ERR129127
57           3        6        ERR065301
58           3        2        ERR068025
59           3        6        ERR067964
60           3        2        ERR069811
61           3        5        ERR069727
62           2        7        ERR129063
63           2        7        ERR129028
64           2        7        ERR065287
65           3        5        ERR129213
66           3        5        ERR129042
67           3        6        ERR129148
68           2        3        ERR129040
69           3        6        ERR069835
70           2        7        ERR069729
71           3        2        ERR129152
72           3        4        ERR069748
73           3        6        ERR069843
74           2        7        ERR124229
75           3        5        ERR069752
76           3        6        ERR065350
77           2        7        ERR129149
78           3        5        ERR129214
79           2        7        ERR069833
80           3        5        ERR068046
81           3        5        ERR129215
82           2        7        ERR129140
83           2        7        ERR069831
84           3        4        ERR068014
85           2        7        ERR124315
86           3        6        ERR124255
87           3        6        ERR065342
88           3        5        ERR124235
89           2        7        ERR129159
90           2        7        ERR129204
91           3        4        ERR129094
92           3        4        ERR069689
93           2        7        ERR069751
94           2        3        ERR068005
95           3        6        ERR069749
96           2        7        ERR067996
97           2        7        ERR069785
98           2        7        ERR069792
99           2        7        ERR069687
100          3        6        ERR124277
101          3        4        ERR129044
102          3        5        ERR065353
103          3        6        ERR129074
104          2        7        ERR069817
105          2        7        ERR129154
106          3        5        ERR068040
107          3        6        ERR129051
108          3        5        ERR129157
109          3        6        ERR124311
110          3        6        ERR069746
111          2        7        ERR068031
112          3        5        ERR067986
113          3        5        ERR124291
114          3        2        ERR065327
115          3        5        ERR069822
116          2        7        ERR129207
117          3        5        ERR124288
118          3        6        ERR124218
119          3        5        ERR065310
120          2        7        ERR129160
121          3        6        ERR065300
122          3        5        ERR069789
123          2        7        ERR065343
124          2        3        ERR129027
125          2        7        ERR129170
126          3        6        ERR065968
127          2        7        ERR068044
128          3        4        ERR129180
129          3        6        ERR065324
130          2        7        ERR129112
131          3        6        ERR069812
132          2        7        ERR124302
133          2        7        ERR129083
134          2        7        ERR065354
135          2        7        ERR069787
136          2        7        ERR068017
137          3        2        ERR129039
138          3        6        ERR065329
139          2        7        ERR124269
140          3        6        ERR129200
141          2        7        ERR067995
142          3        5        ERR069708
143          2        7        ERR069717
144          2        7        ERR067974
145          2        7        ERR069744
146          3        5        ERR129210
147          2        7        ERR129108
148          3        6        ERR129132
149          2        7        ERR069711
150          3        6        ERR068019
151          3        6        ERR129099
152          2        7        ERR129059
153          3        6        ERR065292
154          2        7        ERR129216
155          3        6        ERR124250
156          3        6        ERR069690
157          3        6        ERR065973
158          3        6        ERR069825
159          2        7        ERR069737
160          3        6        ERR124316
161          3        6        ERR129144
162          3        2        ERR124232
163          3        6        ERR068018
164          3        5        ERR124296
165          2        7        ERR067960
166          2        7        ERR068050
167          2        3        ERR068039
168          3        5        ERR068004
169          2        7        ERR129032
170          2        7        ERR124248
171          3        5        ERR068041
172          3        6        ERR129086
173          2        7        ERR065317
174          3        6        ERR069834
175          3        6        ERR069720
176          2        7        ERR129050
177          3        5        ERR129064
178          2        7        ERR069774
179          3        4        ERR129206
180          3        5        ERR069801
181          3        5        ERR129080
182          2        7        ERR069829
183          3        6        ERR129077
184          3        2        ERR067994
185          3        6        ERR069726
186          2        7        ERR065338
187          2        7        ERR129120
188          3        6        ERR124305
189          3        4        ERR065295
190          3        6        ERR069768
191          2        7        ERR129197
192          3        6        ERR065967
193          2        3        ERR124223
194          3        5        ERR129167
195          3        6        ERR129143
196          3        6        ERR124299
197          3        6        ERR129090
198          3        6        ERR068002
199          3        6        ERR068003
200          3        5        ERR124268
201          2        7        ERR129181
202          2        7        ERR069696
203          2        7        ERR129072
204          3        6        ERR065344
205          3        4        ERR068006
206          3        6        ERR068035
207          3        4        ERR069798
208          3        5        ERR069760
209          2        7        ERR067984
210          3        4        ERR069782
211          3        6        ERR124236
212          2        7        ERR068045
213          3        6        ERR129045
214          2        7        ERR069781
215          3        4        ERR069832
216          2        7        ERR129186
217          3        5        ERR124308
218          3        6        ERR129043
219          2        7        ERR069805
220          2        7        ERR124220
221          3        5        ERR068021
222          3        6        ERR067998
223          3        4        ERR065971
224          2        7        ERR129183
225          2        7        ERR068034
226          3        6        ERR068020
227          2        7        ERR069767
228          2        7        ERR069691
229          3        4        ERR069716
230          2        7        ERR129153
231          3        6        ERR129057
232          3        6        ERR067977
233          3        5        ERR129131
234          2        7        ERR069772
235          2        7        ERR124281
236          3        4        ERR069750
237          3        6        ERR069715
238          3        6        ERR124227
239          3        4        ERR069813
240          2        7        ERR124267
241          3        2        ERR124254
242          3        4        ERR129168
243          3        6        ERR124320
244          3        2        ERR065298
245          3        5        ERR069804
246          3        5        ERR065303
247          3        4        ERR065957
248          2        7        ERR069692
249          2        3        ERR069759
250          2        7        ERR069723
251          3        6        ERR065962
252          2        7        ERR069745
253          2        7        ERR129081
254          3        4        ERR069742
255          2        7        ERR129142
256          2        7        ERR069806
257          3        5        ERR129068
258          2        3        ERR069741
259          2        7        ERR129136
260          3        6        ERR129062
261          2        7        ERR124284
262          3        5        ERR129079
263          2        7        ERR124260
264          3        4        ERR069701
265          2        7        ERR129162
266          2        3        ERR129124
267          3        5        ERR124246
268          2        7        ERR065299
269          3        6        ERR124233
270          3        6        ERR069818
271          3        6        ERR068029
272          3        6        ERR124279
273          2        7        ERR129175
274          3        4        ERR065294
275          3        5        ERR129139
276          2        7        ERR069778
277          3        4        ERR129128
278          3        6        ERR129163
279          3        5        ERR068023
280          3        6        ERR069791
281          2        7        ERR124263
282          2        7        ERR069704
283          3        6        ERR129134
284          2        7        ERR129025
285          3        6        ERR065351
286          2        7        ERR129209
287          2        7        ERR069761
288          2        7        ERR129034
289          3        4        ERR129172
290          3        5        ERR124240
291          2        3        ERR065315
292          3        6        ERR069731
293          2        7        ERR069828
294          3        6        ERR069755
295          2        7        ERR129156
296          3        6        ERR067988
297          3        6        ERR069714
298          3        6        ERR068036
299          3        6        ERR129035
300          2        7        ERR069697
301          3        6        ERR069838
302          3        5        ERR124294
303          3        5        ERR067975
304          2        7        ERR129046
305          3        6        ERR129053
306          3        6        ERR124285
307          3        5        ERR129151
308          2        7        ERR124225
309          2        3        ERR065321
310          2        7        ERR068011
311          3        2        ERR124264
312          2        7        ERR069707
313          3        5        ERR124252
314          2        7        ERR069836
315          3        5        ERR068047
316          2        7        ERR065288
317          3        6        ERR124258
318          3        6        ERR065314
319          3        6        ERR124301
320          2        7        ERR129091
321          3        5        ERR067982
322          2        7        ERR129118
323          3        6        ERR068010
324          3        4        ERR068030
325          3        6        ERR069728
326          3        2        ERR067997
327          2        7        ERR065291
328          2        7        ERR069730
329          2        7        ERR069763
330          2        7        ERR129202
331          3        6        ERR124290
332          3        5        ERR129178
333          3        6        ERR124265
334          2        7        ERR129121
335          3        5        ERR067968
336          2        7        ERR069739
337          3        2        ERR069766
338          3        6        ERR069765
339          2        7        ERR129123
340          2        7        ERR067965
341          3        4        ERR065969
342          3        6        ERR069842
343          3        5        ERR129185
344          2        7        ERR069810
345          2        7        ERR129174
346          2        7        ERR124318
347          3        5        ERR129177
348          3        4        ERR065352
349          3        6        ERR129113
350          3        6        ERR129182
351          3        4        ERR067983
352          3        5        ERR069784
353          3        6        ERR065347
354          3        6        ERR065290
355          3        4        ERR069693
356          3        2        ERR129169
357          3        6        ERR068013
358          3        5        ERR124242
359          2        7        ERR129138
360          2        7        ERR065337
361          3        5        ERR129137
362          3        6        ERR124231
363          3        6        ERR129036
364          3        6        ERR124304
365          3        5        ERR065308
366          2        7        ERR065958
367          3        6        ERR124282
368          3        4        ERR067989
369          3        6        ERR129078
370          2        7        ERR069747
371          2        7        ERR069732
372          2        7        ERR124251
373          2        7        ERR065975
374          3        6        ERR129135
375          3        6        ERR069699
376          3        5        ERR069702
377          3        6        ERR069793
378          3        6        ERR129119
379          2        7        ERR124234
380          3        6        ERR124273
381          2        7        ERR068038
382          3        5        ERR065964
383          2        7        ERR129125
384          2        7        ERR069705
385          2        7        ERR065328
386          3        6        ERR129031
387          3        6        ERR129049
388          3        6        ERR069799
389          3        6        ERR067990
390          3        6        ERR129058
391          3        4        ERR068009
392          2        7        ERR124303
393          3        6        ERR065330
394          3        6        ERR129173
395          2        7        ERR124313
396          2        7        ERR069758
397          3        6        ERR069719
398          3        2        ERR124317
399          2        3        ERR129188
400          2        7        ERR124280
401          3        5        ERR069837
402          3        4        ERR069779
403          2        7        ERR129033
404          2        3        ERR069775
405          3        6        ERR069770
406          2        7        ERR069684
407          3        6        ERR124306
408          3        5        ERR069815
409          3        6        ERR069721
410          3        6        ERR069733
411          2        7        ERR129190
412          2        7        ERR069797
413          2        7        ERR069816
414          2        7        ERR069753
415          2        7        ERR069776
416          3        6        ERR129104
417          2        7        ERR069783
418          2        7        ERR129103
419          2        7        ERR069695
420          3        6        ERR067963
421          2        3        ERR129115
422          3        6        ERR069762
423          3        6        ERR067970
424          2        7        ERR069794
425          2        7        ERR124295
426          2        7        ERR069821
427          3        6        ERR067992
428          2        7        ERR065340
429          3        6        ERR069740
430          2        7        ERR065963
431          3        6        ERR124275
432          3        5        ERR067972
433          3        5        ERR124297
434          2        7        ERR068024
435          3        6        ERR067999
436          2        7        ERR065323
437          3        6        ERR124237
438          2        7        ERR067987
439          2        7        ERR065319
440          2        7        ERR065956
441          3        6        ERR129193
442          3        5        ERR129093
443          3        5        ERR069808
444          3        6        ERR129089
445          3        4        ERR129047
446          3        6        ERR065312
447          2        3        ERR067979
448          3        4        ERR129095
449          3        5        ERR124286
450          3        5        ERR129211
451          3        6        ERR129201
452          3        6        ERR068033
453          2        7        ERR124270
454          3        5        ERR124298
455          3        4        ERR129194
456          2        7        ERR129030
