2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1241      1332      3               2                7.5        ERR065974
1241      1332      3               50               7.5        ERR065341
1241      1332      3               54               7.5        ERR129130
1241      1332      3               162              7.5        ERR065965
1241      1332      3               184              7.5        ERR067993
1241      1332      3               272              7.5        ERR124278
1241      1332      3               318              7.5        ERR069803
1241      1332      3               417              7.5        ERR065289
1241      1332      3               454              7.5        ERR069841
1665      2313      3               455              13.4       ERR065955
1241      1332      3               491              7.5        ERR065296
