StrainIndex  Lineage  Cluster  Name
1            2        3        ERR129037
2            1        2        ERR124222
3            2        3        ERR067985
4            2        3        ERR065325
5            1        2        ERR129075
6            2        3        ERR069713
7            1        2        ERR069706
8            2        3        ERR129127
9            1        2        ERR069843
10           2        3        ERR129215
11           1        2        ERR124255
12           2        3        ERR129159
13           2        1        ERR124228
14           2        3        ERR129154
15           2        3        ERR124291
16           2        3        ERR069822
17           2        3        ERR065310
18           2        3        ERR124302
19           2        3        ERR129210
20           2        1        ERR067961
21           1        2        ERR065973
22           2        3        ERR124296
23           2        3        ERR129050
24           2        1        ERR129064
25           2        3        ERR069801
26           2        3        ERR129080
27           1        2        ERR068003
28           2        3        ERR124268
29           1        2        ERR068035
30           2        1        ERR124292
31           2        1        ERR124312
32           2        3        ERR129131
33           2        3        ERR069804
34           2        1        ERR069718
35           2        1        ERR124224
36           2        3        ERR129068
37           1        2        ERR129062
38           2        3        ERR129079
39           2        3        ERR124246
40           2        3        ERR065299
41           1        2        ERR124233
42           2        3        ERR129139
43           1        2        ERR069791
44           2        3        ERR124240
45           1        2        ERR068036
46           2        1        ERR124243
47           2        3        ERR069707
48           2        3        ERR068047
49           1        2        ERR065314
50           2        1        ERR129067
51           2        3        ERR129178
52           1        2        ERR069842
53           2        3        ERR129177
54           2        3        ERR069839
55           2        3        ERR124242
56           1        2        ERR129036
57           1        2        ERR129078
58           1        2        ERR069699
59           1        2        ERR069793
60           2        3        ERR065964
61           1        2        ERR129031
62           1        2        ERR129049
63           1        2        ERR067990
64           2        3        ERR068000
65           2        1        ERR129073
66           1        2        ERR069762
67           1        2        ERR067999
68           1        2        ERR129193
69           2        3        ERR129093
70           2        3        ERR129211
71           2        3        ERR124298
