7 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
757       766       1               6                1.0        ERR124222
500       540       2               7                2.4        ERR065305
757       766       1               9                1.0        ERR129179
757       766       1               10               0.8        ERR129176
757       766       1               16               1.0        ERR124241
500       540       2               17               2.4        ERR069795
757       766       1               18               1.0        ERR124293
757       766       1               25               0.8        ERR124319
757       766       1               27               0.8        ERR129117
66        165       2               28               0.4        ERR069764
500       540       2               30               2.4        ERR068008
757       766       1               32               1.0        ERR069703
66        165       2               34               0.4        ERR065325
757       766       1               36               1.0        ERR129087
500       540       2               38               2.4        ERR129129
66        165       2               39               0.4        ERR065960
500       540       2               40               2.4        ERR069796
757       766       1               44               1.0        ERR129075
500       540       2               47               2.4        ERR069771
757       766       1               48               1.0        ERR069706
500       540       2               49               2.4        ERR065970
130       154       4               54               1.4        ERR129187
757       766       1               54               0.8        ERR129187
500       540       2               59               2.2        ERR065972
757       766       1               64               1.0        ERR067962
757       766       1               65               1.0        ERR124257
500       540       2               72               2.4        ERR129063
500       540       2               75               2.4        ERR065287
757       766       1               76               0.8        ERR129213
757       766       1               77               0.8        ERR129042
757       766       1               78               1.0        ERR129148
1         407       4               81               2.3        ERR129102
757       766       1               85               1.0        ERR069843
500       540       2               86               2.4        ERR124229
500       540       2               90               2.4        ERR129149
500       540       2               92               2.4        ERR069833
500       540       2               96               2.4        ERR129140
500       540       2               97               2.4        ERR069831
500       540       2               99               2.5        ERR124315
757       766       1               100              1.0        ERR124255
757       766       1               102              0.8        ERR124235
565       590       4               104              5.1        ERR129204
500       540       2               107              2.4        ERR069751
757       766       1               109              1.0        ERR069749
66        165       2               112              0.4        ERR069792
500       540       2               114              2.4        ERR069687
757       766       1               115              1.0        ERR124277
757       766       1               119              1.0        ERR129074
500       540       2               120              2.4        ERR069817
757       766       1               127              0.8        ERR129157
66        165       2               130              0.4        ERR068031
500       540       2               135              2.4        ERR129207
757       766       1               136              0.8        ERR124288
500       540       2               141              2.4        ERR129160
757       766       1               142              1.0        ERR065300
757       766       1               143              1.0        ERR069789
500       540       2               146              2.4        ERR129170
500       540       2               150              2.4        ERR068044
757       766       1               153              1.0        ERR065324
500       540       2               154              2.4        ERR129112
66        165       2               160              0.4        ERR065354
500       540       2               162              2.4        ERR068017
757       766       1               165              1.0        ERR065329
500       540       2               166              2.4        ERR124269
757       766       1               167              1.0        ERR129200
757       766       1               171              0.8        ERR069708
500       540       2               172              2.4        ERR069717
500       540       2               173              2.4        ERR067974
500       540       2               176              2.4        ERR129108
500       540       2               178              2.4        ERR069711
757       766       1               179              1.0        ERR068019
757       766       1               180              1.0        ERR129099
500       540       2               181              2.4        ERR129059
757       766       1               186              1.0        ERR124250
757       766       1               188              1.0        ERR065973
66        165       2               193              0.4        ERR069737
757       766       1               194              1.0        ERR124316
500       540       2               200              2.4        ERR067960
500       540       2               201              2.4        ERR068050
500       540       2               204              2.4        ERR129032
757       766       1               207              1.0        ERR129086
500       540       2               208              2.4        ERR065317
757       766       1               209              1.0        ERR069834
757       766       1               210              1.0        ERR069720
66        165       2               211              0.4        ERR129050
500       540       2               212              2.4        ERR069774
500       540       2               218              2.4        ERR069829
