3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
849       873       3               6                0.2        ERR124222
303       373       1               22               17.8       ERR129029
303       373       1               30               17.0       ERR069764
849       873       3               46               0.2        ERR129075
849       873       3               51               0.2        ERR069706
303       373       1               55               17.8       ERR129107
303       373       1               69               18.7       ERR124257
303       373       1               81               17.8       ERR129155
849       873       3               91               0.2        ERR069843
849       873       3               106              0.2        ERR124255
303       373       1               118              17.8       ERR129052
164       259       3               124              8.2        ERR129044
303       373       1               135              17.8       ERR124311
303       373       1               148              17.8       ERR068027
303       373       1               155              17.8       ERR069802
295       373       1               180              18.4       ERR124274
303       373       1               183              17.8       ERR129106
303       373       1               196              17.8       ERR069820
303       373       1               197              17.8       ERR129116
849       873       3               200              0.2        ERR065973
849       873       3               222              0.2        ERR069720
303       373       1               225              17.8       ERR069830
303       373       1               232              17.8       ERR129147
303       373       1               242              17.8       ERR124219
303       373       1               243              17.8       ERR065345
849       873       3               258              0.2        ERR068003
303       373       1               260              17.0       ERR129181
849       873       3               266              0.2        ERR068035
303       373       1               285              17.8       ERR069800
303       373       1               292              17.8       ERR065311
303       373       1               295              17.8       ERR067967
303       373       1               297              17.0       ERR129161
303       373       1               301              17.8       ERR129057
303       373       1               313              17.8       ERR065966
303       373       1               337              17.8       ERR069790
295       373       1               343              18.4       ERR067978
849       873       3               345              0.2        ERR129062
849       873       3               360              0.2        ERR124233
303       373       1               370              17.8       ERR068015
303       373       1               374              17.8       ERR065355
849       873       3               377              0.2        ERR069791
303       373       1               383              17.8       ERR069807
303       324       1               389              2.9        ERR065315
303       373       1               390              17.8       ERR065346
849       873       3               397              0.2        ERR068036
303       373       1               401              17.8       ERR065306
295       373       1               410              18.4       ERR124272
303       373       1               422              17.8       ERR067980
849       873       3               427              0.2        ERR065314
303       324       1               450              2.9        ERR069739
849       873       3               456              0.2        ERR069842
303       373       1               457              18.7       ERR129185
303       373       1               470              17.8       ERR065290
303       373       1               471              17.8       ERR065322
849       873       3               479              0.2        ERR129036
849       873       3               485              0.2        ERR129078
303       373       1               489              17.0       ERR129208
303       373       1               493              17.8       ERR129135
849       873       3               494              0.2        ERR069699
849       873       3               496              0.2        ERR069793
849       873       3               506              0.2        ERR129031
849       873       3               507              0.2        ERR129049
849       873       3               510              0.2        ERR067990
303       373       1               511              17.8       ERR069694
303       373       1               526              17.8       ERR124245
303       373       1               534              17.8       ERR129084
303       373       1               538              17.8       ERR129192
303       373       1               540              17.8       ERR069736
303       373       1               547              18.7       ERR124238
303       324       1               554              2.9        ERR069695
849       873       3               559              0.2        ERR069762
303       373       1               563              17.8       ERR067973
303       373       1               570              17.8       ERR065331
303       373       1               571              18.7       ERR067972
849       873       3               574              0.2        ERR067999
303       373       1               578              17.8       ERR129141
849       873       3               581              0.2        ERR129193
303       373       1               588              17.0       ERR065348
164       259       3               597              8.2        ERR129194
303       373       1               598              17.8       ERR129171
303       373       1               599              17.8       ERR129122
303       373       1               600              17.0       ERR129100
