StrainIndex  Lineage  Cluster  Name
1            3        5        ERR069738
2            2        2        ERR065974
3            3        4        ERR129065
4            3        5        ERR129037
5            3        4        ERR069700
6            3        5        ERR124247
7            3        4        ERR124222
8            3        5        ERR065305
9            3        4        ERR069786
10           3        5        ERR129179
11           3        5        ERR129176
12           3        4        ERR069709
13           3        5        ERR067985
14           3        4        ERR129212
15           3        5        ERR068037
16           3        4        ERR069814
17           3        5        ERR124241
18           3        4        ERR069795
19           3        5        ERR124293
20           3        5        ERR069735
21           3        4        ERR069773
22           3        4        ERR067966
23           3        4        ERR129029
24           3        5        ERR129105
25           3        4        ERR124226
26           3        5        ERR129196
27           3        3        ERR069823
28           3        5        ERR124319
29           3        4        ERR068001
30           3        5        ERR129117
31           3        3        ERR069764
32           3        4        ERR068007
33           3        5        ERR068008
34           3        4        ERR067969
35           3        5        ERR069703
36           3        5        ERR129195
37           3        4        ERR065325
38           3        3        ERR124256
39           3        5        ERR129087
40           3        5        ERR069819
41           3        5        ERR129129
42           3        4        ERR065960
43           3        5        ERR069796
44           3        5        ERR065326
45           3        3        ERR069712
46           3        4        ERR124244
47           3        4        ERR129075
48           3        5        ERR069713
49           3        4        ERR069826
50           2        2        ERR065341
51           3        5        ERR069771
52           3        4        ERR069706
53           3        4        ERR065970
54           2        2        ERR129130
55           3        5        ERR129096
56           3        5        ERR129107
57           3        3        ERR069809
58           3        4        ERR065302
59           3        4        ERR129187
60           3        4        ERR124314
61           3        5        ERR069686
62           3        4        ERR069824
63           3        3        ERR068048
64           3        5        ERR065972
65           3        3        ERR129164
66           3        5        ERR069688
67           3        4        ERR069685
68           3        5        ERR124307
69           3        5        ERR067962
70           3        4        ERR124257
71           3        5        ERR129127
72           3        5        ERR065301
73           3        4        ERR124287
74           3        5        ERR068025
75           3        3        ERR067964
76           3        5        ERR069811
77           3        5        ERR069727
78           3        5        ERR129063
79           3        4        ERR065332
80           3        4        ERR129028
81           3        5        ERR065287
82           3        5        ERR129213
83           3        5        ERR129155
84           3        5        ERR129042
85           3        5        ERR129148
86           3        4        ERR129040
87           3        3        ERR069835
88           3        4        ERR129146
89           3        5        ERR129102
90           3        4        ERR069729
91           3        5        ERR129152
92           3        4        ERR069748
93           3        4        ERR069843
94           3        5        ERR124229
95           3        3        ERR129088
96           3        5        ERR069752
97           3        3        ERR065350
98           3        5        ERR129149
99           3        5        ERR129214
100          3        5        ERR069833
101          3        5        ERR124310
102          3        5        ERR068046
103          3        5        ERR129215
104          3        5        ERR129140
105          3        5        ERR069831
106          3        4        ERR068014
107          3        5        ERR124315
108          3        4        ERR124255
109          3        5        ERR065342
110          3        5        ERR124235
111          3        5        ERR129159
112          3        5        ERR129204
113          3        4        ERR069689
114          3        4        ERR069751
115          3        4        ERR068005
116          3        5        ERR069749
117          3        3        ERR067981
118          3        5        ERR067996
119          3        4        ERR129052
120          3        5        ERR069785
121          3        4        ERR069792
122          3        3        ERR124271
123          3        5        ERR069687
124          3        5        ERR124277
125          3        4        ERR124228
126          3        4        ERR129044
127          3        4        ERR065353
128          3        5        ERR129074
129          3        5        ERR069817
130          3        4        ERR065953
131          3        4        ERR129076
132          3        5        ERR129154
133          3        4        ERR069725
134          3        5        ERR068040
135          3        3        ERR129051
136          3        5        ERR129157
137          3        4        ERR124311
138          3        3        ERR069746
139          3        4        ERR068031
140          3        5        ERR067986
141          3        5        ERR124291
142          3        4        ERR129055
143          3        4        ERR069780
144          3        5        ERR065327
145          3        5        ERR069822
146          3        5        ERR129207
147          3        5        ERR124288
148          3        4        ERR129026
149          3        5        ERR124218
150          3        4        ERR068027
151          3        4        ERR069710
152          3        5        ERR065310
153          3        5        ERR129160
154          3        5        ERR065300
155          3        4        ERR069789
156          3        5        ERR065343
157          3        5        ERR069802
158          3        4        ERR129027
159          3        5        ERR129170
160          3        5        ERR129048
161          3        3        ERR065968
162          2        2        ERR065965
163          3        5        ERR068044
164          3        4        ERR129180
165          3        5        ERR068016
166          3        5        ERR065324
167          3        5        ERR129112
168          3        3        ERR129158
169          3        4        ERR069698
170          3        3        ERR069812
171          3        5        ERR124302
172          3        4        ERR129083
173          3        4        ERR065354
174          3        5        ERR069787
175          3        5        ERR068017
176          3        5        ERR129066
177          3        5        ERR129039
178          3        5        ERR065329
179          3        5        ERR124269
180          3        5        ERR129200
181          3        5        ERR067995
182          3        3        ERR068012
183          3        4        ERR124274
184          2        2        ERR067993
185          3        5        ERR069708
186          3        4        ERR129106
187          3        5        ERR069717
188          3        5        ERR067974
189          3        4        ERR069744
190          3        5        ERR129210
191          3        5        ERR129108
192          3        3        ERR129132
193          3        4        ERR069711
194          3        5        ERR068019
195          3        5        ERR129099
196          3        5        ERR129059
197          3        3        ERR065292
198          3        4        ERR067961
199          3        4        ERR069820
200          3        4        ERR129216
201          3        4        ERR129116
202          3        5        ERR124250
203          3        3        ERR069690
204          3        4        ERR065973
205          3        5        ERR065309
206          3        4        ERR124283
207          3        4        ERR065293
208          3        4        ERR069825
209          3        5        ERR069737
210          3        5        ERR124316
211          3        5        ERR065304
212          3        5        ERR129144
213          3        5        ERR124232
214          3        3        ERR068018
215          3        5        ERR124296
216          3        4        ERR067960
217          3        5        ERR068050
218          3        4        ERR068039
219          3        4        ERR068004
220          3        5        ERR129032
221          3        5        ERR124248
222          3        5        ERR068041
