StrainIndex  Lineage  Cluster  Name
1            4        4        ERR124222
2            3        3        ERR129176
3            2        2        ERR069773
4            4        4        ERR129029
5            4        4        ERR129105
6            4        4        ERR129196
7            3        3        ERR129117
8            4        4        ERR129195
9            4        4        ERR129075
10           4        4        ERR069706
11           2        2        ERR065302
12           4        4        ERR065301
13           4        4        ERR124287
14           3        3        ERR065332
15           3        3        ERR129213
16           3        3        ERR129042
17           2        2        ERR129040
18           4        4        ERR129146
19           4        4        ERR069843
20           4        4        ERR065342
21           3        3        ERR124235
22           1        1        ERR068005
23           4        4        ERR129052
24           4        4        ERR129044
25           4        4        ERR129076
26           3        3        ERR069725
27           3        3        ERR129157
28           4        4        ERR129055
29           3        3        ERR124288
30           3        3        ERR129026
31           3        3        ERR069698
32           3        3        ERR124274
33           3        3        ERR069708
34           4        4        ERR065973
35           3        3        ERR124283
36           3        3        ERR065293
37           4        4        ERR129144
38           4        4        ERR069720
39           3        3        ERR124221
40           3        3        ERR068026
41           3        3        ERR065297
42           3        3        ERR129061
43           4        4        ERR124219
44           4        4        ERR124223
45           3        3        ERR129167
46           4        4        ERR068003
47           4        4        ERR068035
48           3        3        ERR065320
49           3        3        ERR124308
50           3        3        ERR129043
51           4        4        ERR069800
52           4        4        ERR067998
53           3        3        ERR124227
54           3        3        ERR069724
55           4        4        ERR065966
56           4        4        ERR124320
57           3        3        ERR065303
58           4        4        ERR065957
59           3        3        ERR068042
60           3        3        ERR124249
61           4        4        ERR069759
62           4        4        ERR067976
63           4        4        ERR065307
64           3        3        ERR129198
65           2        2        ERR069742
66           4        4        ERR069790
67           3        3        ERR067978
68           4        4        ERR069741
69           4        4        ERR129062
70           3        3        ERR068032
71           2        2        ERR129124
72           4        4        ERR124233
73           4        4        ERR069818
74           3        3        ERR124239
75           2        2        ERR065294
76           3        3        ERR068028
77           4        4        ERR065355
78           3        3        ERR068023
79           4        4        ERR069791
80           4        4        ERR069714
81           4        4        ERR068036
82           4        4        ERR065306
83           4        4        ERR065313
84           3        3        ERR124294
85           4        4        ERR067975
86           4        4        ERR129053
87           3        3        ERR124272
88           2        2        ERR065321
89           4        4        ERR129082
90           4        4        ERR065314
91           4        4        ERR068010
92           3        3        ERR124300
93           4        4        ERR069842
94           2        2        ERR065352
95           4        4        ERR129182
96           4        4        ERR129036
97           4        4        ERR129078
98           3        3        ERR129054
99           4        4        ERR069699
100          4        4        ERR069793
101          4        4        ERR129031
102          4        4        ERR129049
103          4        4        ERR129205
104          4        4        ERR069799
105          4        4        ERR067990
106          3        3        ERR129060
107          2        2        ERR129188
108          2        2        ERR069775
109          2        2        ERR069840
110          4        4        ERR129192
111          4        4        ERR069736
112          4        4        ERR129098
113          3        3        ERR068049
114          4        4        ERR069762
115          4        4        ERR065331
116          3        3        ERR124297
117          4        4        ERR067999
118          4        4        ERR129193
119          4        4        ERR069808
120          4        4        ERR129133
121          4        4        ERR067979
122          3        3        ERR124286
123          4        4        ERR129171
