StrainIndex  Lineage  Cluster  Name
1            1        10       ERR069738
2            2        6        ERR065974
3            1        10       ERR129065
4            2        7        ERR129037
5            2        8        ERR069700
6            1        10       ERR124247
7            2        5        ERR124222
8            2        9        ERR065305
9            2        8        ERR069786
10           2        4        ERR129179
11           2        8        ERR129176
12           1        10       ERR069709
13           2        7        ERR067985
14           2        8        ERR129212
15           1        10       ERR068037
16           2        7        ERR069814
17           2        4        ERR124241
18           2        9        ERR069795
19           2        4        ERR124293
20           1        1        ERR069735
21           2        8        ERR069773
22           2        8        ERR067966
23           2        3        ERR129029
24           2        6        ERR129105
25           1        10       ERR124226
26           2        6        ERR129196
27           1        1        ERR069823
28           2        8        ERR124319
29           2        8        ERR068001
30           2        8        ERR129117
31           2        6        ERR069764
32           2        7        ERR068007
33           2        9        ERR068008
34           2        8        ERR067969
35           2        4        ERR069703
36           2        6        ERR129195
37           1        10       ERR065325
38           2        6        ERR124256
39           2        4        ERR129087
40           2        3        ERR069819
41           2        9        ERR129129
42           1        10       ERR065960
43           2        9        ERR069796
44           2        7        ERR065326
45           2        2        ERR069712
46           2        7        ERR124244
47           2        5        ERR129075
48           2        7        ERR069713
49           1        10       ERR069826
50           2        6        ERR065341
51           2        9        ERR069771
52           2        5        ERR069706
53           2        9        ERR065970
54           2        6        ERR129130
55           1        10       ERR129096
56           1        10       ERR129107
57           2        6        ERR069809
58           2        8        ERR065302
59           2        8        ERR129187
60           2        8        ERR124314
61           1        10       ERR069686
62           2        5        ERR069824
63           2        6        ERR068048
64           2        9        ERR065972
65           2        2        ERR129164
66           1        10       ERR069688
67           2        3        ERR069685
68           1        10       ERR124307
69           2        4        ERR067962
70           2        7        ERR124257
71           2        7        ERR129127
72           2        6        ERR065301
73           1        10       ERR124287
74           2        6        ERR068025
75           1        1        ERR067964
76           2        6        ERR069811
77           2        7        ERR069727
78           2        9        ERR129063
79           2        8        ERR065332
80           2        6        ERR129028
81           2        9        ERR065287
82           2        8        ERR129213
83           1        10       ERR129155
84           2        8        ERR129042
85           2        4        ERR129148
86           2        8        ERR129040
