StrainIndex  Lineage  Cluster  Name
1            4        7        ERR069738
2            4        7        ERR129065
3            4        4        ERR129037
4            4        6        ERR124247
5            4        7        ERR124222
6            4        7        ERR065305
7            4        6        ERR129176
8            4        3        ERR069709
9            4        4        ERR067985
10           4        7        ERR068037
11           4        7        ERR069795
12           4        7        ERR067966
13           4        7        ERR129029
14           4        7        ERR129105
15           3        5        ERR124226
16           4        6        ERR129196
17           4        7        ERR069823
18           4        6        ERR124319
19           4        3        ERR068001
20           4        6        ERR129117
21           4        6        ERR069764
22           4        7        ERR068008
23           4        7        ERR067969
24           4        7        ERR129195
25           4        6        ERR065325
26           4        7        ERR124256
27           4        7        ERR129129
28           4        6        ERR065960
29           4        7        ERR069796
30           4        7        ERR065326
31           4        7        ERR069712
32           4        7        ERR129075
33           4        6        ERR069713
34           4        7        ERR069826
35           4        7        ERR069771
36           4        7        ERR069706
37           4        7        ERR065970
38           4        7        ERR129096
39           4        7        ERR129107
40           4        7        ERR069809
41           4        6        ERR129187
42           4        7        ERR124314
43           4        7        ERR069686
44           4        7        ERR069824
45           4        7        ERR068048
46           4        7        ERR129164
47           4        7        ERR069688
48           4        7        ERR069685
49           4        7        ERR124307
50           4        6        ERR129127
51           4        7        ERR065301
52           4        7        ERR124287
53           4        7        ERR068025
54           4        7        ERR067964
55           4        7        ERR069811
56           4        4        ERR069727
57           4        7        ERR129063
58           4        7        ERR129028
59           4        7        ERR065287
60           4        6        ERR129213
61           4        7        ERR129155
62           4        6        ERR129042
63           4        7        ERR069835
64           4        7        ERR129146
65           4        7        ERR069729
66           4        7        ERR129152
67           4        7        ERR069843
68           4        7        ERR124229
69           4        7        ERR129088
70           4        6        ERR069752
71           4        7        ERR065350
72           4        7        ERR129149
73           4        6        ERR129214
74           4        7        ERR069833
75           4        6        ERR068046
76           4        6        ERR129215
77           4        7        ERR129140
78           4        7        ERR069831
79           4        7        ERR124315
80           4        7        ERR124255
81           4        7        ERR065342
82           4        6        ERR124235
83           4        6        ERR129159
84           4        7        ERR129204
85           4        7        ERR069751
86           4        7        ERR067981
87           4        7        ERR067996
88           4        7        ERR129052
89           4        7        ERR069785
90           3        5        ERR069792
91           4        7        ERR124271
92           4        7        ERR069687
93           4        3        ERR065353
94           4        7        ERR069817
95           4        3        ERR065953
96           4        7        ERR129076
97           4        6        ERR129154
98           4        6        ERR068040
99           4        7        ERR129051
100          4        6        ERR129157
101          4        6        ERR124311
102          4        7        ERR069746
103          3        5        ERR068031
104          4        6        ERR067986
105          4        4        ERR124291
106          4        7        ERR129055
107          4        7        ERR069780
108          4        7        ERR065327
109          4        6        ERR069822
110          4        7        ERR129207
111          4        6        ERR124288
112          4        7        ERR124218
113          4        7        ERR068027
114          4        3        ERR069710
115          4        6        ERR065310
116          4        7        ERR129160
117          4        7        ERR065343
118          4        7        ERR069802
119          4        3        ERR129027
120          4        7        ERR129170
121          4        7        ERR065968
122          4        6        ERR068016
123          4        7        ERR129112
124          4        7        ERR129158
125          4        7        ERR069812
126          4        6        ERR124302
127          4        7        ERR129083
128          3        5        ERR065354
129          4        7        ERR069787
130          4        7        ERR068017
131          4        6        ERR129066
132          4        7        ERR129039
133          4        7        ERR124269
134          4        7        ERR067995
135          4        7        ERR068012
136          4        6        ERR069708
137          4        7        ERR129106
138          4        7        ERR069717
139          4        7        ERR069744
140          4        4        ERR129210
141          4        7        ERR129108
142          4        7        ERR129132
143          4        7        ERR069711
144          4        7        ERR129059
145          4        7        ERR065292
146          4        6        ERR069820
147          4        7        ERR129216
148          4        7        ERR129116
149          4        7        ERR069690
150          4        7        ERR065973
151          4        7        ERR069825
152          4        7        ERR069737
153          4        6        ERR065304
154          4        6        ERR129144
155          4        7        ERR124232
156          4        7        ERR068018
157          4        6        ERR124296
158          4        7        ERR067960
159          4        7        ERR068050
160          4        7        ERR068004
161          4        7        ERR129032
162          4        7        ERR124248
163          4        7        ERR065317
164          4        7        ERR069720
165          4        6        ERR129050
166          4        7        ERR069830
167          4        7        ERR069774
168          4        4        ERR069801
169          4        7        ERR129147
170          4        7        ERR069829
171          4        6        ERR129077
172          4        7        ERR067994
173          4        7        ERR065338
174          4        7        ERR129041
175          4        7        ERR129120
176          4        7        ERR124219
177          4        7        ERR065345
178          3        5        ERR069769
179          4        7        ERR069768
180          4        7        ERR129197
181          4        7        ERR065967
182          4        7        ERR124223
183          4        3        ERR069734
184          4        6        ERR129167
185          4        3        ERR129092
186          4        7        ERR129090
187          4        7        ERR068003
188          4        6        ERR124268
189          4        7        ERR129181
190          4        7        ERR069696
191          4        7        ERR129072
192          4        7        ERR068035
193          4        7        ERR069798
194          4        6        ERR069760
195          4        7        ERR067984
196          4        7        ERR068045
197          4        6        ERR065959
198          4        6        ERR129045
199          4        7        ERR069781
200          4        7        ERR129186
201          4        6        ERR124308
202          3        5        ERR129043
203          4        7        ERR069805
204          4        7        ERR124220
205          4        7        ERR069800
206          4        7        ERR067998
207          4        7        ERR065971
208          4        7        ERR129183
209          4        7        ERR068034
210          4        7        ERR065311
211          4        7        ERR068020
212          4        7        ERR069767
213          4        7        ERR067967
214          4        7        ERR069691
215          4        7        ERR129161
216          4        7        ERR124289
217          4        7        ERR129153
218          4        6        ERR129057
219          4        7        ERR067977
220          4        4        ERR129131
221          4        7        ERR069772
222          4        7        ERR124281
223          4        7        ERR069715
224          3        5        ERR124227
225          4        7        ERR069683
226          4        7        ERR065966
227          4        7        ERR124267
228          4        7        ERR124254
229          4        7        ERR129168
230          4        7        ERR124320
231          4        7        ERR065298
232          4        4        ERR069804
233          4        6        ERR065303
234          3        5        ERR069692
235          3        5        ERR069723
236          4        7        ERR067976
237          4        7        ERR065307
238          4        7        ERR065962
239          4        7        ERR069745
240          4        7        ERR129081
241          4        7        ERR069742
242          4        7        ERR069790
243          4        3        ERR069827
244          4        7        ERR129142
245          4        7        ERR124309
246          4        7        ERR069806
247          4        6        ERR129068
248          4        7        ERR129136
249          4        7        ERR129062
250          4        7        ERR129203
251          4        6        ERR067991
252          4        7        ERR124284
253          4        6        ERR129079
254          4        7        ERR124260
255          4        4        ERR124246
256          4        6        ERR065299
257          4        7        ERR129184
258          4        7        ERR124233
259          4        7        ERR069818
260          4        7        ERR129175
261          4        7        ERR065294
262          4        6        ERR129139
263          4        7        ERR069778
264          4        7        ERR068015
265          4        7        ERR129128
266          4        7        ERR065355
267          4        6        ERR068023
268          4        7        ERR069777
269          4        7        ERR069791
270          4        7        ERR124263
271          4        7        ERR069704
272          4        7        ERR129025
273          4        7        ERR069807
274          4        7        ERR129209
275          4        7        ERR069761
276          4        7        ERR129034
277          4        7        ERR129172
278          4        6        ERR124240
279          4        7        ERR065315
280          4        7        ERR065346
281          4        7        ERR069731
282          4        7        ERR069828
283          4        7        ERR069755
284          4        7        ERR129156
285          4        7        ERR069714
286          4        7        ERR068036
287          3        5        ERR069697
288          4        7        ERR065306
289          4        7        ERR065313
290          4        6        ERR129038
291          4        6        ERR124294
292          4        6        ERR067975
293          4        6        ERR129046
294          4        7        ERR129053
295          4        7        ERR124285
296          4        7        ERR129126
297          2        2        ERR129151
298          4        7        ERR124225
299          4        7        ERR068011
300          4        7        ERR124264
301          4        6        ERR069707
302          3        5        ERR129082
303          4        7        ERR067980
304          4        7        ERR069836
305          4        4        ERR068047
306          4        7        ERR065288
307          4        7        ERR065314
308          4        7        ERR129091
309          4        6        ERR067982
310          4        7        ERR129118
311          4        7        ERR065318
312          4        6        ERR068010
313          3        5        ERR068030
314          4        7        ERR067997
315          4        7        ERR065291
316          4        7        ERR069730
317          4        7        ERR069763
318          4        7        ERR129202
319          4        6        ERR129178
320          1        1        ERR065955
321          4        7        ERR129121
322          4        7        ERR069739
323          4        7        ERR069766
324          4        7        ERR069765
325          4        7        ERR129123
326          4        7        ERR067965
327          4        7        ERR065969
328          4        7        ERR069842
329          3        5        ERR069810
330          4        7        ERR129174
331          4        7        ERR124318
332          4        4        ERR129177
333          3        5        ERR065352
334          4        7        ERR129113
335          4        4        ERR069839
336          4        6        ERR129182
337          4        3        ERR069788
338          4        3        ERR069784
339          4        7        ERR065347
340          4        6        ERR065290
341          4        7        ERR065322
342          3        5        ERR069693
343          4        7        ERR129169
344          4        7        ERR068013
345          4        6        ERR124242
346          4        7        ERR129138
347          4        7        ERR065337
348          4        6        ERR129137
349          4        7        ERR124231
350          4        7        ERR129036
351          4        7        ERR124304
352          4        6        ERR065308
353          4        7        ERR124282
354          4        7        ERR129078
355          4        7        ERR069747
356          4        7        ERR069732
357          4        7        ERR129208
358          4        7        ERR124251
359          4        7        ERR129110
360          4        7        ERR065975
361          4        6        ERR129135
362          4        7        ERR069699
363          4        6        ERR069702
364          4        7        ERR069793
365          4        7        ERR124234
366          4        7        ERR068038
367          4        3        ERR068043
368          4        6        ERR065964
369          4        7        ERR129125
370          4        7        ERR069705
371          4        7        ERR065328
372          4        7        ERR129031
373          4        7        ERR129049
374          4        7        ERR129205
375          4        7        ERR069799
376          4        7        ERR067990
377          4        7        ERR069694
378          4        7        ERR129058
379          4        7        ERR124303
380          4        7        ERR065330
381          4        7        ERR124313
382          3        5        ERR069758
383          4        7        ERR069719
384          4        7        ERR124317
385          4        7        ERR124280
386          4        6        ERR069837
387          4        7        ERR124245
388          4        7        ERR069779
389          4        6        ERR129033
390          4        4        ERR068000
391          4        7        ERR069770
392          4        7        ERR069684
393          4        6        ERR129084
394          2        2        ERR069815
395          4        7        ERR129192
396          4        7        ERR069721
397          4        7        ERR069736
398          4        7        ERR129098
399          4        7        ERR129190
400          4        7        ERR069797
401          4        7        ERR065339
402          4        7        ERR069816
403          4        7        ERR124238
404          4        7        ERR069753
405          4        7        ERR129199
406          4        7        ERR069783
407          4        7        ERR129103
408          4        7        ERR069695
409          4        3        ERR129115
410          4        6        ERR124230
411          4        7        ERR069762
412          4        7        ERR124295
413          4        7        ERR067973
414          4        7        ERR069821
415          4        7        ERR065340
416          4        7        ERR069740
417          4        7        ERR065963
418          4        7        ERR065331
419          4        6        ERR124297
420          4        7        ERR068024
421          4        7        ERR067999
422          4        7        ERR065323
423          4        7        ERR124237
424          4        7        ERR067987
425          4        7        ERR129141
426          4        7        ERR065319
427          4        7        ERR065956
428          4        7        ERR129193
429          4        4        ERR129093
430          4        6        ERR129047
431          4        7        ERR129133
432          4        7        ERR065312
433          4        7        ERR065348
434          4        6        ERR124286
435          4        6        ERR129211
436          4        7        ERR129201
437          4        7        ERR124270
438          4        4        ERR124298
439          4        7        ERR129171
440          4        7        ERR129122
441          4        7        ERR129100
442          4        7        ERR129030
