StrainIndex  Lineage  Cluster  Name
1            4        5        ERR065305
2            4        5        ERR065305
3            4        5        ERR069709
4            4        5        ERR069795
5            2        4        ERR069735
6            4        5        ERR067966
7            3        3        ERR124226
8            4        5        ERR068001
9            4        5        ERR068008
10           4        5        ERR067969
11           2        4        ERR069819
12           4        5        ERR129129
13           4        5        ERR129129
14           4        5        ERR069796
15           4        5        ERR069796
16           4        5        ERR069771
17           4        5        ERR065970
18           4        5        ERR065970
19           4        5        ERR124314
20           4        5        ERR065972
21           4        5        ERR065972
22           4        5        ERR129063
23           4        5        ERR065287
24           4        5        ERR065287
25           3        3        ERR129040
26           4        5        ERR124229
27           4        5        ERR124229
28           4        5        ERR129149
29           4        5        ERR129149
30           4        5        ERR069833
31           4        5        ERR069833
32           4        5        ERR129140
33           4        5        ERR069831
34           4        5        ERR124315
35           4        5        ERR124315
36           4        5        ERR069751
37           4        5        ERR068005
38           4        5        ERR069785
39           4        5        ERR069785
40           4        5        ERR069687
41           4        5        ERR069687
42           4        5        ERR065353
43           4        5        ERR069817
44           4        5        ERR065953
45           4        5        ERR129207
46           4        5        ERR069710
47           4        5        ERR129160
48           4        5        ERR129027
49           4        5        ERR129170
50           4        5        ERR129170
51           4        5        ERR068044
52           4        5        ERR068044
53           4        5        ERR129112
54           4        5        ERR129112
55           4        5        ERR069787
56           4        5        ERR068017
57           4        5        ERR068017
58           4        5        ERR124269
59           4        5        ERR124269
60           4        5        ERR069717
61           4        5        ERR067974
62           4        5        ERR069744
63           3        1        ERR129108
64           4        5        ERR069711
65           4        5        ERR129059
66           4        5        ERR129059
67           4        5        ERR069825
68           4        5        ERR067960
69           4        5        ERR067960
70           4        5        ERR068050
71           4        5        ERR068050
72           4        5        ERR068004
73           4        5        ERR129032
74           4        5        ERR129032
75           4        5        ERR129086
76           4        5        ERR129086
77           4        5        ERR065317
78           4        5        ERR065317
79           4        5        ERR069774
80           4        5        ERR069774
81           4        5        ERR069829
82           4        5        ERR069829
83           1        2        ERR129120
84           1        2        ERR065295
85           4        5        ERR129197
86           4        5        ERR129197
87           4        5        ERR124223
88           4        5        ERR069734
89           2        4        ERR129167
90           4        5        ERR129092
91           4        5        ERR069696
92           4        5        ERR129072
93           4        5        ERR067984
94           4        5        ERR068045
95           4        5        ERR069781
96           4        5        ERR069781
97           4        5        ERR129186
98           4        5        ERR129186
99           4        5        ERR069805
100          4        5        ERR069805
101          4        5        ERR124220
102          4        5        ERR124220
103          4        5        ERR129183
104          4        5        ERR129183
105          4        5        ERR068034
106          4        5        ERR068034
107          4        5        ERR069691
108          4        5        ERR069691
109          4        5        ERR129153
110          4        5        ERR129153
111          4        5        ERR124281
112          4        5        ERR124281
113          1        2        ERR069813
114          4        5        ERR124267
115          4        5        ERR124267
116          4        5        ERR069759
117          4        5        ERR069745
118          4        5        ERR129081
119          4        5        ERR129081
120          4        5        ERR069742
121          4        5        ERR069827
122          4        5        ERR069741
123          4        5        ERR124284
124          4        5        ERR124284
125          4        5        ERR129162
126          4        5        ERR129162
127          3        1        ERR129184
128          4        5        ERR129175
129          4        5        ERR065294
130          4        5        ERR129128
131          4        5        ERR124263
132          4        5        ERR124263
133          4        5        ERR069704
134          4        5        ERR069704
135          4        5        ERR129025
136          4        5        ERR129025
137          4        5        ERR129209
138          4        5        ERR129209
139          4        5        ERR069761
140          4        5        ERR069761
141          4        5        ERR129034
142          4        5        ERR129034
143          4        5        ERR069828
144          4        5        ERR069828
145          2        4        ERR069838
146          4        5        ERR129046
147          4        5        ERR129046
148          4        5        ERR124225
149          4        5        ERR124225
150          4        5        ERR068011
151          4        5        ERR068011
152          4        5        ERR124252
153          4        5        ERR124252
154          4        5        ERR065288
155          4        5        ERR065288
156          4        5        ERR129091
157          4        5        ERR129091
158          4        5        ERR067982
159          4        5        ERR067982
160          4        5        ERR129118
161          4        5        ERR129118
162          4        5        ERR065291
163          4        5        ERR069763
164          4        5        ERR129121
165          4        5        ERR129121
166          4        5        ERR129123
167          4        5        ERR129123
168          4        5        ERR129174
169          4        5        ERR129174
170          4        5        ERR065352
171          4        5        ERR069788
172          4        5        ERR069784
173          3        3        ERR069693
174          4        5        ERR065337
175          4        5        ERR065337
176          4        5        ERR065958
177          4        5        ERR065958
178          4        5        ERR124282
179          4        5        ERR124282
180          4        5        ERR069747
181          4        5        ERR124251
182          4        5        ERR124251
183          4        5        ERR065975
184          4        5        ERR065975
185          4        5        ERR124234
186          4        5        ERR124234
187          4        5        ERR068038
188          4        5        ERR068043
189          4        5        ERR129125
190          4        5        ERR069705
191          4        5        ERR065328
192          4        5        ERR065328
193          4        5        ERR124303
194          4        5        ERR124313
195          4        5        ERR069758
196          4        5        ERR069758
197          4        5        ERR124280
198          4        5        ERR124280
199          4        5        ERR129033
200          4        5        ERR129033
201          4        5        ERR069684
202          4        5        ERR129190
203          4        5        ERR069797
204          4        5        ERR069797
205          4        5        ERR069753
206          4        5        ERR069753
207          4        5        ERR069776
208          4        5        ERR129115
209          4        5        ERR069794
210          4        5        ERR124295
211          4        5        ERR124295
212          4        5        ERR069821
213          4        5        ERR069821
214          4        5        ERR065340
215          4        5        ERR065340
216          4        5        ERR065963
217          4        5        ERR068024
218          4        5        ERR068024
219          4        5        ERR065323
220          4        5        ERR065319
221          4        5        ERR065319
222          4        5        ERR124270
