1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
169       227       1               93               2.4        ERR068016
169       227       1               99               2.4        ERR129066
169       227       1               116              2.4        ERR065304
169       227       1               158              2.4        ERR065959
169       227       1               202              2.4        ERR067991
169       227       1               232              2.4        ERR129038
169       227       1               241              3.2        ERR124252
169       227       1               247              3.2        ERR067982
169       227       1               262              3.2        ERR069766
169       227       1               323              2.4        ERR124230
