4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
489       574       2               6                2.7        ERR124247
508       520       3               11               1.2        ERR129176
508       520       3               28               1.1        ERR124319
508       520       3               30               1.2        ERR129117
508       520       3               82               1.2        ERR129213
508       520       3               84               1.2        ERR129042
489       574       2               126              2.9        ERR124228
508       520       3               137              1.2        ERR129157
508       520       3               148              1.1        ERR124288
508       520       3               186              1.2        ERR069708
489       574       2               199              2.9        ERR067961
508       520       3               257              1.3        ERR129167
489       574       2               284              2.9        ERR124292
508       520       3               286              1.2        ERR124308
489       574       2               293              2.9        ERR124312
508       520       3               326              1.2        ERR065303
820       943       5               339              8.5        ERR069742
489       574       2               340              2.9        ERR069718
489       574       2               341              2.9        ERR124224
820       943       5               374              8.5        ERR065294
508       520       3               382              1.2        ERR068023
508       520       3               412              1.1        ERR124294
489       574       2               413              2.9        ERR124243
409       433       1               421              2.3        ERR129151
489       574       2               439              2.9        ERR124276
489       574       2               443              2.9        ERR129067
820       943       5               472              8.5        ERR065352
443       574       2               547              1.2        ERR129073
409       433       1               548              2.3        ERR069815
508       520       3               587              1.1        ERR124297
508       520       3               606              1.1        ERR124286
