StrainIndex  Lineage  Cluster  Name
1            2        4        ERR069738
2            2        4        ERR124247
3            2        4        ERR065305
4            2        4        ERR129176
5            2        4        ERR069709
6            2        4        ERR068037
7            2        4        ERR069823
8            2        4        ERR124319
9            2        4        ERR129117
10           2        4        ERR068008
11           2        4        ERR124256
12           2        4        ERR069796
13           2        4        ERR069712
14           2        1        ERR124244
15           2        4        ERR069771
16           2        4        ERR129096
17           2        4        ERR069809
18           2        4        ERR069686
19           2        4        ERR068048
20           2        4        ERR065972
21           2        4        ERR129164
22           2        4        ERR069688
23           2        4        ERR069685
24           2        4        ERR124307
25           2        4        ERR067964
26           2        4        ERR129063
27           2        4        ERR129213
28           2        4        ERR129042
29           2        4        ERR069835
30           2        4        ERR129102
31           2        4        ERR129088
32           2        4        ERR065350
33           2        4        ERR129149
34           2        4        ERR129140
35           2        4        ERR069831
36           2        4        ERR124235
37           2        4        ERR129204
38           2        4        ERR068005
39           2        4        ERR067981
40           2        4        ERR067996
41           2        4        ERR069792
42           2        4        ERR129044
43           2        4        ERR065353
44           2        4        ERR069817
45           2        4        ERR129051
46           2        4        ERR129157
47           2        4        ERR069746
48           2        4        ERR068031
49           2        4        ERR124288
50           1        3        ERR124218
51           2        4        ERR069710
52           2        4        ERR129160
53           2        4        ERR065343
54           2        4        ERR129027
55           2        4        ERR129170
56           2        4        ERR065968
57           2        4        ERR129112
58           2        4        ERR129158
59           2        4        ERR069812
60           2        4        ERR065354
61           2        4        ERR068017
62           2        4        ERR124269
63           2        4        ERR067995
64           2        4        ERR068012
65           2        4        ERR069708
66           2        4        ERR069717
67           2        4        ERR129108
68           2        4        ERR129132
69           2        4        ERR129059
70           2        4        ERR065292
71           1        3        ERR069820
72           2        4        ERR069690
73           2        4        ERR068018
74           2        4        ERR068050
75           2        4        ERR129032
76           2        4        ERR124248
77           2        4        ERR065317
78           2        4        ERR065338
79           2        4        ERR129120
80           1        2        ERR124305
81           1        3        ERR069768
82           2        4        ERR129197
83           2        4        ERR065967
84           2        4        ERR069734
85           2        4        ERR129167
86           2        4        ERR129092
87           2        4        ERR129090
88           2        4        ERR129181
89           2        4        ERR069696
90           2        4        ERR129072
91           2        4        ERR065344
92           2        4        ERR069798
93           2        4        ERR067984
94           2        4        ERR069781
95           2        4        ERR124308
96           2        4        ERR129043
97           2        4        ERR069805
98           2        4        ERR065971
99           2        4        ERR129183
100          2        4        ERR068034
101          2        4        ERR068020
102          2        4        ERR069767
103          2        4        ERR129153
104          2        4        ERR067977
105          2        4        ERR124281
106          2        4        ERR069715
107          2        4        ERR124227
108          2        4        ERR069683
109          2        4        ERR129168
110          2        4        ERR065303
111          2        4        ERR069692
112          2        4        ERR069759
113          2        4        ERR069723
114          2        4        ERR065962
115          2        4        ERR069745
116          2        4        ERR069827
117          2        4        ERR129142
118          2        4        ERR069741
119          2        4        ERR124284
120          2        4        ERR124260
121          2        4        ERR069778
122          2        4        ERR068023
123          2        4        ERR129209
124          2        4        ERR069761
125          2        4        ERR129172
126          2        4        ERR069731
127          2        4        ERR069755
128          2        4        ERR129156
129          2        4        ERR129071
130          2        4        ERR069697
131          2        4        ERR124294
132          2        4        ERR129046
133          2        4        ERR124285
134          2        4        ERR129126
135          2        4        ERR129151
136          2        4        ERR068011
137          2        4        ERR069836
138          2        4        ERR065288
139          1        3        ERR124258
140          1        3        ERR129091
141          1        3        ERR129118
142          2        4        ERR068030
143          2        4        ERR124265
144          2        4        ERR069765
145          2        4        ERR129123
146          2        4        ERR067965
147          2        4        ERR065969
148          2        4        ERR069810
149          2        4        ERR124318
150          2        4        ERR129113
151          2        4        ERR069788
152          2        4        ERR069784
153          2        4        ERR065347
154          2        4        ERR069693
155          2        4        ERR068013
156          2        4        ERR124231
157          2        4        ERR124304
158          2        4        ERR124282
159          2        4        ERR069732
160          2        4        ERR129110
161          2        4        ERR124234
162          2        4        ERR068043
163          2        4        ERR065328
164          2        4        ERR129058
165          2        4        ERR065330
166          2        4        ERR069758
167          2        4        ERR069719
168          1        3        ERR124280
169          2        4        ERR069779
170          2        4        ERR129033
171          2        4        ERR069770
172          2        4        ERR069684
173          1        3        ERR124306
174          1        3        ERR129084
175          2        4        ERR069815
176          2        4        ERR069721
177          2        4        ERR069753
178          2        4        ERR129199
179          2        4        ERR069776
180          2        4        ERR069783
181          2        4        ERR129115
182          2        4        ERR069794
183          2        4        ERR069740
184          2        4        ERR124297
185          2        4        ERR068024
186          2        4        ERR065323
187          2        4        ERR124237
188          2        4        ERR067987
189          2        4        ERR069808
190          1        3        ERR065312
191          2        4        ERR067979
192          2        4        ERR124286
193          2        4        ERR129201
194          2        4        ERR124270
195          2        4        ERR129194
