6 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1296      1369      1               21               5.3        ERR069773
444       654       3               38               0.5        ERR124256
444       669       3               57               0.2        ERR069809
1296      1369      1               58               5.3        ERR065302
263       284       4               72               0.5        ERR065301
1296      1369      1               80               5.3        ERR129028
1296      1369      1               86               5.3        ERR129040
1151      1174      4               126              1.8        ERR124228
1296      1369      1               126              3.8        ERR124228
1296      1369      1               150              4.3        ERR124218
1296      1369      1               173              5.3        ERR129083
1485      1657      4               185              26.2       ERR067993
1686      1895      4               185              26.5       ERR067993
1151      1174      4               199              1.9        ERR067961
1296      1369      1               199              4.0        ERR067961
1296      1369      1               201              5.3        ERR129216
1296      1369      1               219              5.3        ERR068039
1296      1369      1               265              4.5        ERR129181
1296      1369      1               276              5.3        ERR069782
1151      1174      4               284              1.8        ERR124292
1296      1369      1               284              3.8        ERR124292
1151      1174      4               293              1.8        ERR124312
1296      1369      1               293              3.8        ERR124312
1432      1895      4               319              37.1       ERR069803
1151      1174      4               340              1.8        ERR069718
1296      1369      1               340              3.8        ERR069718
1151      1174      4               341              1.8        ERR124224
1296      1369      1               341              3.8        ERR124224
1296      1369      1               350              5.3        ERR129136
1296      1369      1               363              5.3        ERR129124
1151      1174      4               413              1.8        ERR124243
1296      1369      1               413              3.8        ERR124243
1296      1369      1               423              5.3        ERR065321
1296      1369      1               434              4.3        ERR124258
1151      1174      4               439              1.8        ERR124276
1296      1369      1               439              3.8        ERR124276
1151      1174      4               443              1.8        ERR129067
1296      1369      1               443              3.8        ERR129067
1296      1369      1               452              5.3        ERR129202
1432      1624      4               455              24.0       ERR069841
1686      1895      4               455              26.3       ERR069841
1296      1369      1               486              5.3        ERR129138
1296      1369      1               534              5.3        ERR129188
1296      1369      1               537              5.3        ERR129056
1296      1369      1               541              5.3        ERR069775
1296      1369      1               545              4.3        ERR124306
1151      1174      4               547              1.8        ERR129073
1296      1369      1               547              3.8        ERR129073
1296      1369      1               567              5.3        ERR129103
1391      1408      4               570              0.6        ERR129115
1296      1369      1               602              4.3        ERR065312
1296      1369      1               616              5.3        ERR129030
