StrainIndex  Lineage  Cluster  Name
1            3        6        ERR069738
2            2        5        ERR129065
3            3        4        ERR124222
4            3        4        ERR069786
5            3        6        ERR129179
6            3        4        ERR129176
7            3        6        ERR069709
8            2        2        ERR129212
9            3        6        ERR068037
10           3        6        ERR124241
11           3        6        ERR124293
12           2        5        ERR129029
13           3        3        ERR069823
14           3        4        ERR124319
15           3        6        ERR068001
16           3        4        ERR129117
17           3        6        ERR069764
18           3        6        ERR069703
19           3        6        ERR065325
20           3        3        ERR124256
21           3        6        ERR129087
22           3        6        ERR065960
23           3        3        ERR069712
24           3        4        ERR129075
25           2        5        ERR069826
26           3        4        ERR069706
27           3        6        ERR129096
28           2        5        ERR129107
29           3        3        ERR069809
30           3        4        ERR129187
31           3        6        ERR069686
32           3        3        ERR068048
33           3        3        ERR129164
34           3        6        ERR069688
35           3        4        ERR069685
36           3        6        ERR124307
37           3        6        ERR067962
38           3        6        ERR124287
39           3        3        ERR067964
40           2        5        ERR065332
41           1        1        ERR129028
42           3        4        ERR129213
43           2        5        ERR129155
44           3        4        ERR129042
45           3        6        ERR129148
46           3        3        ERR069835
47           2        5        ERR129146
48           2        2        ERR069748
49           3        4        ERR069843
50           3        3        ERR129088
51           3        3        ERR065350
52           3        6        ERR124310
53           3        6        ERR068014
54           3        4        ERR124255
55           3        4        ERR124235
56           3        6        ERR129204
57           3        6        ERR129094
58           2        2        ERR069689
59           3        6        ERR068005
60           3        6        ERR069749
61           3        3        ERR067981
62           3        6        ERR067996
63           2        5        ERR129052
64           3        6        ERR069792
65           3        6        ERR124277
66           3        4        ERR124228
67           3        6        ERR129044
68           3        6        ERR065353
69           3        6        ERR129074
70           3        6        ERR065953
71           2        5        ERR129076
72           2        5        ERR069725
73           3        3        ERR129051
74           3        4        ERR129157
75           3        3        ERR069746
76           3        6        ERR068031
77           2        5        ERR129055
78           2        5        ERR069780
79           3        4        ERR124288
80           2        5        ERR129026
81           3        6        ERR124218
82           2        5        ERR068027
83           3        6        ERR069710
84           3        6        ERR065300
85           3        6        ERR065343
86           2        5        ERR069802
87           3        6        ERR129027
88           3        6        ERR129048
89           3        3        ERR065968
90           2        2        ERR129180
91           3        6        ERR068016
92           3        6        ERR065324
93           3        3        ERR129158
94           2        5        ERR069698
95           3        3        ERR069812
96           1        1        ERR129083
97           3        6        ERR065354
98           3        6        ERR129066
99           3        6        ERR065329
100          3        6        ERR129200
101          3        6        ERR067995
102          3        3        ERR068012
103          2        5        ERR124274
104          3        4        ERR069708
105          2        5        ERR129106
106          3        3        ERR129132
107          3        6        ERR068019
108          3        6        ERR129099
109          3        3        ERR065292
110          3        4        ERR067961
111          1        1        ERR129216
112          2        5        ERR129116
113          3        6        ERR124250
114          3        3        ERR069690
115          3        4        ERR065973
116          3        6        ERR065309
117          2        5        ERR124283
118          2        5        ERR065293
119          3        6        ERR069737
120          3        6        ERR124316
121          3        6        ERR065304
