5 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1547      1611      1               2                0.6        ERR065974
1413      2108      2               5                8.8        ERR069700
1413      1951      2               6                0.8        ERR124247
1717      1951      2               8                10.0       ERR065305
1413      1951      2               12               5.4        ERR069709
1667      1951      2               14               5.6        ERR129212
1717      1951      2               18               10.0       ERR069795
1413      1951      2               22               5.9        ERR067966
1413      1951      2               24               5.9        ERR129105
1413      1780      2               25               3.8        ERR124226
1413      1951      2               26               5.9        ERR129196
1717      1951      2               27               7.6        ERR069823
1413      1951      2               29               5.4        ERR068001
1717      1951      2               33               10.0       ERR068008
1413      1951      2               34               5.9        ERR067969
1413      1951      2               36               5.9        ERR129195
1413      1911      2               37               5.3        ERR065325
1717      1951      2               38               7.6        ERR124256
1717      1951      2               41               10.0       ERR129129
1413      1911      2               42               5.3        ERR065960
1717      1951      2               43               10.0       ERR069796
1717      1951      2               45               7.6        ERR069712
1547      1611      1               50               0.6        ERR065341
1717      1951      2               51               10.0       ERR069771
1717      1951      2               53               10.0       ERR065970
1547      1611      1               54               0.6        ERR129130
1717      1951      2               57               7.6        ERR069809
1413      1832      2               59               2.9        ERR129187
1413      1951      2               60               5.9        ERR124314
1717      1951      2               63               7.6        ERR068048
1717      1951      2               64               10.0       ERR065972
1413      1951      2               72               5.9        ERR065301
1717      1951      2               74               7.6        ERR067964
1413      1832      2               75               4.6        ERR069811
1717      1951      2               77               10.0       ERR129063
1717      1951      2               78               10.0       ERR129028
1717      1951      2               79               10.0       ERR065287
1717      1951      2               85               7.6        ERR069835
1413      1832      2               89               4.1        ERR129152
1667      1951      2               90               5.6        ERR069748
1717      1951      2               92               10.0       ERR124229
1413      1878      2               93               2.6        ERR129088
1717      1951      2               95               7.6        ERR065350
1717      1951      2               96               10.0       ERR129149
1717      1951      2               98               10.0       ERR069833
1413      1780      2               99               5.6        ERR124310
1717      1951      2               102              10.0       ERR129140
1717      1951      2               103              10.0       ERR069831
1717      1951      2               105              10.0       ERR124315
1413      1951      2               107              5.9        ERR065342
1667      1951      2               112              5.6        ERR069689
1717      1951      2               113              10.0       ERR069751
1413      1951      2               114              5.4        ERR068005
1413      1878      2               116              2.6        ERR067981
1701      1780      2               119              9.8        ERR069785
1717      1951      2               122              10.0       ERR069687
1701      1951      2               124              8.7        ERR124228
1717      1951      2               125              7.2        ERR129044
1413      1951      2               126              5.4        ERR065353
1717      1951      2               128              10.0       ERR069817
1413      1951      2               129              5.4        ERR065953
1717      1951      2               134              7.6        ERR129051
1547      2016      2               136              6.1        ERR124311
1717      1970      2               137              8.6        ERR069746
1413      1832      2               143              4.6        ERR065327
1717      1951      2               145              10.0       ERR129207
1413      1951      2               150              5.4        ERR069710
1717      1951      2               152              10.0       ERR129160
1413      1951      2               157              4.3        ERR129027
1717      1951      2               158              10.0       ERR129170
1413      1780      2               159              5.6        ERR129048
1717      1951      2               160              7.6        ERR065968
1547      1611      1               161              0.6        ERR065965
1717      1951      2               162              10.0       ERR068044
1667      1951      2               163              5.6        ERR129180
1413      1951      2               164              4.8        ERR068016
1717      1951      2               166              10.0       ERR129112
1413      1878      2               167              2.6        ERR129158
1717      1951      2               169              7.6        ERR069812
1717      1951      2               171              10.0       ERR129083
1717      1951      2               174              10.0       ERR068017
1413      1970      2               175              4.3        ERR129066
1413      1832      2               176              4.6        ERR129039
1717      1951      2               178              10.0       ERR124269
1413      1878      2               181              2.6        ERR068012
1547      1611      1               183              0.8        ERR067993
1717      1951      2               186              10.0       ERR069717
1717      1951      2               187              10.0       ERR067974
1413      1951      2               188              5.9        ERR069744
1717      1951      2               190              10.0       ERR129108
1717      1951      2               191              7.6        ERR129132
1717      1951      2               192              10.0       ERR069711
1717      1951      2               195              10.0       ERR129059
1717      1951      2               196              7.6        ERR065292
1701      1951      2               197              8.7        ERR067961
1612      1780      2               198              5.7        ERR069820
1717      1951      2               199              10.0       ERR129216
1717      1951      2               202              7.6        ERR069690
1413      1780      2               204              5.6        ERR065309
1413      1951      2               207              5.9        ERR069825
1413      1951      2               210              4.8        ERR065304
1413      1951      2               211              5.9        ERR129144
1413      1832      2               212              4.6        ERR124232
1717      1951      2               213              7.6        ERR068018
1717      1951      2               215              10.0       ERR067960
1717      1951      2               216              10.0       ERR068050
1413      1951      2               218              5.4        ERR068004
1717      1951      2               219              10.0       ERR129032
1717      1951      2               223              10.0       ERR065317
1413      1911      2               226              5.3        ERR129050
1413      1780      2               227              3.8        ERR129064
1717      1951      2               229              10.0       ERR069774
1717      1951      2               235              9.5        ERR069829
1413      2059      2               236              6.2        ERR129077
1413      1832      2               237              4.6        ERR067994
1717      1951      2               242              10.0       ERR129120
1413      1780      2               246              5.6        ERR124305
1413      1780      2               247              3.8        ERR069769
1717      1951      2               249              7.6        ERR069768
1717      1951      2               250              10.0       ERR129197
1717      1951      2               251              7.6        ERR065967
1413      1951      2               252              7.1        ERR124223
1413      1951      2               253              5.4        ERR069734
1413      1951      2               257              5.4        ERR129092
1717      1951      2               258              7.6        ERR129090
1612      2108      2               262              7.0        ERR129181
1717      1951      2               263              10.0       ERR069696
1717      1951      2               264              10.0       ERR129072
1717      1951      2               265              7.6        ERR065344
1413      1780      2               266              5.6        ERR129111
1667      1951      2               267              5.6        ERR068006
1547      1611      1               270              0.6        ERR124278
1717      1951      2               272              10.0       ERR067984
1717      1951      2               275              10.0       ERR068045
1413      1951      2               276              4.8        ERR065959
1717      1951      2               277              10.0       ERR069781
1667      1951      2               278              5.6        ERR069832
1701      1951      2               280              8.7        ERR124292
1717      1951      2               281              10.0       ERR129186
1717      1951      2               284              10.0       ERR069805
1717      1951      2               285              10.0       ERR124220
1413      1951      2               288              5.9        ERR067998
1701      1951      2               289              8.7        ERR124312
1717      1951      2               291              10.0       ERR129183
1717      1951      2               292              10.0       ERR068034
1717      1951      2               294              7.6        ERR068020
1717      1951      2               297              10.0       ERR069691
1667      1951      2               299              5.6        ERR069716
1717      1951      2               301              10.0       ERR129153
1547      1990      2               302              7.4        ERR129057
1717      1951      2               303              7.6        ERR067977
1717      1951      2               306              10.0       ERR124281
1667      1951      2               307              5.6        ERR069750
1717      1951      2               308              7.6        ERR069715
1413      1878      2               310              2.6        ERR069683
1413      1780      2               312              5.6        ERR124253
1717      1951      2               316              10.0       ERR124267
1413      1951      2               319              5.9        ERR124320
1413      1951      2               323              5.4        ERR065957
1717      1951      2               325              10.0       ERR069692
1413      1951      2               327              5.4        ERR069759
1717      1951      2               331              7.6        ERR065962
1717      1951      2               332              10.0       ERR069745
1717      1951      2               333              10.0       ERR129081
1701      1951      2               336              8.7        ERR069718
1701      1951      2               337              8.7        ERR124224
1413      1951      2               339              5.4        ERR069827
1717      1951      2               340              10.0       ERR129142
1413      1951      2               345              5.4        ERR069741
1717      1951      2               346              10.0       ERR129136
1413      1832      2               348              4.6        ERR129203
1413      1780      2               350              5.6        ERR065316
1413      1780      2               351              5.6        ERR124217
1413      1970      2               352              4.3        ERR067991
1717      1951      2               353              10.0       ERR124284
1667      1951      2               357              5.6        ERR069701
1701      1780      2               358              9.8        ERR129162
1413      1911      2               361              5.3        ERR065299
1413      1780      2               364              5.6        ERR124266
1413      1951      2               365              5.9        ERR069818
1717      1951      2               369              10.0       ERR129175
1413      1951      2               374              5.9        ERR129128
2827      3071      1               379              7.7        ERR069777
1717      1951      2               381              10.0       ERR124263
1717      1951      2               382              10.0       ERR069704
1717      1951      2               384              10.0       ERR129025
1717      1951      2               387              10.0       ERR129209
1717      1951      2               388              10.0       ERR069761
1717      1951      2               389              10.0       ERR129034
1413      1780      2               392              4.2        ERR065315
1717      1951      2               394              7.6        ERR069731
1717      1951      2               395              10.0       ERR069828
1717      1951      2               396              7.6        ERR069755
1413      1951      2               399              5.9        ERR069714
1413      1970      2               407              4.3        ERR129038
1701      1951      2               409              8.7        ERR124243
1717      1951      2               411              10.0       ERR129046
1413      1951      2               412              5.9        ERR129053
1547      1611      1               414              0.6        ERR065289
1717      1951      2               415              7.6        ERR124285
1413      1878      2               416              2.6        ERR129126
1717      1951      2               418              10.0       ERR124225
1717      1951      2               420              10.0       ERR068011
1717      1951      2               429              10.0       ERR065288
1717      1951      2               433              10.0       ERR129091
1701      1951      2               435              8.7        ERR124276
1717      1951      2               436              10.0       ERR129118
1413      1951      2               438              5.9        ERR068010
1701      1951      2               439              8.7        ERR129067
1717      1951      2               444              10.0       ERR065291
1717      1951      2               448              10.0       ERR129202
1547      1611      1               451              0.8        ERR069841
1717      1951      2               453              7.6        ERR124265
1717      1951      2               454              10.0       ERR129121
1413      1780      2               456              4.2        ERR069739
1413      1832      2               457              4.6        ERR069766
1717      1951      2               458              7.6        ERR069765
1717      1951      2               459              10.0       ERR129123
1717      1951      2               465              10.0       ERR129174
1717      1951      2               469              7.6        ERR129113
1413      1951      2               471              5.9        ERR129182
1413      1951      2               472              5.4        ERR069788
1667      1951      2               473              5.6        ERR067983
1413      1951      2               474              5.4        ERR069784
1547      1990      2               475              7.4        ERR065290
1413      1832      2               478              4.6        ERR129169
1717      1951      2               479              7.6        ERR068013
1717      1951      2               481              10.0       ERR129138
1717      1951      2               482              10.0       ERR065337
1717      1951      2               484              7.6        ERR124231
1717      1951      2               486              7.6        ERR124304
1547      1611      1               487              0.6        ERR065296
1701      1780      2               489              9.8        ERR065958
1717      1951      2               490              7.6        ERR124282
1667      1951      2               491              5.6        ERR067989
1717      1951      2               495              7.6        ERR069732
1717      1951      2               497              10.0       ERR124251
1717      1951      2               499              10.0       ERR065975
1547      1990      2               500              7.4        ERR129135
1717      1951      2               505              10.0       ERR124234
1717      1951      2               507              10.0       ERR068038
1413      1951      2               508              5.4        ERR068043
1717      1951      2               510              10.0       ERR129125
1717      1951      2               511              10.0       ERR069705
1717      1951      2               512              10.0       ERR065328
1413      1951      2               516              5.9        ERR069799
1717      1951      2               519              7.6        ERR129058
1413      1951      2               521              5.9        ERR124303
1717      1951      2               522              7.6        ERR065330
1717      1951      2               525              10.0       ERR124313
1717      1951      2               526              10.0       ERR069758
1717      1951      2               527              7.6        ERR069719
1413      1832      2               528              4.6        ERR124317
1717      1951      2               530              10.0       ERR124280
1717      1951      2               535              10.0       ERR129033
1717      1951      2               538              7.6        ERR069770
1717      1951      2               539              10.0       ERR069684
1667      1780      2               541              6.5        ERR129084
1701      1951      2               542              8.7        ERR129073
1507      2081      2               544              4.7        ERR069840
2448      2931      2               544              2.4        ERR069840
1717      1951      2               546              7.6        ERR069721
1717      1951      4               550              11.9       ERR129190
1701      1780      2               551              9.8        ERR069797
1413      1780      2               552              5.6        ERR069757
1717      1951      2               556              10.0       ERR069753
1384      1878      2               557              2.4        ERR129199
1717      1951      2               559              10.0       ERR069776
1717      1951      2               562              10.0       ERR129103
1413      1780      2               563              4.2        ERR069695
1413      1951      2               565              4.3        ERR129115
1413      1970      2               567              4.3        ERR124230
1717      1951      2               570              10.0       ERR069794
1717      1951      2               571              10.0       ERR124295
