1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
249       319       4               5                2.5        ERR069700
249       319       4               22               2.5        ERR067966
249       319       4               34               2.5        ERR067969
249       319       4               60               2.5        ERR124314
249       319       4               65               2.5        ERR129164
249       319       4               118              2.5        ERR067981
249       319       4               169              2.5        ERR129158
249       319       4               175              2.5        ERR069787
249       319       4               183              2.5        ERR068012
249       319       4               190              2.5        ERR069744
249       319       4               209              2.5        ERR069825
249       319       4               265              2.5        ERR129181
249       319       4               314              2.5        ERR069683
249       319       4               378              2.5        ERR129128
249       319       4               420              2.5        ERR129126
249       319       4               450              2.5        ERR069763
249       319       4               499              2.5        ERR069747
249       319       4               526              2.5        ERR124303
249       319       4               562              2.5        ERR129199
249       319       4               582              2.5        ERR065963
