StrainIndex  Lineage  Cluster  Name
1            2        2        ERR069738
2            1        6        ERR065974
3            2        3        ERR069700
4            1        6        ERR124222
5            2        7        ERR065305
6            2        4        ERR069786
7            2        3        ERR069709
8            2        7        ERR069795
9            2        3        ERR067966
10           2        5        ERR129105
11           2        5        ERR129196
12           2        3        ERR068001
13           2        4        ERR069764
14           2        7        ERR068008
15           2        3        ERR067969
16           2        5        ERR129195
17           2        7        ERR129129
18           2        5        ERR069712
19           1        6        ERR129075
20           1        6        ERR065341
21           2        7        ERR069771
22           1        6        ERR069706
23           2        7        ERR065970
24           1        6        ERR129130
25           2        2        ERR129096
26           2        4        ERR129187
27           2        3        ERR124314
28           2        7        ERR065972
29           2        4        ERR069685
30           2        2        ERR124307
31           2        5        ERR065301
32           2        7        ERR129063
33           2        7        ERR065287
34           2        4        ERR129102
35           1        6        ERR069843
36           2        7        ERR124229
37           2        7        ERR129149
38           2        7        ERR069833
39           2        7        ERR129140
40           2        7        ERR069831
41           2        4        ERR068014
42           2        7        ERR124315
43           1        6        ERR124255
44           2        5        ERR065342
45           2        2        ERR129204
46           2        4        ERR129094
47           2        7        ERR069751
48           2        7        ERR069785
49           2        7        ERR069687
50           2        2        ERR124228
51           2        4        ERR129044
52           2        3        ERR065353
53           2        7        ERR069817
54           2        3        ERR065953
55           2        5        ERR129051
56           2        7        ERR129207
57           2        4        ERR124218
58           2        3        ERR069710
59           2        7        ERR129160
60           2        3        ERR129027
61           2        5        ERR065968
62           1        6        ERR065965
63           2        3        ERR069787
64           2        7        ERR068017
65           2        7        ERR124269
66           2        7        ERR067974
67           2        3        ERR069744
68           2        7        ERR129108
69           2        5        ERR129132
70           2        7        ERR069711
71           2        7        ERR129059
72           2        2        ERR067961
73           2        5        ERR069690
74           1        6        ERR065973
75           1        6        ERR069737
76           2        5        ERR129144
77           2        5        ERR068018
78           2        7        ERR067960
79           2        3        ERR068004
80           2        7        ERR129032
81           2        2        ERR124248
82           2        7        ERR065317
83           1        6        ERR069720
84           2        7        ERR069774
85           2        4        ERR129206
86           2        7        ERR069829
87           2        5        ERR129077
88           2        7        ERR129120
89           2        5        ERR069768
90           2        7        ERR129197
91           2        3        ERR069734
92           2        3        ERR129092
93           2        5        ERR129090
94           1        6        ERR068003
95           1        6        ERR129181
96           2        7        ERR069696
97           2        7        ERR129072
98           1        6        ERR068035
99           2        4        ERR069798
100          1        6        ERR124278
101          2        7        ERR067984
102          2        7        ERR069782
103          2        7        ERR068045
104          2        7        ERR069781
105          2        2        ERR124292
106          2        7        ERR129186
107          2        7        ERR124220
