2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
488       511       3               1                4.1        ERR069738
541       553       5               2                4.2        ERR065974
488       511       3               10               4.1        ERR129179
488       511       3               15               4.1        ERR068037
488       511       3               17               4.1        ERR124241
488       511       3               19               4.1        ERR124293
488       511       3               35               4.1        ERR069703
488       511       3               37               3.8        ERR065325
488       511       3               39               4.1        ERR129087
541       553       5               40               4.2        ERR069819
488       511       3               42               3.8        ERR065960
541       553       5               50               4.2        ERR065341
541       553       5               54               4.2        ERR129130
488       511       3               55               4.1        ERR129096
488       511       3               61               4.1        ERR069686
488       511       3               66               4.1        ERR069688
488       511       3               68               4.1        ERR124307
488       511       3               69               4.1        ERR067962
488       511       3               85               4.1        ERR129148
488       511       3               106              3.8        ERR068014
488       511       3               112              4.1        ERR129204
488       511       3               113              3.8        ERR129094
488       511       3               117              4.1        ERR069749
488       511       3               119              4.1        ERR067996
488       511       3               125              4.1        ERR124277
488       511       3               129              4.1        ERR129074
488       511       3               155              4.1        ERR065300
488       511       3               157              4.1        ERR065343
525       553       5               163              3.4        ERR065965
488       511       3               167              4.1        ERR065324
488       511       3               179              4.1        ERR065329
488       511       3               181              4.1        ERR129200
488       511       3               182              4.1        ERR067995
525       553       5               185              3.4        ERR067993
488       511       3               195              4.1        ERR068019
488       511       3               196              4.1        ERR129099
488       511       3               203              4.1        ERR124250
488       511       3               210              3.8        ERR069737
488       511       3               211              4.1        ERR124316
488       511       3               222              4.1        ERR124248
488       511       3               224              4.1        ERR129086
488       511       3               226              4.1        ERR069834
488       511       3               228              3.8        ERR129050
488       511       3               232              3.8        ERR129206
488       511       3               241              4.1        ERR069726
488       511       3               242              4.1        ERR065338
525       553       5               251              3.4        ERR065295
488       511       3               258              4.1        ERR129143
488       511       3               259              4.1        ERR124299
488       511       3               262              4.1        ERR068002
525       553       5               273              3.7        ERR124278
525       553       5               276              3.4        ERR069782
488       511       3               277              4.1        ERR124236
488       511       3               280              4.1        ERR129045
488       511       3               299              4.1        ERR069767
525       553       5               315              3.4        ERR069813
525       553       5               319              3.4        ERR069803
525       553       5               327              3.4        ERR065957
488       511       3               360              4.1        ERR124260
488       511       3               365              3.8        ERR065299
488       511       3               370              4.1        ERR068029
488       511       3               372              4.1        ERR124279
488       511       3               376              4.1        ERR069778
488       511       3               379              4.1        ERR129163
488       511       3               389              4.1        ERR065351
488       511       3               401              4.1        ERR129156
488       511       3               402              4.1        ERR067988
488       511       3               406              4.1        ERR129035
525       553       5               409              3.4        ERR069838
525       553       5               418              3.4        ERR065289
488       511       3               431              4.1        ERR069836
488       511       3               436              4.1        ERR124301
488       511       3               446              4.1        ERR069728
488       511       3               453              4.1        ERR124290
525       553       5               455              3.4        ERR069841
488       511       3               464              4.1        ERR067965
488       511       3               470              4.1        ERR124318
525       553       5               492              3.4        ERR065296
488       511       3               509              4.1        ERR129119
488       511       3               511              4.1        ERR124273
488       511       3               525              3.8        ERR068009
488       511       3               529              4.1        ERR129173
488       511       3               554              4.1        ERR069733
488       511       3               565              4.1        ERR129104
488       511       3               566              4.1        ERR069783
488       511       3               569              4.1        ERR067963
488       511       3               574              4.1        ERR067970
488       511       3               579              4.1        ERR067992
488       511       3               584              4.1        ERR124275
488       511       3               592              4.1        ERR067987
488       511       3               598              3.8        ERR069808
488       511       3               599              4.1        ERR129089
488       511       3               605              3.8        ERR129095
488       511       3               609              4.1        ERR068033
