5 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
437       526       3               2                3.1        ERR065974
143       194       3               7                3.7        ERR124222
195       234       2               7                2.4        ERR124222
154       180       3               8                1.4        ERR065305
154       180       3               16               1.2        ERR069814
154       180       3               32               1.2        ERR068007
143       194       3               47               3.7        ERR129075
195       234       2               47               2.4        ERR129075
437       526       3               50               3.1        ERR065341
143       194       3               52               3.7        ERR069706
195       234       2               52               2.4        ERR069706
437       526       3               54               3.1        ERR129130
154       180       3               70               1.2        ERR124257
143       194       3               93               3.7        ERR069843
195       234       2               93               2.4        ERR069843
143       194       3               108              3.7        ERR124255
195       234       2               108              2.4        ERR124255
154       180       3               150              1.2        ERR124218
154       180       3               156              1.2        ERR069789
437       526       3               163              3.1        ERR065965
437       526       3               185              3.1        ERR067993
143       194       3               205              3.7        ERR065973
195       234       2               205              2.4        ERR065973
154       180       3               225              1.4        ERR065317
143       194       3               227              3.7        ERR069720
195       234       2               227              2.4        ERR069720
143       194       3               229              3.7        ERR129064
195       234       2               229              2.4        ERR129064
143       194       3               263              3.7        ERR068003
195       234       2               263              2.4        ERR068003
143       194       3               271              3.7        ERR068035
195       234       2               271              2.4        ERR068035
437       526       3               273              3.1        ERR124278
154       180       3               291              1.2        ERR068021
154       180       3               295              1.4        ERR129183
154       180       3               310              1.4        ERR124281
437       526       3               319              3.1        ERR069803
143       194       3               351              3.7        ERR129062
195       234       2               351              2.4        ERR129062
143       194       3               367              3.7        ERR124233
195       234       2               367              2.4        ERR124233
143       194       3               384              3.7        ERR069791
195       234       2               384              2.4        ERR069791
592       947       3               387              8.3        ERR129134
143       194       3               404              3.7        ERR068036
195       234       2               404              2.4        ERR068036
437       526       3               418              3.1        ERR065289
154       180       3               424              1.4        ERR068011
154       180       3               434              1.2        ERR124258
143       194       3               435              3.7        ERR065314
195       234       2               435              2.4        ERR065314
143       194       3               466              3.7        ERR069842
195       234       2               466              2.4        ERR069842
154       180       3               467              1.2        ERR129185
143       194       3               490              3.7        ERR129036
195       234       2               490              2.4        ERR129036
437       526       3               492              3.1        ERR065296
143       194       3               497              3.7        ERR129078
195       234       2               497              2.4        ERR129078
143       194       3               506              3.7        ERR069699
195       234       2               506              2.4        ERR069699
143       194       3               508              3.7        ERR069793
195       234       2               508              2.4        ERR069793
143       194       3               518              3.7        ERR129031
195       234       2               518              2.4        ERR129031
143       194       3               519              3.7        ERR129049
195       234       2               519              2.4        ERR129049
143       194       3               522              3.7        ERR067990
195       234       2               522              2.4        ERR067990
154       180       3               535              1.4        ERR124280
154       180       3               545              1.2        ERR124306
143       194       3               573              3.7        ERR069762
195       234       2               573              2.4        ERR069762
154       180       3               586              1.2        ERR067972
143       194       3               589              3.7        ERR067999
195       234       2               589              2.4        ERR067999
143       194       3               596              3.7        ERR129193
195       234       2               596              2.4        ERR129193
154       180       3               602              1.2        ERR065312
