StrainIndex  Lineage  Cluster  Name
1            4        7        ERR069738
2            3        4        ERR065974
3            4        10       ERR129065
4            4        10       ERR129037
5            4        9        ERR069700
6            4        10       ERR124247
7            4        9        ERR065305
8            4        9        ERR069786
9            4        10       ERR129179
10           4        10       ERR129176
11           4        5        ERR069709
12           4        10       ERR067985
13           4        10       ERR129212
14           4        7        ERR068037
15           4        10       ERR069814
16           4        10       ERR124241
17           4        9        ERR069795
18           4        10       ERR124293
19           4        10       ERR069735
20           4        10       ERR069773
21           4        9        ERR067966
22           4        10       ERR129029
23           4        9        ERR129105
24           2        2        ERR124226
25           4        9        ERR129196
26           4        9        ERR069823
27           4        10       ERR124319
28           4        5        ERR068001
29           4        10       ERR129117
30           4        10       ERR069764
31           4        10       ERR068007
32           4        9        ERR068008
33           4        9        ERR067969
34           4        10       ERR069703
35           4        9        ERR129195
36           4        8        ERR065325
37           4        9        ERR124256
38           4        10       ERR129087
39           4        10       ERR069819
40           4        10       ERR129129
41           4        8        ERR065960
42           4        9        ERR069796
43           4        10       ERR065326
44           4        9        ERR069712
45           4        7        ERR124244
46           4        10       ERR069713
47           4        10       ERR069826
48           3        4        ERR065341
49           4        9        ERR069771
50           4        8        ERR069706
51           4        9        ERR065970
52           3        4        ERR129130
53           4        7        ERR129096
54           4        10       ERR129107
55           4        9        ERR069809
56           4        10       ERR065302
57           4        9        ERR124314
58           4        7        ERR069686
59           3        4        ERR069824
60           4        9        ERR068048
61           4        9        ERR065972
62           4        10       ERR129164
63           4        7        ERR069688
64           4        7        ERR069685
65           4        7        ERR124307
66           4        10       ERR067962
67           4        10       ERR124257
68           4        10       ERR129127
69           4        9        ERR065301
70           4        10       ERR124287
71           4        9        ERR068025
72           4        9        ERR067964
73           4        9        ERR069811
74           4        10       ERR069727
75           4        9        ERR129063
76           4        6        ERR065332
77           4        10       ERR129028
78           4        10       ERR065287
79           4        10       ERR129213
80           4        10       ERR129155
81           4        10       ERR129042
82           4        10       ERR129148
83           4        10       ERR129040
84           4        9        ERR069835
85           4        10       ERR129146
86           4        10       ERR129102
87           3        4        ERR069729
88           4        9        ERR129152
89           4        10       ERR069748
90           4        8        ERR069843
91           4        10       ERR124229
92           4        10       ERR129088
93           4        10       ERR069752
94           4        9        ERR065350
95           4        9        ERR129149
96           4        10       ERR129214
97           4        10       ERR069833
98           4        9        ERR124310
99           4        10       ERR068046
100          4        10       ERR129215
101          4        9        ERR129140
102          4        9        ERR069831
103          4        10       ERR068014
104          4        9        ERR124315
105          4        8        ERR124255
106          4        9        ERR065342
107          4        10       ERR124235
108          4        10       ERR129159
109          4        7        ERR129204
110          4        10       ERR129094
111          4        10       ERR069689
112          4        9        ERR069751
113          4        5        ERR068005
114          4        10       ERR069749
115          4        10       ERR067981
116          4        7        ERR067996
117          4        10       ERR129052
118          4        10       ERR069785
119          3        4        ERR069792
120          4        10       ERR124271
121          4        10       ERR069687
122          4        10       ERR124277
123          3        3        ERR124228
124          4        9        ERR129044
125          4        5        ERR065353
126          4        10       ERR129074
127          4        9        ERR069817
128          4        5        ERR065953
129          4        10       ERR129076
130          4        10       ERR129154
131          4        6        ERR069725
132          4        10       ERR068040
133          4        9        ERR129051
134          4        10       ERR129157
135          4        10       ERR124311
136          4        9        ERR069746
137          3        4        ERR068031
138          4        10       ERR067986
139          4        10       ERR124291
140          4        10       ERR129055
141          4        10       ERR069780
142          4        9        ERR065327
143          4        10       ERR069822
144          4        10       ERR129207
145          4        10       ERR124288
146          4        6        ERR129026
147          4        10       ERR124218
148          4        10       ERR068027
149          4        5        ERR069710
150          4        10       ERR065310
151          4        9        ERR129160
152          4        10       ERR065300
153          4        10       ERR069789
154          4        7        ERR065343
155          4        10       ERR069802
156          1        1        ERR129027
157          4        9        ERR129170
158          4        9        ERR129048
159          4        9        ERR065968
160          3        4        ERR065965
161          4        10       ERR068044
162          4        10       ERR129180
163          4        5        ERR068016
164          4        10       ERR065324
165          4        9        ERR129112
166          4        10       ERR129158
167          4        6        ERR069698
168          4        9        ERR069812
169          4        10       ERR124302
170          4        10       ERR129083
171          3        4        ERR065354
172          4        9        ERR069787
173          4        9        ERR068017
174          4        5        ERR129066
175          4        9        ERR129039
176          4        10       ERR065329
177          4        9        ERR124269
178          4        10       ERR129200
179          4        7        ERR067995
180          4        10       ERR068012
181          4        6        ERR124274
182          4        10       ERR069708
183          4        10       ERR129106
184          4        9        ERR069717
185          4        9        ERR067974
186          4        9        ERR069744
187          4        10       ERR129210
188          4        9        ERR129108
189          4        9        ERR129132
190          4        9        ERR069711
191          4        10       ERR068019
192          4        10       ERR129099
193          4        9        ERR129059
194          4        9        ERR065292
195          3        3        ERR067961
196          4        9        ERR069820
197          4        10       ERR129216
198          4        10       ERR129116
199          4        10       ERR124250
200          4        9        ERR069690
201          4        8        ERR065973
202          4        9        ERR065309
203          4        6        ERR124283
204          4        6        ERR065293
205          4        9        ERR069825
206          4        8        ERR069737
207          4        10       ERR124316
208          4        5        ERR065304
209          4        9        ERR129144
210          4        9        ERR124232
211          4        9        ERR068018
212          4        10       ERR124296
213          4        9        ERR067960
214          4        9        ERR068050
215          4        10       ERR068039
216          4        5        ERR068004
217          4        9        ERR129032
218          4        7        ERR124248
219          4        10       ERR068041
220          4        10       ERR129086
221          4        9        ERR065317
222          4        10       ERR069834
223          4        8        ERR129050
224          2        2        ERR129064
225          4        10       ERR069830
226          4        10       ERR069774
227          4        10       ERR129206
228          4        10       ERR069801
229          4        6        ERR124221
230          4        10       ERR129080
231          4        6        ERR068026
232          4        10       ERR129147
233          4        10       ERR069829
234          4        9        ERR129077
235          4        9        ERR067994
236          4        10       ERR069726
237          4        7        ERR065338
238          4        10       ERR129041
239          4        6        ERR065297
240          4        9        ERR129120
241          4        6        ERR129061
242          4        10       ERR124219
243          4        10       ERR065345
244          4        9        ERR124305
245          2        2        ERR069769
246          4        9        ERR065295
247          4        9        ERR069768
248          4        9        ERR129197
249          4        9        ERR065967
250          4        5        ERR124223
251          4        5        ERR069734
252          4        10       ERR129167
253          4        10       ERR129143
254          4        10       ERR124299
255          4        5        ERR129092
256          4        9        ERR129090
257          4        10       ERR068002
258          4        8        ERR068003
259          4        10       ERR124268
260          4        10       ERR129181
261          4        9        ERR069696
262          4        9        ERR129072
263          4        9        ERR065344
264          4        9        ERR129111
265          4        10       ERR068006
266          4        8        ERR068035
267          4        7        ERR069798
268          3        4        ERR124278
269          4        10       ERR069760
270          4        9        ERR067984
271          4        10       ERR069782
272          4        10       ERR124236
273          4        10       ERR068045
274          4        5        ERR065959
275          4        8        ERR129045
276          4        9        ERR069781
277          4        10       ERR069832
278          4        6        ERR065320
279          3        3        ERR124292
280          4        10       ERR129186
281          4        10       ERR124308
282          4        10       ERR129043
283          4        9        ERR069805
284          4        10       ERR124220
285          4        10       ERR069800
286          4        10       ERR068021
287          4        9        ERR067998
288          3        3        ERR124312
289          4        7        ERR065971
290          4        9        ERR129183
291          4        9        ERR068034
292          4        10       ERR065311
293          4        9        ERR068020
294          4        7        ERR069767
295          4        10       ERR067967
296          4        9        ERR069691
297          4        10       ERR129161
298          4        10       ERR069716
299          4        10       ERR124289
300          4        9        ERR129153
301          4        10       ERR129057
302          4        9        ERR067977
303          4        10       ERR129131
304          3        4        ERR069772
305          4        9        ERR124281
306          4        10       ERR069750
307          4        9        ERR069715
308          4        10       ERR124227
309          4        10       ERR069683
310          4        10       ERR069813
311          4        9        ERR124253
312          4        6        ERR069724
313          4        10       ERR065966
314          4        10       ERR124267
315          4        9        ERR124254
316          4        7        ERR129168
317          4        9        ERR124320
318          4        9        ERR065298
319          4        10       ERR069804
320          4        10       ERR065303
321          4        10       ERR065957
322          4        6        ERR068042
323          4        10       ERR069692
324          4        6        ERR124249
325          4        5        ERR069759
326          3        4        ERR069723
327          4        10       ERR067976
328          4        10       ERR065307
329          4        9        ERR065962
330          4        9        ERR069745
331          4        9        ERR129081
332          4        6        ERR129198
333          4        8        ERR069742
334          3        3        ERR069718
335          3        3        ERR124224
336          4        10       ERR069790
337          4        5        ERR069827
338          4        9        ERR129142
339          4        10       ERR124309
340          3        4        ERR069806
341          4        10       ERR129068
342          4        6        ERR067978
343          4        5        ERR069741
344          4        10       ERR129136
345          4        8        ERR129062
346          4        9        ERR129203
347          4        6        ERR068032
348          4        9        ERR065316
349          4        9        ERR124217
350          4        5        ERR067991
351          4        9        ERR124284
352          4        10       ERR129079
353          4        9        ERR069722
354          4        7        ERR124260
355          4        10       ERR069701
356          4        9        ERR129162
357          4        10       ERR129124
358          4        10       ERR124246
359          4        9        ERR065299
360          4        10       ERR129184
361          4        8        ERR124233
362          4        9        ERR124266
363          4        9        ERR069818
364          4        10       ERR068029
365          4        6        ERR124239
366          4        10       ERR124279
367          4        10       ERR129175
368          4        8        ERR065294
369          4        10       ERR129139
370          4        7        ERR069778
371          4        10       ERR068015
372          4        9        ERR129128
373          4        10       ERR129163
374          4        6        ERR068028
375          4        10       ERR065355
376          4        10       ERR068023
377          4        10       ERR069777
378          4        8        ERR069791
379          4        10       ERR124263
380          4        10       ERR069704
381          4        10       ERR129134
382          2        2        ERR129025
383          4        10       ERR065351
384          4        10       ERR069807
385          4        9        ERR129209
386          4        9        ERR069761
387          4        10       ERR129034
388          4        7        ERR129172
389          4        10       ERR124240
390          4        10       ERR065315
391          4        10       ERR065346
392          4        9        ERR069731
393          4        10       ERR069828
394          4        9        ERR069755
395          4        7        ERR129156
396          4        10       ERR067988
397          4        9        ERR069714
398          4        8        ERR068036
399          4        10       ERR129071
400          4        10       ERR129035
401          3        4        ERR069697
402          4        10       ERR065306
403          4        10       ERR069838
404          4        10       ERR065313
405          4        5        ERR129038
406          4        10       ERR124294
407          3        3        ERR124243
408          4        10       ERR067975
409          4        9        ERR129046
410          4        9        ERR129053
411          4        6        ERR124272
412          3        4        ERR065289
413          4        10       ERR124285
414          4        10       ERR129126
415          3        4        ERR129151
416          4        10       ERR124225
417          4        10       ERR065321
418          4        9        ERR068011
419          4        9        ERR124264
420          4        10       ERR069707
421          4        9        ERR124252
422          4        10       ERR129082
423          4        10       ERR069743
424          4        10       ERR067980
425          4        7        ERR069836
426          4        10       ERR068047
427          4        9        ERR065288
428          4        10       ERR124258
429          4        8        ERR065314
430          4        10       ERR124301
431          4        9        ERR129091
432          3        3        ERR124276
433          4        9        ERR129118
434          4        10       ERR065318
435          4        9        ERR068010
436          3        3        ERR129067
437          4        9        ERR065349
438          4        9        ERR068030
439          4        10       ERR069728
440          4        9        ERR067997
441          4        10       ERR065291
442          3        4        ERR069730
443          4        9        ERR069763
444          4        6        ERR124300
445          4        10       ERR129202
446          4        10       ERR124290
447          4        10       ERR129178
448          4        10       ERR065955
449          4        9        ERR124265
450          4        9        ERR129121
451          4        10       ERR067968
452          4        10       ERR069739
453          4        9        ERR069766
454          4        9        ERR069765
455          4        9        ERR129123
456          4        7        ERR067965
457          4        7        ERR065969
458          4        8        ERR069842
459          4        10       ERR129185
460          3        4        ERR069810
461          4        9        ERR129174
462          4        7        ERR124318
463          4        10       ERR129177
464          4        8        ERR065352
465          4        9        ERR129113
466          4        10       ERR069839
467          4        9        ERR129182
468          4        5        ERR069788
469          4        10       ERR067983
470          4        5        ERR069784
471          4        9        ERR065347
472          4        10       ERR065290
473          4        10       ERR065322
474          4        9        ERR069693
475          4        9        ERR129169
476          4        9        ERR068013
477          4        10       ERR124242
478          4        10       ERR129138
479          4        10       ERR065337
480          4        10       ERR129137
481          4        9        ERR124231
482          4        8        ERR129036
483          4        9        ERR124304
484          3        4        ERR065296
485          4        10       ERR065308
486          4        9        ERR065958
487          4        9        ERR124282
488          4        10       ERR067989
489          4        8        ERR129078
490          4        6        ERR129054
491          4        9        ERR069747
492          4        9        ERR069732
493          4        10       ERR129208
494          4        10       ERR124251
495          4        10       ERR129110
496          4        10       ERR065975
497          4        10       ERR129135
498          4        8        ERR069699
499          4        10       ERR069702
500          4        8        ERR069793
501          4        10       ERR129119
502          4        9        ERR124234
503          4        10       ERR124273
504          4        10       ERR068038
505          4        5        ERR068043
506          4        10       ERR065964
507          4        9        ERR129125
508          4        10       ERR069705
509          4        9        ERR065328
510          4        8        ERR129031
511          4        8        ERR129049
512          4        10       ERR129205
513          4        9        ERR069799
514          4        8        ERR067990
515          4        10       ERR069694
516          4        9        ERR129058
517          4        10       ERR068009
518          4        9        ERR124303
519          4        9        ERR065330
520          4        6        ERR129060
521          4        10       ERR129173
522          4        10       ERR124313
523          4        9        ERR069758
524          4        9        ERR069719
525          4        9        ERR124317
526          4        10       ERR129188
527          4        9        ERR124280
528          4        10       ERR069837
529          4        10       ERR129056
530          4        10       ERR124245
531          4        7        ERR069779
532          4        9        ERR129033
533          4        10       ERR069775
534          4        10       ERR068000
535          4        9        ERR069770
536          4        9        ERR069684
537          4        10       ERR124306
538          4        9        ERR129084
539          3        3        ERR129073
540          3        4        ERR069815
541          4        7        ERR069840
542          4        10       ERR129192
543          4        9        ERR069721
544          4        10       ERR069736
545          4        10       ERR129098
546          4        10       ERR069733
547          4        10       ERR129190
548          4        10       ERR069797
549          4        9        ERR069757
550          4        10       ERR065339
551          3        4        ERR069816
552          4        10       ERR124238
553          4        9        ERR069753
554          4        10       ERR129199
555          4        6        ERR068049
556          4        9        ERR069776
557          4        10       ERR129104
558          4        7        ERR069783
559          4        10       ERR129103
560          4        10       ERR069695
561          4        10       ERR067963
562          1        1        ERR129115
563          4        9        ERR068022
564          4        5        ERR124230
565          4        8        ERR069762
566          4        10       ERR067970
567          4        9        ERR069794
568          4        9        ERR124295
569          4        10       ERR067973
570          4        10       ERR069821
571          4        10       ERR067992
572          4        10       ERR065340
573          4        9        ERR069740
574          4        9        ERR065963
575          4        9        ERR129145
576          4        10       ERR124275
577          4        10       ERR065331
578          4        10       ERR067972
579          4        10       ERR124297
580          4        9        ERR068024
581          4        8        ERR067999
582          4        9        ERR065323
583          4        9        ERR124237
584          4        7        ERR067987
585          4        10       ERR129141
586          4        10       ERR065319
587          3        4        ERR065956
588          4        8        ERR129193
589          4        10       ERR129093
590          3        4        ERR069808
591          4        10       ERR129089
592          4        8        ERR129047
593          4        10       ERR129133
594          4        10       ERR065312
595          4        10       ERR065348
596          4        5        ERR067979
597          4        10       ERR129095
598          4        10       ERR124286
599          4        10       ERR129211
600          4        9        ERR129201
601          4        10       ERR068033
602          4        9        ERR124270
603          4        10       ERR124298
604          4        9        ERR129194
605          4        10       ERR129171
606          4        10       ERR129122
607          4        10       ERR129100
608          4        10       ERR129030
