StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            2        8        ERR129065
3            4        10       ERR129037
4            3        5        ERR069700
5            3        5        ERR124247
6            4        10       ERR124222
7            4        10       ERR065305
8            4        10       ERR069786
9            3        9        ERR129179
10           4        10       ERR129176
11           4        10       ERR069709
12           4        10       ERR067985
13           3        9        ERR068037
14           4        10       ERR069814
15           3        9        ERR124241
16           4        10       ERR069795
17           3        9        ERR124293
18           4        10       ERR069735
19           2        8        ERR069773
20           3        5        ERR067966
21           4        7        ERR129105
22           4        10       ERR124226
23           4        7        ERR129196
24           3        9        ERR069823
25           3        2        ERR124319
26           4        10       ERR068001
27           4        10       ERR129117
28           1        4        ERR069764
29           4        10       ERR068007
30           3        5        ERR067969
31           3        9        ERR069703
32           4        7        ERR129195
33           3        9        ERR065325
34           4        7        ERR124256
35           3        9        ERR129087
36           4        10       ERR069819
37           4        10       ERR129129
38           3        9        ERR065960
39           4        10       ERR069796
40           4        10       ERR065326
41           4        7        ERR069712
42           4        10       ERR124244
43           4        10       ERR129075
44           4        10       ERR069713
45           2        8        ERR069826
46           4        10       ERR069771
47           4        10       ERR069706
48           4        10       ERR065970
49           3        9        ERR129096
50           2        8        ERR129107
51           4        7        ERR069809
52           2        8        ERR065302
53           1        4        ERR129187
54           3        5        ERR124314
55           3        9        ERR069686
56           4        7        ERR068048
57           4        10       ERR065972
58           4        7        ERR129164
59           3        9        ERR069688
60           3        9        ERR069685
61           3        9        ERR124307
62           3        9        ERR067962
63           4        10       ERR124257
64           4        10       ERR129127
65           4        7        ERR065301
66           2        8        ERR124287
67           3        9        ERR068025
68           3        9        ERR067964
69           3        9        ERR069811
70           4        10       ERR069727
71           4        10       ERR129063
72           4        6        ERR065332
73           3        5        ERR129028
74           1        4        ERR065287
75           4        10       ERR129213
76           2        8        ERR129155
77           4        10       ERR129042
78           3        9        ERR129148
79           2        8        ERR129040
80           3        9        ERR069835
81           2        8        ERR129146
82           2        3        ERR129102
83           2        3        ERR069729
84           3        9        ERR129152
85           4        10       ERR069843
86           4        10       ERR124229
87           4        7        ERR129088
88           4        10       ERR069752
89           4        7        ERR065350
90           4        10       ERR129149
91           4        10       ERR129214
92           4        10       ERR069833
93           3        9        ERR124310
94           4        10       ERR068046
95           4        10       ERR129215
96           4        10       ERR129140
97           4        10       ERR069831
98           1        4        ERR068014
99           4        10       ERR124315
100          4        10       ERR124255
101          4        7        ERR065342
102          4        10       ERR124235
103          4        10       ERR129159
104          3        9        ERR129204
105          1        4        ERR129094
106          4        10       ERR069751
107          3        9        ERR068005
108          4        7        ERR067981
109          3        9        ERR067996
110          4        10       ERR069785
111          4        10       ERR069792
112          1        4        ERR124271
113          4        10       ERR069687
114          3        9        ERR124277
115          4        1        ERR129044
116          4        10       ERR065353
117          3        9        ERR129074
118          4        10       ERR069817
119          4        10       ERR065953
120          2        8        ERR129076
121          4        10       ERR129154
122          4        6        ERR069725
123          4        10       ERR068040
124          4        7        ERR129051
125          4        10       ERR129157
126          3        9        ERR124311
127          4        10       ERR068031
128          4        10       ERR067986
129          4        10       ERR124291
130          2        8        ERR129055
131          2        8        ERR069780
132          3        9        ERR065327
133          4        10       ERR069822
134          4        10       ERR129207
135          3        2        ERR124288
136          4        6        ERR129026
137          2        8        ERR068027
138          4        10       ERR069710
139          4        10       ERR065310
140          4        10       ERR129160
141          3        9        ERR065300
142          4        10       ERR069789
143          3        9        ERR065343
144          2        8        ERR069802
145          4        10       ERR129027
146          4        10       ERR129170
147          3        9        ERR129048
148          4        7        ERR065968
149          1        4        ERR068044
150          4        10       ERR068016
