1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
262       309       4               5                2.4        ERR069700
208       309       4               20               1.0        ERR069735
262       309       4               22               2.4        ERR067966
262       309       4               34               2.4        ERR067969
208       309       4               40               1.0        ERR069819
262       309       4               60               2.4        ERR124314
262       309       4               173              2.4        ERR069787
262       309       4               188              2.4        ERR069744
208       309       4               198              1.0        ERR069820
262       309       4               206              2.4        ERR069825
208       309       4               248              1.0        ERR065295
208       309       4               312              1.0        ERR069813
262       309       4               374              2.4        ERR129128
208       309       4               405              1.0        ERR069838
262       309       4               446              2.4        ERR069763
262       309       4               491              2.4        ERR069747
262       309       4               518              2.4        ERR124303
208       309       4               538              1.0        ERR129084
262       309       4               573              2.4        ERR065963
