StrainIndex  Lineage  Cluster  Name
1            5        9        ERR069738
2            5        6        ERR065974
3            3        10       ERR129065
4            5        9        ERR129037
5            5        9        ERR069700
6            4        7        ERR124247
7            5        9        ERR124222
8            3        10       ERR065305
9            5        6        ERR069786
10           2        5        ERR129179
11           5        6        ERR129176
12           4        8        ERR069709
13           5        9        ERR067985
14           4        7        ERR129212
15           5        9        ERR068037
16           1        1        ERR069814
17           2        5        ERR124241
18           3        10       ERR069795
19           2        5        ERR124293
20           4        3        ERR069735
21           4        7        ERR069773
22           5        9        ERR067966
23           3        10       ERR129029
24           5        9        ERR129105
25           2        5        ERR124226
26           5        9        ERR129196
27           4        7        ERR069823
28           5        6        ERR124319
29           3        10       ERR068001
30           5        6        ERR129117
31           5        9        ERR069764
32           1        1        ERR068007
33           3        10       ERR068008
34           5        9        ERR067969
35           2        5        ERR069703
36           5        9        ERR129195
37           5        9        ERR065325
38           5        9        ERR124256
39           2        5        ERR129087
40           4        3        ERR069819
41           4        8        ERR129129
42           5        9        ERR065960
43           3        10       ERR069796
44           5        6        ERR065326
45           4        8        ERR069712
46           2        5        ERR124244
47           5        9        ERR129075
48           5        9        ERR069713
49           3        10       ERR069826
50           5        6        ERR065341
51           3        10       ERR069771
52           3        10       ERR069706
53           3        10       ERR065970
54           5        6        ERR129130
55           5        9        ERR129096
56           3        10       ERR129107
57           5        9        ERR069809
58           4        7        ERR065302
59           1        1        ERR129187
60           5        9        ERR124314
61           5        9        ERR069686
62           5        6        ERR069824
63           5        9        ERR068048
64           3        10       ERR065972
65           5        9        ERR129164
66           5        9        ERR069688
67           5        6        ERR069685
68           5        9        ERR124307
69           2        5        ERR067962
70           1        1        ERR124257
71           5        9        ERR129127
72           5        9        ERR065301
73           4        8        ERR124287
74           3        10       ERR068025
75           4        7        ERR067964
76           3        10       ERR069811
77           5        9        ERR069727
78           3        10       ERR129063
79           2        4        ERR065332
80           4        7        ERR129028
81           4        8        ERR065287
82           5        6        ERR129213
83           3        10       ERR129155
84           5        6        ERR129042
85           2        5        ERR129148
86           4        7        ERR129040
87           4        7        ERR069835
88           4        8        ERR129146
89           3        10       ERR129102
90           5        6        ERR069729
91           3        10       ERR129152
92           4        7        ERR069748
93           5        9        ERR069843
94           3        10       ERR124229
95           5        9        ERR129088
96           5        6        ERR069752
97           5        9        ERR065350
98           3        10       ERR129149
99           5        6        ERR129214
100          4        8        ERR069833
101          4        3        ERR124310
102          5        6        ERR068046
103          5        9        ERR129215
104          3        10       ERR129140
105          3        10       ERR069831
106          5        9        ERR068014
107          3        10       ERR124315
108          5        9        ERR124255
109          5        9        ERR065342
110          5        6        ERR124235
111          5        9        ERR129159
112          5        9        ERR129204
113          5        9        ERR129094
114          4        7        ERR069689
115          3        10       ERR069751
116          4        8        ERR068005
117          2        5        ERR069749
118          5        9        ERR067981
119          5        9        ERR067996
120          3        10       ERR129052
121          5        9        ERR069785
122          4        8        ERR069792
123          4        7        ERR124271
