2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
375       388       1               18               1.7        ERR065325
375       388       1               21               1.7        ERR065960
375       388       1               30               1.7        ERR129187
375       388       1               53               1.7        ERR068014
375       388       1               56               1.7        ERR129094
385       388       1               71               1.3        ERR124311
375       388       1               116              1.7        ERR129050
375       388       1               118              1.7        ERR129206
385       388       1               154              1.3        ERR129057
375       388       1               187              1.7        ERR065299
1         77        3               217              1.1        ERR124252
385       388       1               243              1.3        ERR065290
385       388       1               256              1.3        ERR129135
375       388       1               293              1.7        ERR129047
375       388       1               298              1.7        ERR129095
