StrainIndex  Lineage  Cluster  Name
1            4        7        ERR069738
2            4        5        ERR129065
3            5        9        ERR129037
4            1        1        ERR069700
5            2        3        ERR124247
6            5        8        ERR124222
7            5        10       ERR065305
8            5        8        ERR069786
9            3        4        ERR129179
10           4        7        ERR129176
11           5        8        ERR069709
12           5        9        ERR067985
13           4        6        ERR129212
14           4        7        ERR068037
15           5        10       ERR069814
16           3        4        ERR124241
17           5        10       ERR069795
18           3        4        ERR124293
19           4        6        ERR069773
20           1        1        ERR067966
21           4        5        ERR129029
22           5        8        ERR129105
23           5        8        ERR129196
24           5        8        ERR124319
25           5        8        ERR068001
26           4        7        ERR129117
27           2        3        ERR069764
28           5        10       ERR068007
29           5        10       ERR068008
30           1        1        ERR067969
31           3        4        ERR069703
32           5        8        ERR129195
33           5        8        ERR065325
34           3        4        ERR129087
35           4        7        ERR069819
36           5        10       ERR129129
37           5        8        ERR065960
38           5        10       ERR069796
39           5        9        ERR065326
40           5        8        ERR129075
41           5        9        ERR069713
42           4        5        ERR069826
43           5        10       ERR069771
44           5        2        ERR069706
45           5        10       ERR065970
46           4        7        ERR129096
47           4        5        ERR129107
48           4        6        ERR065302
49           4        7        ERR129187
50           1        1        ERR124314
51           4        7        ERR069686
52           4        7        ERR069824
53           5        10       ERR065972
54           4        7        ERR069688
55           5        8        ERR069685
56           4        7        ERR124307
57           3        4        ERR067962
58           5        10       ERR124257
59           5        9        ERR129127
60           5        8        ERR065301
61           4        5        ERR124287
62           4        6        ERR068025
63           4        6        ERR069811
64           5        9        ERR069727
65           5        10       ERR129063
66           5        9        ERR065332
67           5        10       ERR129028
68           5        10       ERR065287
69           4        7        ERR129213
70           4        5        ERR129155
71           4        7        ERR129042
72           3        4        ERR129148
73           4        6        ERR129040
74           4        5        ERR129146
75           4        7        ERR069729
76           4        6        ERR129152
77           4        6        ERR069748
78           5        8        ERR069843
79           5        10       ERR124229
80           5        9        ERR069752
81           5        10       ERR129149
82           5        9        ERR129214
83           5        10       ERR069833
84           4        6        ERR124310
85           5        9        ERR068046
86           5        9        ERR129215
87           5        10       ERR129140
88           5        10       ERR069831
89           4        7        ERR068014
90           5        10       ERR124315
91           5        8        ERR124255
92           5        8        ERR065342
93           4        7        ERR124235
94           5        9        ERR129159
95           4        7        ERR129204
96           4        7        ERR129094
97           4        6        ERR069689
98           5        10       ERR069751
99           5        8        ERR068005
100          3        4        ERR069749
101          4        7        ERR067996
102          4        5        ERR129052
103          5        8        ERR069785
104          4        7        ERR069792
105          2        3        ERR124271
106          5        10       ERR069687
107          3        4        ERR124277
108          4        6        ERR124228
109          4        7        ERR129044
110          5        8        ERR065353
111          3        4        ERR129074
112          5        10       ERR069817
113          5        8        ERR065953
114          4        5        ERR129076
115          5        9        ERR129154
116          5        9        ERR069725
117          5        9        ERR068040
118          4        7        ERR129157
119          5        10       ERR124311
120          4        7        ERR068031
121          5        9        ERR067986
122          5        9        ERR124291
123          4        5        ERR129055
124          4        5        ERR069780
125          4        6        ERR065327
126          5        9        ERR069822
127          5        10       ERR129207
128          5        8        ERR124288
129          5        9        ERR129026
130          4        7        ERR124218
131          4        5        ERR068027
132          5        8        ERR069710
133          5        9        ERR065310
134          5        10       ERR129160
135          3        4        ERR065300
136          5        10       ERR069789
137          4        7        ERR065343
138          4        5        ERR069802
139          5        8        ERR129027
140          5        10       ERR129170
141          4        6        ERR129048
142          5        10       ERR068044
143          4        6        ERR129180
144          4        6        ERR068016
145          3        4        ERR065324
146          5        10       ERR129112
147          5        9        ERR069698
148          5        9        ERR124302
149          5        10       ERR129083
150          4        7        ERR065354
151          1        1        ERR069787
152          5        10       ERR068017
153          4        6        ERR129066
154          4        6        ERR129039
155          3        4        ERR065329
156          5        10       ERR124269
157          3        4        ERR129200
158          4        7        ERR067995
159          5        9        ERR124274
160          5        10       ERR067993
161          4        7        ERR069708
162          4        5        ERR129106
163          5        10       ERR069717
164          5        10       ERR067974
165          1        1        ERR069744
166          5        9        ERR129210
167          5        10       ERR129108
168          5        10       ERR069711
169          3        4        ERR068019
170          3        4        ERR129099
171          5        10       ERR129059
172          4        6        ERR067961
173          4        5        ERR069820
174          5        10       ERR129216
175          4        5        ERR129116
176          3        4        ERR124250
177          5        8        ERR065973
178          4        6        ERR065309
179          5        9        ERR124283
180          5        9        ERR065293
181          5        2        ERR069825
182          4        7        ERR069737
183          3        4        ERR124316
184          4        6        ERR065304
185          5        8        ERR129144
186          4        6        ERR124232
187          5        9        ERR124296
188          5        10       ERR067960
189          5        10       ERR068050
190          4        6        ERR068039
191          5        8        ERR068004
192          5        10       ERR129032
193          4        7        ERR124248
194          5        9        ERR068041
195          3        4        ERR129086
196          5        10       ERR065317
197          3        4        ERR069834
198          5        8        ERR069720
199          5        8        ERR129050
200          4        5        ERR069830
201          5        10       ERR069774
202          4        7        ERR129206
203          5        9        ERR069801
204          5        9        ERR124221
205          5        9        ERR129080
206          5        9        ERR068026
207          4        5        ERR129147
208          5        10       ERR069829
209          5        8        ERR129077
210          4        6        ERR067994
211          3        4        ERR069726
212          4        7        ERR065338
213          4        7        ERR129041
214          5        9        ERR065297
215          5        10       ERR129120
216          5        9        ERR129061
217          4        5        ERR124219
218          4        5        ERR065345
219          4        6        ERR124305
220          5        10       ERR129197
221          5        8        ERR124223
222          5        8        ERR069734
223          4        7        ERR129167
224          3        4        ERR129143
225          3        4        ERR124299
226          5        8        ERR129092
227          3        4        ERR068002
228          4        7        ERR068003
229          5        9        ERR124268
230          2        3        ERR129181
231          5        10       ERR069696
232          5        10       ERR129072
233          4        6        ERR129111
234          4        6        ERR068006
235          5        2        ERR068035
236          5        8        ERR069798
237          5        9        ERR069760
238          5        10       ERR067984
239          5        8        ERR069782
240          3        4        ERR124236
241          5        10       ERR068045
242          4        6        ERR065959
243          4        7        ERR129045
244          5        10       ERR069781
245          4        6        ERR069832
246          5        9        ERR065320
247          4        6        ERR124292
248          5        10       ERR129186
249          4        7        ERR124308
250          4        7        ERR129043
251          5        10       ERR069805
252          5        10       ERR124220
253          4        5        ERR069800
254          5        10       ERR068021
255          5        8        ERR067998
256          4        6        ERR124312
257          5        8        ERR065971
258          5        10       ERR129183
259          5        10       ERR068034
260          4        5        ERR065311
261          4        7        ERR069767
262          4        5        ERR067967
263          5        10       ERR069691
264          4        5        ERR129161
265          4        6        ERR069716
266          2        3        ERR124289
267          5        10       ERR129153
268          5        10       ERR129057
269          5        9        ERR129131
270          4        7        ERR069772
271          5        10       ERR124281
272          4        6        ERR069750
273          4        7        ERR124227
274          4        7        ERR069813
275          4        6        ERR124253
276          5        9        ERR069724
277          4        5        ERR065966
278          5        10       ERR124267
279          4        6        ERR124254
280          5        8        ERR129168
281          5        8        ERR124320
282          4        6        ERR065298
283          5        9        ERR069804
284          4        7        ERR065303
285          5        8        ERR065957
286          5        9        ERR068042
287          5        10       ERR069692
288          5        9        ERR124249
289          5        8        ERR069759
290          4        7        ERR069723
291          4        5        ERR067976
292          4        5        ERR065307
293          5        10       ERR069745
294          5        10       ERR129081
295          5        9        ERR129198
296          4        7        ERR069742
297          4        6        ERR069718
298          4        6        ERR124224
299          4        5        ERR069790
300          5        8        ERR069827
301          5        10       ERR129142
302          2        3        ERR124309
303          4        7        ERR069806
304          5        9        ERR129068
305          5        9        ERR067978
306          5        8        ERR069741
307          5        10       ERR129136
308          5        2        ERR129062
309          4        6        ERR129203
310          5        9        ERR068032
311          4        6        ERR065316
312          4        6        ERR124217
313          4        6        ERR067991
314          5        10       ERR124284
315          5        9        ERR129079
316          4        7        ERR069722
317          4        7        ERR124260
318          4        6        ERR069701
319          5        8        ERR129162
320          4        6        ERR129124
321          5        9        ERR124246
322          5        8        ERR065299
323          2        3        ERR129184
324          5        8        ERR124233
325          4        6        ERR124266
326          5        8        ERR069818
327          3        4        ERR068029
328          5        9        ERR124239
329          3        4        ERR124279
330          5        10       ERR129175
331          4        7        ERR065294
332          5        9        ERR129139
333          4        7        ERR069778
334          4        5        ERR068015
335          1        1        ERR129128
336          3        4        ERR129163
337          5        9        ERR068028
338          4        5        ERR065355
339          4        7        ERR068023
340          4        5        ERR069777
341          5        2        ERR069791
342          5        10       ERR124263
343          5        10       ERR069704
344          2        3        ERR129134
345          5        10       ERR129025
346          3        4        ERR065351
347          4        5        ERR069807
348          5        10       ERR129209
349          5        10       ERR069761
350          5        10       ERR129034
351          5        8        ERR129172
352          5        9        ERR124240
353          4        5        ERR065346
354          5        10       ERR069828
355          4        7        ERR129156
356          3        4        ERR067988
357          5        8        ERR069714
358          5        2        ERR068036
359          3        4        ERR129035
360          4        7        ERR069697
361          4        5        ERR065306
362          4        5        ERR065313
363          4        6        ERR129038
364          5        8        ERR124294
365          4        6        ERR124243
366          5        8        ERR067975
367          5        10       ERR129046
368          2        3        ERR129053
369          5        9        ERR124272
370          5        10       ERR124225
371          4        6        ERR065321
372          5        10       ERR068011
373          4        6        ERR124264
374          5        9        ERR069707
375          4        7        ERR124252
376          4        5        ERR129082
377          4        5        ERR069743
378          4        5        ERR067980
379          4        7        ERR069836
380          5        9        ERR068047
381          5        10       ERR065288
382          4        7        ERR124258
383          5        2        ERR065314
384          3        4        ERR124301
385          5        10       ERR129091
386          2        3        ERR067982
387          4        6        ERR124276
388          5        8        ERR129118
389          2        3        ERR065318
390          5        8        ERR068010
391          4        6        ERR129067
392          4        7        ERR065349
393          2        3        ERR068030
394          3        4        ERR069728
395          4        6        ERR067997
396          5        10       ERR065291
397          4        7        ERR069730
398          1        1        ERR069763
399          5        9        ERR124300
400          5        10       ERR129202
401          3        4        ERR124290
402          5        9        ERR129178
403          4        5        ERR065955
404          4        6        ERR124265
405          5        10       ERR129121
406          5        9        ERR067968
407          4        6        ERR069766
408          5        10       ERR129123
409          4        7        ERR067965
410          5        8        ERR065969
411          5        2        ERR069842
412          5        10       ERR129185
413          4        7        ERR069810
414          5        10       ERR129174
415          4        7        ERR124318
416          5        9        ERR129177
417          4        7        ERR065352
418          5        9        ERR069839
419          5        8        ERR129182
420          5        8        ERR069788
421          4        6        ERR067983
422          5        8        ERR069784
423          5        10       ERR065290
424          4        5        ERR065322
425          5        8        ERR069693
426          4        6        ERR129169
427          5        9        ERR124242
428          5        10       ERR129138
429          5        10       ERR065337
430          5        9        ERR129137
431          5        8        ERR129036
432          5        9        ERR065308
433          5        8        ERR065958
434          4        6        ERR067989
435          5        2        ERR129078
436          5        9        ERR129054
437          1        1        ERR069747
438          4        5        ERR129208
439          5        10       ERR124251
440          5        10       ERR065975
441          5        10       ERR129135
442          5        2        ERR069699
443          5        9        ERR069702
444          5        2        ERR069793
445          3        4        ERR129119
446          5        10       ERR124234
447          3        4        ERR124273
448          5        10       ERR068038
449          5        8        ERR068043
450          5        9        ERR065964
451          5        10       ERR129125
452          5        10       ERR069705
453          5        10       ERR065328
454          5        8        ERR129031
455          5        8        ERR129049
456          4        5        ERR129205
457          5        8        ERR069799
458          5        2        ERR067990
459          4        5        ERR069694
460          2        3        ERR068009
461          1        1        ERR124303
462          5        9        ERR129060
463          3        4        ERR129173
464          5        10       ERR124313
465          5        10       ERR069758
466          4        6        ERR124317
467          4        6        ERR129188
468          5        10       ERR124280
469          5        9        ERR069837
470          4        6        ERR129056
471          4        5        ERR124245
472          5        8        ERR069779
473          5        10       ERR129033
474          4        6        ERR069775
475          5        9        ERR068000
476          5        10       ERR069684
477          4        7        ERR124306
478          4        6        ERR129073
479          4        5        ERR129192
480          4        5        ERR069736
481          4        5        ERR129098
482          3        4        ERR069733
483          5        10       ERR129190
484          5        8        ERR069797
485          4        6        ERR069757
486          5        8        ERR065339
487          4        7        ERR069816
488          4        5        ERR124238
489          5        10       ERR069753
490          5        9        ERR068049
491          2        3        ERR069776
492          3        4        ERR129104
493          4        7        ERR069783
494          5        10       ERR129103
495          3        4        ERR067963
496          5        8        ERR129115
497          4        7        ERR068022
498          4        6        ERR124230
499          5        2        ERR069762
500          2        3        ERR069794
501          5        10       ERR124295
502          4        5        ERR067973
503          5        8        ERR069821
504          3        4        ERR067992
505          5        10       ERR065340
506          1        1        ERR065963
507          4        6        ERR129145
508          3        4        ERR124275
509          4        5        ERR065331
510          5        10       ERR067972
511          5        8        ERR124297
512          5        10       ERR068024
513          5        2        ERR067999
514          5        10       ERR065323
515          4        7        ERR067987
516          4        5        ERR129141
517          5        10       ERR065319
518          4        7        ERR065956
519          5        8        ERR129193
520          5        9        ERR129093
521          4        6        ERR069808
522          3        4        ERR129089
523          4        7        ERR129047
524          4        5        ERR129133
525          4        7        ERR065312
526          4        5        ERR065348
527          5        8        ERR067979
528          4        7        ERR129095
529          5        8        ERR124286
530          5        9        ERR129211
531          3        4        ERR068033
532          5        10       ERR124270
533          5        9        ERR124298
534          4        7        ERR129194
535          4        5        ERR129171
536          4        5        ERR129122
537          4        5        ERR129100
538          5        10       ERR129030
