2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
49        64        1               25               0.9        ERR124226
49        64        1               70               0.5        ERR124257
49        64        1               80               0.9        ERR129028
49        64        1               156              0.5        ERR069789
49        64        1               173              0.9        ERR129083
49        64        1               201              0.9        ERR129216
49        64        1               229              0.9        ERR129064
49        64        1               250              0.9        ERR069769
27        236       3               276              0.7        ERR069782
49        64        1               291              0.5        ERR068021
49        64        1               350              0.9        ERR129136
49        64        1               452              0.9        ERR129202
49        64        1               467              0.5        ERR129185
49        64        1               486              0.9        ERR129138
49        64        1               567              0.9        ERR129103
49        64        1               586              0.5        ERR067972
49        64        1               616              0.9        ERR129030
