StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            4        6        ERR065974
3            4        10       ERR129065
4            4        10       ERR129037
5            4        10       ERR069700
6            4        8        ERR124247
7            4        4        ERR124222
8            3        9        ERR065305
9            4        7        ERR069786
10           4        10       ERR129179
11           4        6        ERR129176
12           4        10       ERR069709
13           4        10       ERR067985
14           4        10       ERR129212
15           3        9        ERR068037
16           4        10       ERR069814
17           4        10       ERR124241
18           3        9        ERR069795
19           4        10       ERR124293
20           4        10       ERR069735
21           3        9        ERR069773
22           4        10       ERR067966
23           4        8        ERR129029
24           4        10       ERR129105
25           3        9        ERR124226
26           4        10       ERR129196
27           4        8        ERR069823
28           4        7        ERR124319
29           4        10       ERR068001
30           4        6        ERR129117
31           3        9        ERR069764
32           4        10       ERR068007
33           3        9        ERR068008
34           4        10       ERR067969
35           4        10       ERR069703
36           4        10       ERR129195
37           3        5        ERR065325
38           4        6        ERR124256
39           4        10       ERR129087
40           4        10       ERR069819
41           3        9        ERR129129
42           3        5        ERR065960
43           4        8        ERR069796
44           4        10       ERR065326
45           4        10       ERR069712
46           4        10       ERR124244
47           4        4        ERR129075
48           4        10       ERR069713
49           4        10       ERR069826
50           4        6        ERR065341
51           4        8        ERR069771
52           4        4        ERR069706
53           3        9        ERR065970
54           4        6        ERR129130
55           3        9        ERR129096
56           4        8        ERR129107
57           4        6        ERR069809
58           3        9        ERR065302
59           3        9        ERR129187
60           4        10       ERR124314
61           3        9        ERR069686
62           4        10       ERR069824
63           4        6        ERR068048
64           3        9        ERR065972
65           4        6        ERR129164
66           3        9        ERR069688
67           4        7        ERR069685
68           3        9        ERR124307
69           4        10       ERR067962
70           4        10       ERR124257
71           4        10       ERR129127
72           4        10       ERR065301
73           2        2        ERR124287
74           3        9        ERR068025
75           4        8        ERR067964
76           3        9        ERR069811
77           4        10       ERR069727
78           3        9        ERR129063
79           4        7        ERR065332
80           4        6        ERR129028
81           3        9        ERR065287
82           4        6        ERR129213
83           4        8        ERR129155
84           4        7        ERR129042
85           4        10       ERR129148
86           3        9        ERR129040
87           4        8        ERR069835
88           4        7        ERR129146
89           4        10       ERR129102
90           4        10       ERR069729
91           3        9        ERR129152
92           4        10       ERR069748
93           4        4        ERR069843
94           3        9        ERR124229
95           4        6        ERR129088
96           4        10       ERR069752
97           4        6        ERR065350
98           3        9        ERR129149
99           4        10       ERR129214
100          3        9        ERR069833
101          4        10       ERR124310
102          4        10       ERR068046
103          4        10       ERR129215
104          4        8        ERR129140
105          3        9        ERR069831
106          3        9        ERR068014
107          3        9        ERR124315
108          4        4        ERR124255
109          4        10       ERR065342
110          4        7        ERR124235
111          3        9        ERR129159
112          3        9        ERR129204
113          3        9        ERR129094
114          4        10       ERR069689
