4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1586      1733      3               1                6.4        ERR069738
1573      1733      2               2                5.0        ERR065974
1573      1733      2               4                4.5        ERR129037
1573      1733      2               12               4.5        ERR067985
1586      1733      3               13               6.4        ERR068037
1573      1733      2               40               4.5        ERR065326
1586      1733      1               42               10.0       ERR124244
1573      1733      2               43               4.5        ERR069713
1573      1733      2               45               5.0        ERR065341
1573      1733      2               48               5.0        ERR129130
1586      1733      3               49               6.4        ERR129096
1586      1733      3               54               6.4        ERR069686
1573      1733      2               55               5.0        ERR069824
1586      1733      3               59               6.4        ERR069688
1586      1733      3               61               6.4        ERR124307
1573      1733      2               64               4.5        ERR129127
1573      1733      2               70               4.5        ERR069727
1152      1733      3               80               10.6       ERR129102
1573      1733      2               81               5.0        ERR069729
1573      1733      2               85               4.5        ERR069752
1573      1733      2               88               4.5        ERR129214
1573      1733      2               91               4.5        ERR068046
1573      1733      2               92               4.5        ERR129215
1573      1733      2               99               4.5        ERR129159
1586      1733      3               100              6.4        ERR129204
1586      1733      3               106              6.4        ERR067996
1573      1733      2               120              4.5        ERR129154
1573      1733      2               121              4.5        ERR068040
1573      1733      2               127              4.5        ERR067986
1573      1733      2               128              4.5        ERR124291
1573      1733      2               132              4.5        ERR069822
1573      1733      2               138              4.5        ERR065310
1586      1733      3               142              6.4        ERR065343
1573      1733      2               148              5.0        ERR065965
1711      1733      1               154              1.5        ERR069698
1573      1733      2               156              4.5        ERR124302
1316      1733      3               168              5.4        ERR067993
1573      1733      2               174              4.5        ERR129210
1573      1733      2               192              4.5        ERR068018
1573      1733      2               193              4.5        ERR124296
1586      1733      3               198              6.4        ERR124248
1573      1733      2               199              4.5        ERR068041
1573      1733      2               207              4.5        ERR069801
1711      1733      1               208              1.5        ERR124221
1573      1733      2               209              4.5        ERR129080
1573      1733      2               234              4.5        ERR124268
1573      1733      2               241              5.0        ERR124278
1573      1733      2               242              4.5        ERR069760
1586      1733      3               265              6.4        ERR069767
1573      1733      2               273              4.5        ERR129131
1573      1733      2               274              5.0        ERR069772
1573      1733      2               287              4.5        ERR069804
1573      1733      2               304              5.0        ERR069806
1573      1733      2               305              4.5        ERR129068
1573      1733      2               312              4.5        ERR129079
1586      1733      3               314              6.4        ERR124260
1573      1733      2               316              4.5        ERR124246
1573      1733      2               325              4.5        ERR129139
1586      1733      3               326              6.4        ERR069778
1573      1733      2               342              4.5        ERR124240
1586      1733      3               348              6.4        ERR129156
1152      1733      3               351              10.6       ERR129071
1573      1733      2               361              5.0        ERR065289
1573      1733      2               367              4.5        ERR069707
1586      1733      3               372              6.4        ERR069836
1573      1733      2               373              4.5        ERR068047
1573      1733      2               387              5.0        ERR069730
1573      1733      2               391              4.5        ERR129178
1573      1733      2               395              4.5        ERR067968
1586      1733      3               400              6.4        ERR067965
1573      1733      2               405              4.5        ERR129177
1573      1733      2               408              4.5        ERR069839
1573      1733      2               418              4.5        ERR124242
1573      1733      2               421              4.5        ERR129137
1573      1733      2               424              5.0        ERR065296
1573      1733      2               425              4.5        ERR065308
1649      1677      4               432              5.5        ERR129110
1573      1733      2               435              4.5        ERR069702
1573      1733      2               441              4.5        ERR065964
1573      1733      2               458              4.5        ERR069837
1573      1733      2               462              4.5        ERR068000
1573      1733      2               476              5.0        ERR069816
1586      1733      3               482              6.4        ERR069783
1573      1733      2               509              5.0        ERR065956
1573      1733      2               510              4.5        ERR129093
1573      1733      2               520              4.5        ERR129211
1573      1733      2               524              4.5        ERR124298
