StrainIndex  Lineage  Cluster  Name
1            2        5        ERR069738
2            1        1        ERR065974
3            2        5        ERR129065
4            2        3        ERR129037
5            2        4        ERR069700
6            2        3        ERR124247
7            2        6        ERR124222
8            2        5        ERR065305
9            2        4        ERR069786
10           2        4        ERR129179
11           2        6        ERR129176
12           2        2        ERR069709
13           2        3        ERR067985
14           2        6        ERR129212
15           2        5        ERR068037
16           2        3        ERR069814
17           2        4        ERR124241
18           2        5        ERR069795
19           2        4        ERR124293
20           2        6        ERR069735
21           2        6        ERR069773
22           2        4        ERR067966
23           2        5        ERR129029
24           2        6        ERR129105
25           2        5        ERR124226
26           2        6        ERR129196
27           2        4        ERR069823
28           2        6        ERR124319
29           2        2        ERR068001
30           2        6        ERR129117
31           2        6        ERR069764
32           2        3        ERR068007
33           2        5        ERR068008
34           2        4        ERR067969
35           2        4        ERR069703
36           2        6        ERR129195
37           2        6        ERR065325
38           2        5        ERR124256
39           2        4        ERR129087
40           2        6        ERR069819
41           2        5        ERR129129
42           2        6        ERR065960
43           2        5        ERR069796
44           2        3        ERR065326
45           2        6        ERR069712
46           2        4        ERR124244
47           2        6        ERR129075
48           2        3        ERR069713
49           2        5        ERR069826
50           1        1        ERR065341
51           2        5        ERR069771
52           2        6        ERR069706
53           2        5        ERR065970
54           1        1        ERR129130
55           2        5        ERR129096
56           2        5        ERR129107
57           2        5        ERR069809
58           2        6        ERR065302
59           2        6        ERR129187
60           2        4        ERR124314
61           2        5        ERR069686
62           2        4        ERR069824
63           2        5        ERR068048
64           2        5        ERR065972
65           2        6        ERR129164
66           2        5        ERR069688
67           2        6        ERR069685
68           2        5        ERR124307
69           2        4        ERR067962
70           2        3        ERR124257
71           2        3        ERR129127
72           2        6        ERR065301
73           2        6        ERR124287
74           2        4        ERR068025
75           2        4        ERR067964
76           2        4        ERR069811
77           2        3        ERR069727
78           2        5        ERR129063
79           2        6        ERR065332
80           2        6        ERR129028
81           2        5        ERR065287
82           2        6        ERR129213
83           2        5        ERR129155
84           2        6        ERR129042
85           2        4        ERR129148
86           2        6        ERR129040
87           2        4        ERR069835
88           2        6        ERR129146
89           2        3        ERR129102
90           2        4        ERR069729
91           2        4        ERR129152
92           2        6        ERR069748
93           2        6        ERR069843
94           2        5        ERR124229
95           2        6        ERR129088
96           2        3        ERR069752
97           2        5        ERR065350
98           2        5        ERR129149
99           2        3        ERR129214
100          2        5        ERR069833
101          2        6        ERR124310
102          2        3        ERR068046
103          2        3        ERR129215
104          2        5        ERR069831
105          2        6        ERR068014
106          2        5        ERR124315
107          2        6        ERR124255
108          2        6        ERR065342
109          2        6        ERR124235
110          2        3        ERR129159
111          2        5        ERR129204
112          2        6        ERR129094
113          2        6        ERR069689
114          2        5        ERR069751
115          2        2        ERR068005
116          2        4        ERR069749
117          2        6        ERR067981
118          2        5        ERR067996
119          2        5        ERR129052
120          2        6        ERR069785
121          2        6        ERR069792
122          2        6        ERR124271
123          2        5        ERR069687
124          2        4        ERR124277
125          2        6        ERR124228
126          2        5        ERR129044
127          2        2        ERR065353
128          2        4        ERR129074
129          2        5        ERR069817
130          2        2        ERR065953
131          2        6        ERR129076
132          2        3        ERR129154
133          2        6        ERR069725
134          2        3        ERR068040
135          2        6        ERR129051
136          2        6        ERR129157
137          2        6        ERR124311
138          2        4        ERR069746
139          2        6        ERR068031
140          2        3        ERR067986
141          2        3        ERR124291
142          2        6        ERR129055
143          2        5        ERR069780
144          2        4        ERR065327
145          2        3        ERR069822
146          2        5        ERR129207
147          2        6        ERR124288
148          2        6        ERR129026
149          2        4        ERR124218
150          2        5        ERR068027
151          2        2        ERR069710
152          2        3        ERR065310
153          2        5        ERR129160
154          2        4        ERR065300
155          2        3        ERR069789
156          2        5        ERR065343
157          2        5        ERR069802
158          2        2        ERR129027
159          2        5        ERR129170
160          2        6        ERR129048
161          2        6        ERR065968
162          1        1        ERR065965
163          2        5        ERR068044
164          2        6        ERR129180
165          2        3        ERR068016
166          2        4        ERR065324
167          2        5        ERR129112
168          2        6        ERR129158
169          2        6        ERR069698
170          2        4        ERR069812
171          2        3        ERR124302
172          2        6        ERR129083
173          2        6        ERR065354
174          2        4        ERR069787
175          2        5        ERR068017
176          2        3        ERR129066
177          2        4        ERR129039
178          2        4        ERR065329
179          2        5        ERR124269
180          2        4        ERR129200
181          2        5        ERR067995
182          2        6        ERR068012
183          2        6        ERR124274
184          1        1        ERR067993
185          2        6        ERR069708
186          2        5        ERR129106
187          2        5        ERR069717
188          2        5        ERR067974
189          2        4        ERR069744
190          2        3        ERR129210
191          2        5        ERR129108
192          2        6        ERR129132
193          2        5        ERR069711
194          2        4        ERR068019
195          2        4        ERR129099
196          2        5        ERR129059
197          2        4        ERR065292
198          2        6        ERR067961
199          2        5        ERR069820
200          2        6        ERR129216
201          2        5        ERR129116
202          2        4        ERR124250
203          2        6        ERR069690
204          2        6        ERR065973
205          2        6        ERR065309
206          2        6        ERR124283
207          2        6        ERR065293
208          2        4        ERR069825
209          2        4        ERR069737
210          2        4        ERR124316
211          2        3        ERR065304
212          2        6        ERR129144
213          2        4        ERR124232
214          2        6        ERR068018
215          2        3        ERR124296
216          2        5        ERR067960
217          2        5        ERR068050
218          2        6        ERR068039
219          2        2        ERR068004
220          2        5        ERR129032
221          2        5        ERR124248
222          2        3        ERR068041
223          2        4        ERR129086
224          2        5        ERR065317
225          2        4        ERR069834
226          2        6        ERR069720
227          2        6        ERR129050
228          2        6        ERR129064
229          2        5        ERR069830
230          2        5        ERR069774
231          2        6        ERR129206
232          2        3        ERR069801
233          2        6        ERR124221
234          2        3        ERR129080
235          2        6        ERR068026
236          2        5        ERR129147
237          2        5        ERR069829
238          2        6        ERR129077
239          2        4        ERR067994
240          2        4        ERR069726
241          2        5        ERR065338
242          2        6        ERR129041
243          2        6        ERR065297
244          2        5        ERR129120
245          2        6        ERR129061
246          2        5        ERR124219
247          2        5        ERR065345
248          2        6        ERR124305
249          2        5        ERR069769
250          2        6        ERR065295
251          2        6        ERR069768
252          2        5        ERR129197
253          2        4        ERR065967
254          2        2        ERR124223
255          2        2        ERR069734
256          2        6        ERR129167
257          2        4        ERR129143
258          2        4        ERR124299
259          2        2        ERR129092
260          2        6        ERR129090
261          2        4        ERR068002
262          2        6        ERR068003
263          2        3        ERR124268
264          2        5        ERR129181
265          2        5        ERR069696
266          2        5        ERR129072
267          2        4        ERR065344
268          2        6        ERR129111
269          2        6        ERR068006
270          2        6        ERR068035
271          2        6        ERR069798
272          1        1        ERR124278
273          2        3        ERR069760
274          2        5        ERR067984
275          2        6        ERR069782
276          2        4        ERR124236
277          2        3        ERR065959
278          2        4        ERR129045
279          2        5        ERR069781
280          2        6        ERR069832
281          2        6        ERR065320
282          2        6        ERR124292
283          2        5        ERR129186
284          2        6        ERR124308
285          2        6        ERR129043
286          2        5        ERR069805
287          2        5        ERR124220
288          2        5        ERR069800
289          2        3        ERR068021
290          2        6        ERR067998
291          2        6        ERR124312
292          2        6        ERR065971
293          2        5        ERR129183
294          2        5        ERR068034
295          2        5        ERR065311
296          2        6        ERR068020
297          2        5        ERR069767
298          2        5        ERR067967
299          2        5        ERR069691
300          2        5        ERR129161
301          2        6        ERR069716
302          2        6        ERR124289
