StrainIndex  Lineage  Cluster  Name
1            4        4        ERR069823
2            4        4        ERR069712
3            3        3        ERR129164
4            4        4        ERR067964
5            4        4        ERR069835
6            3        3        ERR129088
7            3        3        ERR067981
8            4        4        ERR129051
9            4        4        ERR069746
10           4        4        ERR065968
11           3        3        ERR129158
12           4        4        ERR069812
13           3        3        ERR068012
14           4        4        ERR129132
15           4        4        ERR065292
16           4        4        ERR069690
17           4        4        ERR068018
18           4        4        ERR069768
19           4        4        ERR065967
20           4        4        ERR129090
21           2        2        ERR129181
22           4        4        ERR065344
23           4        4        ERR068020
24           4        4        ERR067977
25           4        4        ERR069715
26           3        3        ERR069683
27           4        4        ERR065962
28           4        4        ERR069755
29           4        4        ERR124285
30           1        1        ERR129126
31           4        4        ERR124265
32           4        4        ERR069765
33           4        4        ERR129113
34           4        4        ERR068013
35           4        4        ERR124231
36           4        4        ERR124304
37           4        4        ERR124282
38           4        4        ERR069732
39           4        4        ERR129058
40           4        4        ERR065330
41           4        4        ERR069719
42           4        4        ERR069770
43           4        4        ERR069721
44           3        3        ERR129199
45           4        4        ERR069740
46           4        4        ERR124237
