StrainIndex  Lineage  Cluster  Name
1            2        9        ERR069738
2            2        4        ERR065974
3            2        4        ERR129065
4            2        7        ERR129037
5            2        8        ERR069700
6            2        3        ERR124247
7            2        4        ERR124222
8            2        9        ERR065305
9            2        9        ERR069786
10           2        5        ERR129179
11           2        9        ERR129176
12           2        9        ERR069709
13           2        7        ERR067985
14           2        8        ERR129212
15           2        9        ERR068037
16           2        7        ERR069814
17           2        5        ERR124241
18           2        9        ERR069795
19           2        5        ERR124293
20           2        9        ERR069735
21           2        9        ERR069773
22           2        8        ERR067966
23           2        6        ERR129029
24           2        3        ERR129105
25           2        6        ERR124226
26           2        3        ERR129196
27           2        8        ERR069823
28           2        9        ERR124319
29           2        9        ERR068001
30           2        9        ERR129117
31           2        9        ERR069764
32           2        7        ERR068007
33           2        9        ERR068008
34           2        8        ERR067969
35           2        5        ERR069703
36           2        3        ERR129195
37           2        5        ERR065325
38           2        4        ERR124256
39           2        5        ERR129087
40           2        9        ERR069819
41           2        9        ERR129129
42           2        5        ERR065960
43           2        9        ERR069796
44           2        7        ERR065326
45           2        8        ERR069712
46           2        4        ERR124244
47           2        4        ERR129075
48           2        7        ERR069713
49           2        4        ERR069826
50           2        4        ERR065341
51           2        9        ERR069771
52           2        4        ERR069706
53           2        9        ERR065970
54           2        4        ERR129130
55           2        9        ERR129096
56           2        6        ERR129107
57           2        4        ERR069809
58           2        9        ERR065302
59           2        3        ERR129187
60           2        8        ERR124314
61           2        9        ERR069686
62           2        4        ERR068048
63           2        9        ERR065972
64           2        8        ERR129164
65           2        9        ERR069688
66           2        9        ERR069685
67           2        9        ERR124307
68           2        5        ERR067962
69           2        9        ERR124257
70           2        3        ERR065301
71           2        6        ERR124287
72           2        9        ERR068025
73           2        8        ERR067964
74           2        9        ERR069811
75           2        7        ERR069727
76           2        9        ERR129063
77           2        7        ERR065332
78           2        3        ERR129028
79           2        9        ERR065287
80           2        9        ERR129213
81           2        6        ERR129155
82           2        9        ERR129042
83           2        5        ERR129148
84           2        9        ERR129040
85           2        8        ERR069835
86           2        7        ERR129146
87           2        4        ERR129102
88           2        9        ERR129152
89           2        8        ERR069748
90           2        4        ERR069843
91           2        9        ERR124229
92           2        8        ERR129088
93           2        7        ERR069752
94           2        6        ERR065350
95           2        9        ERR129149
96           2        7        ERR129214
97           2        9        ERR069833
98           2        6        ERR124310
99           2        7        ERR068046
100          2        7        ERR129215
101          2        9        ERR129140
102          2        9        ERR069831
103          2        3        ERR068014
104          2        9        ERR124315
105          2        4        ERR124255
106          2        3        ERR065342
107          2        9        ERR124235
108          2        7        ERR129159
109          2        9        ERR129204
110          2        3        ERR129094
111          2        8        ERR069689
112          2        9        ERR069751
113          2        9        ERR068005
114          2        5        ERR069749
115          2        8        ERR067981
116          2        9        ERR067996
117          2        6        ERR129052
118          2        6        ERR069785
119          2        9        ERR069792
120          2        8        ERR124271
121          2        9        ERR069687
122          2        5        ERR124277
123          2        8        ERR124228
124          2        9        ERR129044
125          2        9        ERR065353
126          2        5        ERR129074
127          2        9        ERR069817
128          2        9        ERR065953
129          2        6        ERR129076
130          2        7        ERR129154
131          2        7        ERR069725
132          2        7        ERR068040
133          2        8        ERR129051
134          2        9        ERR129157
135          2        3        ERR124311
136          2        8        ERR069746
137          2        9        ERR068031
138          2        7        ERR067986
139          2        7        ERR124291
140          2        6        ERR129055
141          2        4        ERR069780
142          2        9        ERR065327
143          2        7        ERR069822
144          2        9        ERR129207
145          2        9        ERR124288
146          2        7        ERR129026
147          2        3        ERR124218
148          2        6        ERR068027
149          2        9        ERR069710
150          2        7        ERR065310
151          2        9        ERR129160
152          2        5        ERR065300
153          2        7        ERR069789
154          2        9        ERR065343
155          2        6        ERR069802
156          2        9        ERR129027
157          2        9        ERR129170
158          2        6        ERR129048
159          2        8        ERR065968
160          2        4        ERR065965
161          2        9        ERR068044
162          2        8        ERR129180
163          2        3        ERR068016
164          2        5        ERR065324
165          2        9        ERR129112
166          2        8        ERR129158
167          2        7        ERR069698
168          2        8        ERR069812
169          2        7        ERR124302
170          2        3        ERR129083
171          2        9        ERR065354
172          2        8        ERR069787
173          2        9        ERR068017
174          2        3        ERR129066
175          2        9        ERR129039
176          2        5        ERR065329
177          2        9        ERR124269
178          2        5        ERR129200
179          2        9        ERR067995
180          2        8        ERR068012
181          2        7        ERR124274
182          2        4        ERR067993
183          2        9        ERR069708
184          2        6        ERR129106
185          2        9        ERR069717
186          2        9        ERR067974
187          2        8        ERR069744
188          2        7        ERR129210
189          2        9        ERR129108
190          2        8        ERR129132
191          2        9        ERR069711
192          2        5        ERR068019
193          2        5        ERR129099
194          2        9        ERR129059
195          2        8        ERR065292
196          2        8        ERR067961
197          2        9        ERR069820
198          2        3        ERR129216
199          2        6        ERR129116
200          2        5        ERR124250
201          2        8        ERR069690
202          2        4        ERR065973
203          2        6        ERR065309
204          2        7        ERR124283
205          2        7        ERR065293
206          2        5        ERR069737
207          2        5        ERR124316
208          2        3        ERR065304
209          2        3        ERR129144
210          2        9        ERR124232
211          2        8        ERR068018
212          2        7        ERR124296
213          2        9        ERR067960
214          2        9        ERR068050
215          2        9        ERR068039
216          2        9        ERR068004
217          2        9        ERR129032
218          2        9        ERR124248
219          2        7        ERR068041
220          2        5        ERR129086
221          2        9        ERR065317
222          2        5        ERR069834
223          2        4        ERR069720
224          2        5        ERR129050
225          2        6        ERR129064
226          2        6        ERR069830
227          2        9        ERR069774
228          2        3        ERR129206
229          2        7        ERR069801
230          2        7        ERR124221
231          2        7        ERR129080
232          2        7        ERR068026
233          2        6        ERR129147
234          2        9        ERR069829
235          2        3        ERR129077
236          2        9        ERR067994
237          2        5        ERR069726
238          2        9        ERR065338
239          2        8        ERR129041
240          2        7        ERR065297
241          2        9        ERR129120
242          2        7        ERR129061
243          2        6        ERR124219
244          2        6        ERR065345
245          2        6        ERR124305
246          2        6        ERR069769
247          2        9        ERR065295
248          2        8        ERR069768
249          2        9        ERR129197
250          2        8        ERR065967
251          2        9        ERR124223
252          2        9        ERR069734
253          2        9        ERR129167
254          2        5        ERR129143
255          2        5        ERR124299
256          2        9        ERR129092
257          2        8        ERR129090
258          2        5        ERR068002
259          2        4        ERR068003
260          2        7        ERR124268
261          2        3        ERR129181
262          2        9        ERR069696
263          2        9        ERR129072
264          2        8        ERR065344
265          2        6        ERR129111
266          2        8        ERR068006
267          2        4        ERR068035
268          2        9        ERR069798
269          2        4        ERR124278
270          2        7        ERR069760
271          2        9        ERR067984
272          2        9        ERR069782
273          2        5        ERR124236
274          2        9        ERR068045
275          2        3        ERR065959
276          2        9        ERR129045
277          2        9        ERR069781
278          2        8        ERR069832
279          2        7        ERR065320
280          2        8        ERR124292
281          2        9        ERR129186
282          2        9        ERR124308
283          2        9        ERR129043
284          2        9        ERR069805
285          2        9        ERR124220
286          2        6        ERR069800
287          2        7        ERR068021
288          2        3        ERR067998
289          2        8        ERR124312
290          2        9        ERR065971
291          2        9        ERR129183
292          2        9        ERR068034
293          2        6        ERR065311
294          2        8        ERR068020
295          2        9        ERR069767
296          2        6        ERR067967
297          2        9        ERR069691
298          2        6        ERR129161
299          2        8        ERR069716
300          2        8        ERR124289
301          2        9        ERR129153
302          2        3        ERR129057
303          2        8        ERR067977
304          2        7        ERR129131
305          2        9        ERR124281
306          2        8        ERR069750
307          2        8        ERR069715
308          2        9        ERR124227
309          2        8        ERR069683
310          2        9        ERR069813
311          2        6        ERR124253
312          2        7        ERR069724
313          2        6        ERR065966
314          2        4        ERR069803
315          2        9        ERR124267
316          2        9        ERR124254
317          2        9        ERR129168
318          2        3        ERR124320
319          2        9        ERR065298
320          2        7        ERR069804
321          2        9        ERR065303
322          2        9        ERR065957
323          2        7        ERR068042
324          2        4        ERR069692
325          2        7        ERR124249
326          2        9        ERR069759
327          2        9        ERR069723
328          2        7        ERR067976
329          2        6        ERR065307
330          2        8        ERR065962
331          2        9        ERR069745
332          2        9        ERR129081
333          2        7        ERR129198
334          2        6        ERR069742
335          2        8        ERR069718
336          2        8        ERR124224
337          2        6        ERR069790
338          2        9        ERR069827
339          2        9        ERR129142
340          2        8        ERR124309
341          2        7        ERR129068
342          2        7        ERR067978
343          2        9        ERR069741
344          2        3        ERR129136
345          2        4        ERR129062
346          2        9        ERR129203
347          2        7        ERR068032
348          2        6        ERR065316
349          2        6        ERR124217
350          2        3        ERR067991
351          2        9        ERR124284
352          2        7        ERR129079
353          2        5        ERR069722
354          2        9        ERR124260
355          2        8        ERR069701
