6 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
711       732       5               5                2.7        ERR069700
151       169       2               33               3.1        ERR068008
216       276       5               33               3.3        ERR068008
277       429       2               33               7.8        ERR068008
151       169       2               43               3.1        ERR069796
216       276       5               43               3.3        ERR069796
277       429       2               43               7.8        ERR069796
151       169       2               51               3.1        ERR069771
216       276       5               51               3.3        ERR069771
277       429       2               51               7.8        ERR069771
151       169       2               78               3.1        ERR129063
216       276       5               78               3.3        ERR129063
277       429       2               78               7.8        ERR129063
151       169       2               104              3.1        ERR129140
216       276       5               104              3.3        ERR129140
277       429       2               104              7.8        ERR129140
151       169       2               105              3.1        ERR069831
216       276       5               105              3.3        ERR069831
277       429       2               105              7.8        ERR069831
151       169       2               107              3.1        ERR124315
216       276       5               107              3.3        ERR124315
277       429       2               107              7.8        ERR124315
151       169       2               130              3.1        ERR069817
216       276       5               130              3.3        ERR069817
277       429       2               130              7.8        ERR069817
151       169       2               154              3.1        ERR129160
216       276       5               154              3.3        ERR129160
277       429       2               154              7.8        ERR129160
151       169       2               168              3.1        ERR129112
216       276       5               168              3.3        ERR129112
277       429       2               168              7.8        ERR129112
151       169       2               176              3.1        ERR068017
216       276       5               176              3.3        ERR068017
277       429       2               176              7.8        ERR068017
151       169       2               180              3.1        ERR124269
216       276       5               180              3.3        ERR124269
277       429       2               180              7.8        ERR124269
151       169       2               188              3.1        ERR069717
216       276       5               188              3.3        ERR069717
277       429       2               188              7.8        ERR069717
151       169       2               192              3.1        ERR129108
216       276       5               192              3.3        ERR129108
277       429       2               192              7.8        ERR129108
151       169       2               197              3.1        ERR129059
216       276       5               197              3.3        ERR129059
277       429       2               197              7.8        ERR129059
151       169       2               245              3.1        ERR129120
216       276       5               245              3.3        ERR129120
277       429       2               245              7.8        ERR129120
151       169       2               253              3.1        ERR129197
216       276       5               253              3.3        ERR129197
277       429       2               253              7.8        ERR129197
151       169       2               266              3.1        ERR069696
216       276       5               266              3.3        ERR069696
277       429       2               266              7.8        ERR069696
151       169       2               267              3.1        ERR129072
216       276       5               267              3.3        ERR129072
277       429       2               267              7.8        ERR129072
151       169       2               275              3.1        ERR067984
216       276       5               275              3.3        ERR067984
277       429       2               275              7.8        ERR067984
151       169       2               281              3.1        ERR069781
216       276       5               281              3.3        ERR069781
277       429       2               281              7.8        ERR069781
151       169       2               288              3.1        ERR069805
216       276       5               288              3.3        ERR069805
277       429       2               288              7.8        ERR069805
151       169       2               305              3.1        ERR129153
216       276       5               305              3.3        ERR129153
277       429       2               305              7.8        ERR129153
151       169       2               336              3.1        ERR069745
216       276       5               336              3.3        ERR069745
277       429       2               336              7.8        ERR069745
151       169       2               344              3.1        ERR129142
216       276       5               344              3.3        ERR129142
277       429       2               344              7.8        ERR129142
151       169       2               357              3.1        ERR124284
216       276       5               357              3.3        ERR124284
277       429       2               357              7.8        ERR124284
335       352       1               387              0.5        ERR129134
151       169       2               388              3.1        ERR129025
216       276       5               388              3.3        ERR129025
277       429       2               388              7.8        ERR129025
151       169       2               391              3.1        ERR129209
216       276       5               391              3.3        ERR129209
277       429       2               391              7.8        ERR129209
397       429       4               445              0.4        ERR068030
87        159       2               455              0.3        ERR069841
151       169       2               463              3.1        ERR129123
216       276       5               463              3.3        ERR129123
277       429       2               463              7.8        ERR129123
151       169       2               510              3.1        ERR124234
216       276       5               510              3.3        ERR124234
277       429       2               510              7.8        ERR124234
151       169       2               517              3.1        ERR065328
216       276       5               517              3.3        ERR065328
277       429       2               517              7.8        ERR065328
151       169       2               544              3.1        ERR069684
216       276       5               544              3.3        ERR069684
277       429       2               544              7.8        ERR069684
151       169       2               561              3.1        ERR069753
216       276       5               561              3.3        ERR069753
277       429       2               561              7.8        ERR069753
335       352       1               564              0.6        ERR069776
335       352       1               575              0.6        ERR069794
151       169       2               576              3.1        ERR124295
216       276       5               576              3.3        ERR124295
277       429       2               576              7.8        ERR124295
151       169       2               588              3.1        ERR068024
216       276       5               588              3.3        ERR068024
277       429       2               588              7.8        ERR068024
151       169       2               590              3.1        ERR065323
216       276       5               590              3.3        ERR065323
277       429       2               590              7.8        ERR065323
151       169       2               610              3.1        ERR124270
216       276       5               610              3.3        ERR124270
277       429       2               610              7.8        ERR124270
