3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1317      1626      4               2                0.5        ERR065974
1317      1626      4               50               0.5        ERR065341
1317      1626      4               54               0.5        ERR129130
1317      1626      4               163              0.5        ERR065965
1019      1089      4               255              3.7        ERR124223
1317      1626      4               273              0.5        ERR124278
1317      1626      4               418              0.5        ERR065289
1317      1626      4               421              0.5        ERR129151
1317      1626      4               427              0.5        ERR124252
1317      1626      4               438              0.5        ERR067982
1317      1626      4               492              0.5        ERR065296
470       576       3               520              0.2        ERR129205
1317      1626      4               548              0.5        ERR069815
