StrainIndex  Lineage  Cluster  Name
1            5        5        ERR069709
2            5        5        ERR068001
3            3        3        ERR065325
4            3        3        ERR065960
5            4        4        ERR124310
6            5        5        ERR065353
7            5        5        ERR065953
8            5        5        ERR129027
9            2        2        ERR129048
10           4        4        ERR129048
11           4        4        ERR065309
12           3        3        ERR129050
13           5        5        ERR069734
14           5        5        ERR129092
15           4        4        ERR129111
16           1        1        ERR124312
17           4        4        ERR124253
18           5        5        ERR069827
19           4        4        ERR065316
20           4        4        ERR124217
21           3        3        ERR065299
22           4        4        ERR124266
23           3        3        ERR067975
24           3        3        ERR069739
25           5        5        ERR069788
26           5        5        ERR069784
27           5        5        ERR068043
28           4        4        ERR069757
29           3        3        ERR069695
30           5        5        ERR129115
31           2        2        ERR129145
