StrainIndex  Lineage  Cluster  Name
1            2        2        ERR065974
2            4        4        ERR069700
3            3        3        ERR069786
4            3        3        ERR069735
5            4        4        ERR067966
6            4        4        ERR067969
7            3        3        ERR069819
8            2        2        ERR065341
9            2        2        ERR129130
10           4        4        ERR124314
11           3        3        ERR069685
12           4        4        ERR124218
13           2        2        ERR065965
14           4        4        ERR068016
15           4        4        ERR069787
16           4        4        ERR129066
17           1        1        ERR067993
18           4        4        ERR069744
19           4        4        ERR069825
20           4        4        ERR065304
21           3        3        ERR065295
22           4        4        ERR129181
23           3        3        ERR069798
24           2        2        ERR124278
25           3        3        ERR069782
26           4        4        ERR065959
27           3        3        ERR065971
28           3        3        ERR069813
29           1        1        ERR069803
30           3        3        ERR129168
31           3        3        ERR065957
32           3        3        ERR069742
33           4        4        ERR067991
34           3        3        ERR065294
35           4        4        ERR129128
36           3        3        ERR129172
37           3        3        ERR069838
38           4        4        ERR129038
39           4        4        ERR067975
40           2        2        ERR065289
41           4        4        ERR124258
42           4        4        ERR069763
43           1        1        ERR069841
44           3        3        ERR065969
45           3        3        ERR065352
46           3        3        ERR069693
47           2        2        ERR065296
48           4        4        ERR069747
49           4        4        ERR124303
50           3        3        ERR069779
51           4        4        ERR124306
52           4        4        ERR124230
53           4        4        ERR065963
54           4        4        ERR065312
