StrainIndex  Lineage  Cluster  Name
1            2        2        ERR069738
2            4        8        ERR065974
3            3        6        ERR129065
4            4        8        ERR129037
5            4        8        ERR124247
6            3        4        ERR124222
7            3        7        ERR065305
8            4        8        ERR069786
9            4        8        ERR129179
10           4        8        ERR129176
11           3        7        ERR069709
12           4        8        ERR067985
13           4        8        ERR129212
14           2        2        ERR068037
15           4        8        ERR069814
16           4        8        ERR124241
17           3        7        ERR069795
18           4        8        ERR124293
19           2        3        ERR069735
20           3        4        ERR069773
21           4        5        ERR067966
22           3        6        ERR129029
23           4        8        ERR129105
24           4        8        ERR124226
25           4        8        ERR129196
26           3        7        ERR069823
27           3        4        ERR124319
28           4        8        ERR068001
29           4        8        ERR129117
30           2        3        ERR069764
31           4        8        ERR068007
32           3        7        ERR068008
33           4        5        ERR067969
34           4        8        ERR069703
35           4        8        ERR129195
36           3        4        ERR065325
37           2        2        ERR124256
38           4        8        ERR129087
39           2        3        ERR069819
40           3        7        ERR129129
41           3        4        ERR065960
42           3        7        ERR069796
43           4        8        ERR065326
44           4        8        ERR069712
45           3        7        ERR124244
46           3        4        ERR129075
47           4        8        ERR069713
48           3        6        ERR069826
49           4        8        ERR065341
50           3        7        ERR069771
51           3        4        ERR069706
52           3        7        ERR065970
53           4        8        ERR129130
54           2        2        ERR129096
55           3        6        ERR129107
56           2        2        ERR069809
57           3        4        ERR065302
58           2        3        ERR129187
59           4        5        ERR124314
60           2        2        ERR069686
61           3        7        ERR069824
62           2        2        ERR068048
63           3        7        ERR065972
64           4        8        ERR129164
65           2        2        ERR069688
66           4        5        ERR069685
67           2        2        ERR124307
68           4        8        ERR067962
69           4        5        ERR124257
70           4        8        ERR129127
71           4        8        ERR065301
72           3        6        ERR124287
73           2        3        ERR068025
74           3        7        ERR067964
75           2        3        ERR069811
76           4        8        ERR069727
77           3        7        ERR129063
78           4        8        ERR065332
79           4        5        ERR129028
80           3        7        ERR065287
81           4        8        ERR129213
82           3        6        ERR129155
83           4        8        ERR129042
84           4        8        ERR129148
85           3        4        ERR129040
86           3        7        ERR069835
87           3        6        ERR129146
88           1        1        ERR129102
89           3        7        ERR069729
90           2        3        ERR129152
91           4        8        ERR069748
92           3        4        ERR069843
93           3        7        ERR124229
94           4        8        ERR129088
95           4        8        ERR069752
96           2        2        ERR065350
97           3        7        ERR129149
98           4        8        ERR129214
99           3        7        ERR069833
100          4        8        ERR124310
101          4        8        ERR068046
102          4        8        ERR129215
103          3        7        ERR129140
104          3        7        ERR069831
105          2        3        ERR068014
106          3        7        ERR124315
107          3        4        ERR124255
108          4        8        ERR065342
109          4        8        ERR124235
