StrainIndex  Lineage  Cluster  Name
1            3        5        ERR129037
2            3        5        ERR069700
3            3        5        ERR129176
4            3        5        ERR067985
5            2        4        ERR069814
6            3        5        ERR069795
7            3        5        ERR069735
8            3        5        ERR069773
9            3        5        ERR067966
10           3        5        ERR124226
11           3        5        ERR129196
12           3        5        ERR124319
13           2        4        ERR068001
14           3        5        ERR129117
15           3        5        ERR069764
16           2        4        ERR068007
17           3        5        ERR067969
18           3        5        ERR129129
19           3        5        ERR065326
20           3        5        ERR124244
21           3        5        ERR069713
22           3        5        ERR065970
23           3        5        ERR065302
24           3        5        ERR124314
25           3        5        ERR124257
26           3        5        ERR129127
27           3        5        ERR069727
28           3        5        ERR065332
29           3        5        ERR129028
30           3        5        ERR065287
31           3        5        ERR129213
32           3        5        ERR129042
33           3        5        ERR129040
34           3        5        ERR124229
35           3        5        ERR069752
36           3        5        ERR129214
37           3        5        ERR069833
38           3        5        ERR124310
39           3        5        ERR068046
40           3        5        ERR129215
41           3        5        ERR124315
42           3        5        ERR124255
43           3        5        ERR124235
44           3        5        ERR129159
45           3        5        ERR069751
46           2        3        ERR069785
47           3        5        ERR069687
48           3        5        ERR065953
49           3        5        ERR129154
50           3        5        ERR069725
51           3        5        ERR068040
52           3        5        ERR129157
53           3        5        ERR067986
54           3        5        ERR124291
55           3        5        ERR069822
56           3        5        ERR129207
57           3        5        ERR124288
58           3        5        ERR129026
59           3        5        ERR065310
60           2        4        ERR069789
61           3        5        ERR129048
62           3        5        ERR068044
63           3        5        ERR068016
64           3        5        ERR069698
65           3        5        ERR124302
66           3        5        ERR129083
67           3        5        ERR069787
68           3        5        ERR129066
69           3        5        ERR124274
70           3        5        ERR069708
71           3        5        ERR067974
72           3        5        ERR069744
73           3        5        ERR129210
74           3        5        ERR069711
75           3        5        ERR129216
76           3        5        ERR065309
77           3        5        ERR124283
78           3        5        ERR065293
79           3        5        ERR069825
80           3        5        ERR065304
81           3        5        ERR129144
82           3        5        ERR124296
83           3        5        ERR067960
84           3        5        ERR068039
85           3        5        ERR068004
86           3        5        ERR068041
87           3        1        ERR129086
88           3        5        ERR129064
89           3        5        ERR069774
90           3        5        ERR069801
91           3        5        ERR124221
92           3        5        ERR129080
93           3        5        ERR068026
94           3        5        ERR069829
95           3        5        ERR129077
96           3        5        ERR065297
97           3        5        ERR129061
98           3        5        ERR124305
99           3        5        ERR069769
100          3        5        ERR065295
101          3        5        ERR124223
102          3        5        ERR129167
103          3        5        ERR124268
104          3        5        ERR129111
105          3        5        ERR069760
106          3        5        ERR069782
107          3        5        ERR068045
108          3        5        ERR065959
109          3        5        ERR129045
110          3        5        ERR065320
111          3        5        ERR129186
112          3        5        ERR124308
113          3        5        ERR129043
114          3        5        ERR124220
115          2        4        ERR068021
116          3        5        ERR069691
117          3        5        ERR129131
118          3        5        ERR124227
119          3        5        ERR124253
120          3        5        ERR069724
121          3        5        ERR124267
122          3        5        ERR069804
123          3        5        ERR065303
124          3        5        ERR065957
125          3        5        ERR068042
126          3        5        ERR124249
127          3        5        ERR129081
128          3        5        ERR129198
129          3        5        ERR129068
130          3        5        ERR067978
131          3        5        ERR129136
132          3        5        ERR068032
133          3        5        ERR065316
134          3        5        ERR124217
135          3        5        ERR067991
136          3        5        ERR129079
137          1        2        ERR069722
138          2        3        ERR129162
139          3        5        ERR129124
140          3        5        ERR124246
141          3        5        ERR124266
142          3        5        ERR124239
143          3        5        ERR129175
144          3        5        ERR129139
145          3        5        ERR129128
146          3        5        ERR068028
147          3        5        ERR068023
148          3        5        ERR124263
149          3        5        ERR069704
150          3        5        ERR129025
151          3        5        ERR129034
152          3        5        ERR124240
153          3        5        ERR069828
154          3        5        ERR129038
155          3        5        ERR124294
156          3        5        ERR067975
157          3        5        ERR124272
158          3        5        ERR124225
159          3        5        ERR065321
160          3        5        ERR069707
161          3        5        ERR068047
162          3        5        ERR067982
163          3        5        ERR068010
164          1        2        ERR065349
165          3        5        ERR068030
166          3        5        ERR065291
167          3        5        ERR069763
168          3        5        ERR124300
169          3        5        ERR129202
170          3        5        ERR129178
171          3        5        ERR124265
172          3        5        ERR129121
173          2        4        ERR067968
174          3        1        ERR129185
175          3        5        ERR129174
176          3        5        ERR129177
177          3        5        ERR069839
178          3        5        ERR129182
179          3        5        ERR124242
180          3        5        ERR129138
181          3        5        ERR065337
182          3        5        ERR129137
183          3        5        ERR065308
184          2        3        ERR065958
185          3        5        ERR129054
186          3        5        ERR069747
187          3        5        ERR124251
188          3        5        ERR065975
189          3        5        ERR069702
190          3        5        ERR068038
191          3        5        ERR065964
192          3        5        ERR129125
193          3        5        ERR069705
194          1        2        ERR068009
195          3        5        ERR124303
196          3        5        ERR129060
197          3        5        ERR124313
198          3        5        ERR129188
199          3        5        ERR069837
200          3        5        ERR069775
201          3        5        ERR068000
202          3        5        ERR069840
203          3        5        ERR129190
204          2        3        ERR069797
205          3        5        ERR069757
206          3        5        ERR068049
207          3        5        ERR129103
208          1        2        ERR068022
209          3        5        ERR124230
210          3        5        ERR124295
211          2        3        ERR069821
212          3        5        ERR065340
213          3        5        ERR065963
214          3        5        ERR129145
215          2        4        ERR067972
216          3        5        ERR124297
217          3        5        ERR065319
218          3        5        ERR129093
219          3        5        ERR124286
220          3        5        ERR129211
221          3        5        ERR124298
222          3        5        ERR129030
