StrainIndex  Lineage  Cluster  Name
1            3        3        ERR129065
2            3        3        ERR129029
3            3        3        ERR069823
4            3        3        ERR069826
5            3        3        ERR129107
6            3        3        ERR124287
7            3        3        ERR067964
8            3        3        ERR129155
9            3        3        ERR069835
10           3        3        ERR129146
11           3        3        ERR129052
12           3        3        ERR069746
13           3        3        ERR129055
14           3        3        ERR069780
15           3        3        ERR068027
16           3        3        ERR069802
17           3        3        ERR069812
18           3        3        ERR129106
19           3        3        ERR065292
20           3        3        ERR129116
21           1        1        ERR069830
22           3        3        ERR129147
23           3        3        ERR124219
24           3        3        ERR065345
25           3        3        ERR065967
26           3        3        ERR065344
27           3        3        ERR069800
28           3        3        ERR065311
29           3        3        ERR067967
30           3        3        ERR065966
31           3        3        ERR067976
32           3        3        ERR065307
33           3        3        ERR065962
34           3        3        ERR069790
35           3        3        ERR068015
36           3        3        ERR065355
37           3        3        ERR069807
38           3        3        ERR065346
39           3        3        ERR069755
40           3        3        ERR065313
41           3        3        ERR129082
42           3        3        ERR069743
43           3        3        ERR069765
44           3        3        ERR065322
45           3        3        ERR124231
46           3        3        ERR069732
47           2        2        ERR129205
48           3        3        ERR069694
49           3        3        ERR065330
50           3        3        ERR069719
51           3        3        ERR069770
52           3        3        ERR129192
53           3        3        ERR069721
54           3        3        ERR069736
55           3        3        ERR129098
56           3        3        ERR124238
57           3        3        ERR067973
58           3        3        ERR069740
59           3        3        ERR065331
60           3        3        ERR129141
61           3        3        ERR129133
62           3        3        ERR129171
63           3        3        ERR129122
