StrainIndex  Lineage  Cluster  Name
1            3        5        ERR069738
2            3        5        ERR065974
3            3        10       ERR129065
4            2        7        ERR129037
5            3        9        ERR069700
6            3        8        ERR124247
7            3        2        ERR124222
8            3        9        ERR065305
9            3        8        ERR069786
10           3        10       ERR129179
11           2        3        ERR129176
12           3        10       ERR069709
13           2        7        ERR067985
14           3        9        ERR129212
15           3        5        ERR068037
16           2        7        ERR069814
17           3        10       ERR124241
18           3        8        ERR069795
19           3        10       ERR124293
20           3        9        ERR069735
21           3        9        ERR069773
22           3        9        ERR067966
23           3        10       ERR129029
24           3        8        ERR129105
25           3        9        ERR124226
26           3        8        ERR129196
27           3        8        ERR069823
28           2        3        ERR124319
29           3        10       ERR068001
30           2        3        ERR129117
31           3        2        ERR069764
32           2        7        ERR068007
33           3        9        ERR068008
34           3        9        ERR067969
35           3        10       ERR069703
36           3        8        ERR129195
37           3        10       ERR065325
38           2        6        ERR124256
39           3        10       ERR129087
40           2        3        ERR069819
41           3        9        ERR129129
42           3        10       ERR065960
43           3        9        ERR069796
44           2        7        ERR065326
45           2        6        ERR069712
46           3        5        ERR124244
47           3        2        ERR129075
48           2        7        ERR069713
49           3        10       ERR069826
50           3        5        ERR065341
51           3        9        ERR069771
52           3        2        ERR069706
53           3        8        ERR065970
54           3        5        ERR129130
55           3        5        ERR129096
56           3        10       ERR129107
57           2        6        ERR069809
58           3        9        ERR065302
59           3        10       ERR129187
60           3        9        ERR124314
61           3        5        ERR069686
62           2        4        ERR069824
63           2        6        ERR068048
64           3        9        ERR065972
65           3        10       ERR129164
66           3        5        ERR069688
67           2        3        ERR069685
68           3        5        ERR124307
69           3        10       ERR067962
70           2        7        ERR124257
71           2        7        ERR129127
72           3        8        ERR065301
73           2        6        ERR124287
74           3        8        ERR068025
75           3        8        ERR067964
76           3        8        ERR069811
77           2        7        ERR069727
78           3        9        ERR129063
79           3        10       ERR065332
80           3        5        ERR129028
81           3        9        ERR065287
82           2        3        ERR129213
83           3        10       ERR129155
84           2        3        ERR129042
85           3        10       ERR129148
86           3        9        ERR129040
87           3        8        ERR069835
88           3        10       ERR129146
89           2        3        ERR129102
90           2        4        ERR069729
91           3        8        ERR129152
92           3        9        ERR069748
93           3        2        ERR069843
94           3        9        ERR124229
95           3        10       ERR129088
96           2        7        ERR069752
97           2        6        ERR065350
98           3        9        ERR129149
99           2        7        ERR129214
100          3        9        ERR069833
101          2        4        ERR124310
102          2        7        ERR068046
103          2        7        ERR129215
104          3        9        ERR129140
105          3        9        ERR069831
106          3        10       ERR068014
107          3        9        ERR124315
108          3        2        ERR124255
109          3        8        ERR065342
110          2        3        ERR124235
111          2        7        ERR129159
112          3        5        ERR129204
113          3        10       ERR129094
114          3        9        ERR069689
115          3        8        ERR069751
116          3        8        ERR068005
117          3        10       ERR069749
118          3        10       ERR067981
119          3        5        ERR067996
120          3        10       ERR129052
121          3        10       ERR069785
122          3        10       ERR069792
123          3        8        ERR124271
124          3        9        ERR069687
125          3        10       ERR124277
