StrainIndex  Lineage  Cluster  Name
1            3        3        ERR069738
2            1        1        ERR129037
3            2        2        ERR069700
4            3        3        ERR124247
5            3        3        ERR124222
6            2        2        ERR069786
7            3        3        ERR129176
8            3        3        ERR069709
9            2        2        ERR067985
10           2        2        ERR129212
11           3        3        ERR068037
12           2        2        ERR069814
13           3        3        ERR069773
14           2        2        ERR067966
15           3        3        ERR069823
16           3        3        ERR124319
17           3        3        ERR068001
18           3        3        ERR129117
19           2        2        ERR068007
20           2        2        ERR067969
21           2        2        ERR069703
22           3        3        ERR065325
23           3        3        ERR124256
24           3        3        ERR129129
25           3        3        ERR065960
26           1        1        ERR065326
27           3        3        ERR129075
28           1        1        ERR069713
29           3        3        ERR069706
30           3        3        ERR129096
31           3        3        ERR069809
32           3        3        ERR065302
33           2        2        ERR124314
34           3        3        ERR069686
35           3        3        ERR069824
36           3        3        ERR068048
37           3        3        ERR129164
38           3        3        ERR069688
39           2        2        ERR069685
40           1        1        ERR124307
41           2        2        ERR124257
42           1        1        ERR129127
43           3        3        ERR124287
44           3        3        ERR067964
45           2        2        ERR069727
46           2        2        ERR129028
47           3        3        ERR065287
48           3        3        ERR129213
49           3        3        ERR129042
50           3        3        ERR129040
51           3        3        ERR069835
52           3        3        ERR129146
53           2        2        ERR129102
54           3        3        ERR069729
55           2        2        ERR069748
56           3        3        ERR069843
57           3        3        ERR124229
58           3        3        ERR129088
59           1        1        ERR069752
60           3        3        ERR065350
61           1        1        ERR129214
62           3        3        ERR069833
63           3        3        ERR124310
64           1        1        ERR068046
65           1        1        ERR129215
66           3        3        ERR124255
67           3        3        ERR124235
68           1        1        ERR129159
69           3        3        ERR129204
70           2        2        ERR069689
71           3        3        ERR067981
72           3        3        ERR067996
73           3        3        ERR069785
74           3        3        ERR124271
75           3        3        ERR069687
76           3        3        ERR065353
77           3        3        ERR065953
78           3        3        ERR129076
79           1        1        ERR129154
80           1        1        ERR068040
81           3        3        ERR129157
82           2        2        ERR124311
83           3        3        ERR069746
84           1        1        ERR067986
85           2        2        ERR124291
86           3        3        ERR129055
87           3        3        ERR069780
88           1        1        ERR069822
89           3        3        ERR129207
90           3        3        ERR124288
91           3        3        ERR069710
92           1        1        ERR065310
93           2        2        ERR069789
94           3        3        ERR065343
95           3        3        ERR129027
96           3        3        ERR129048
97           3        3        ERR068044
98           2        2        ERR129180
99           3        3        ERR129158
100          3        3        ERR069812
101          1        1        ERR124302
102          2        2        ERR129083
103          3        3        ERR069787
104          3        3        ERR068012
105          3        3        ERR069708
106          2        2        ERR069744
107          1        1        ERR129210
108          3        3        ERR065292
109          2        2        ERR129216
110          3        3        ERR065973
111          3        3        ERR065309
112          1        1        ERR124296
113          3        3        ERR068039
114          3        3        ERR068004
115          3        3        ERR124248
116          1        1        ERR068041
117          3        3        ERR069720
118          3        3        ERR129050
119          3        3        ERR069830
120          3        3        ERR069774
121          1        1        ERR069801
122          1        1        ERR129080
123          3        3        ERR069829
124          3        3        ERR129041
125          3        3        ERR124305
126          3        3        ERR065967
127          3        3        ERR124223
128          3        3        ERR069734
129          3        3        ERR129167
130          3        3        ERR129092
131          3        3        ERR068003
132          1        1        ERR124268
133          3        3        ERR065344
134          3        3        ERR129111
135          2        2        ERR068006
136          3        3        ERR068035
137          2        2        ERR069798
138          1        1        ERR069760
139          3        3        ERR068045
140          2        2        ERR129045
141          2        2        ERR069832
142          3        3        ERR129186
143          3        3        ERR124308
144          3        3        ERR129043
145          3        3        ERR124220
146          2        2        ERR068021
147          2        2        ERR065971
148          3        3        ERR065311
149          3        3        ERR069767
150          3        3        ERR067967
151          3        3        ERR129161
152          2        2        ERR069716
153          3        3        ERR124289
154          2        2        ERR129057
155          1        1        ERR129131
156          2        2        ERR069750
157          3        3        ERR124227
158          3        3        ERR069683
159          3        3        ERR124253
160          3        3        ERR124267
161          2        2        ERR129168
162          1        1        ERR069804
163          3        3        ERR065303
164          3        3        ERR067976
165          3        3        ERR065307
166          3        3        ERR065962
167          3        3        ERR129081
168          3        3        ERR069827
169          3        3        ERR124309
170          3        3        ERR069806
171          1        1        ERR129068
172          2        2        ERR129136
173          3        3        ERR129062
174          3        3        ERR065316
175          3        3        ERR124217
176          1        1        ERR129079
177          3        3        ERR124260
178          2        2        ERR069701
179          3        3        ERR129162
180          3        3        ERR129124
181          1        1        ERR124246
182          3        3        ERR065299
183          3        3        ERR129184
184          3        3        ERR124266
185          2        2        ERR068029
186          3        3        ERR129175
187          1        1        ERR129139
188          3        3        ERR069778
189          2        2        ERR129128
190          3        3        ERR068023
191          3        3        ERR069791
192          3        3        ERR124263
193          3        3        ERR069704
194          3        3        ERR069807
195          3        3        ERR129034
196          2        2        ERR129172
197          1        1        ERR124240
198          3        3        ERR065315
199          3        3        ERR069731
200          3        3        ERR069828
201          3        3        ERR069755
202          3        3        ERR129156
203          3        3        ERR068036
204          2        2        ERR129071
205          3        3        ERR065306
206          3        3        ERR069838
207          3        3        ERR065313
208          3        3        ERR124294
209          3        3        ERR067975
210          2        2        ERR129151
211          3        3        ERR124225
212          3        3        ERR065321
213          1        1        ERR069707
214          3        3        ERR124252
215          3        3        ERR129082
216          2        2        ERR069743
217          3        3        ERR067980
218          3        3        ERR069836
219          1        1        ERR068047
220          3        3        ERR124258
221          3        3        ERR065314
222          3        3        ERR067982
223          3        3        ERR065318
224          3        3        ERR065291
225          3        3        ERR069730
226          3        3        ERR069763
227          2        2        ERR124300
228          2        2        ERR129202
229          1        1        ERR129178
230          3        3        ERR065955
231          1        1        ERR067968
232          3        3        ERR069765
233          3        3        ERR067965
234          2        2        ERR065969
235          3        3        ERR069842
236          2        2        ERR129185
237          3        3        ERR124318
238          1        1        ERR129177
239          1        1        ERR069839
240          3        3        ERR069788
241          2        2        ERR067983
242          3        3        ERR069784
243          3        3        ERR065347
244          2        2        ERR065290
245          2        2        ERR069693
246          1        1        ERR124242
247          2        2        ERR129138
248          3        3        ERR065337
249          1        1        ERR129137
250          3        3        ERR124231
251          3        3        ERR129036
252          1        1        ERR065308
253          3        3        ERR065958
254          2        2        ERR067989
255          3        3        ERR129078
256          3        3        ERR069747
257          3        3        ERR069732
258          3        3        ERR129208
259          3        3        ERR124251
260          3        3        ERR065975
261          2        2        ERR129135
262          3        3        ERR069699
263          2        2        ERR069702
264          3        3        ERR069793
265          3        3        ERR068038
266          3        3        ERR068043
267          1        1        ERR065964
268          3        3        ERR069705
269          3        3        ERR129031
270          3        3        ERR129049
271          3        3        ERR129205
272          3        3        ERR067990
273          3        3        ERR069694
274          3        3        ERR068009
275          2        2        ERR124303
276          3        3        ERR065330
277          3        3        ERR124313
278          3        3        ERR129188
279          1        1        ERR069837
280          3        3        ERR129056
281          3        3        ERR124245
282          2        2        ERR069779
283          3        3        ERR069775
284          1        1        ERR068000
285          3        3        ERR069770
286          3        3        ERR129084
287          2        2        ERR069815
288          3        3        ERR069840
289          3        3        ERR129192
290          3        3        ERR069721
291          3        3        ERR129098
292          3        3        ERR129190
293          3        3        ERR069797
294          3        3        ERR069757
295          2        2        ERR065339
296          3        3        ERR129199
297          3        3        ERR069783
298          2        2        ERR129103
299          2        2        ERR067963
300          3        3        ERR129115
301          3        3        ERR069821
302          3        3        ERR065340
303          3        3        ERR069740
304          2        2        ERR065963
305          3        3        ERR129145
306          2        2        ERR067972
307          3        3        ERR124297
308          3        3        ERR067999
309          3        3        ERR065319
310          3        3        ERR065956
311          3        3        ERR129193
312          1        1        ERR129093
313          3        3        ERR129133
314          3        3        ERR065348
315          3        3        ERR067979
316          3        3        ERR124286
317          1        1        ERR129211
318          3        3        ERR129201
319          1        1        ERR124298
320          3        3        ERR129122
321          3        3        ERR129100
322          2        2        ERR129030
