1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
809       875       1               1                6.4        ERR069738
857       875       1               2                5.2        ERR129065
857       875       1               4                5.2        ERR124247
845       875       1               7                5.4        ERR129176
809       875       1               9                6.4        ERR068037
857       875       1               12               4.7        ERR069735
857       875       1               15               4.4        ERR129029
857       875       1               24               4.7        ERR069819
857       875       1               30               5.2        ERR069826
809       875       1               34               6.4        ERR129096
857       875       1               35               5.2        ERR129107
817       875       1               38               5.0        ERR129187
809       875       1               40               6.4        ERR069686
809       875       1               44               5.7        ERR069688
809       875       1               46               6.4        ERR124307
857       875       1               48               4.4        ERR124287
857       875       1               54               5.2        ERR129155
857       875       1               57               4.4        ERR129146
809       875       1               71               6.4        ERR129204
809       875       1               75               6.4        ERR067996
857       875       1               76               4.4        ERR129052
857       875       1               78               5.2        ERR124271
857       875       1               85               4.4        ERR129076
845       875       1               88               5.4        ERR129157
857       875       1               89               5.2        ERR124311
857       875       1               91               4.4        ERR129055
857       875       1               92               5.2        ERR069780
857       875       1               96               4.7        ERR124218
857       875       1               97               5.2        ERR068027
809       875       1               101              6.4        ERR065343
857       875       1               102              5.2        ERR069802
857       875       1               108              4.7        ERR068016
857       875       1               113              4.4        ERR129083
857       875       1               116              4.7        ERR129066
809       875       1               120              6.4        ERR067995
817       875       1               122              5.0        ERR124274
857       875       1               123              5.2        ERR129106
857       875       1               132              4.4        ERR129216
857       875       1               133              5.2        ERR129116
857       875       1               139              5.2        ERR065293
857       875       1               141              4.7        ERR065304
809       875       1               149              6.4        ERR124248
857       875       1               153              5.2        ERR069830
857       875       1               157              5.2        ERR129147
857       875       1               160              5.2        ERR129041
857       875       1               164              4.4        ERR124219
857       875       1               165              5.2        ERR065345
817       875       1               172              5.0        ERR129167
857       875       1               187              4.7        ERR065959
857       875       1               193              4.4        ERR069800
857       875       1               198              5.2        ERR065311
809       875       1               200              6.4        ERR069767
857       875       1               201              5.2        ERR067967
857       875       1               203              5.2        ERR129161
857       875       1               204              5.2        ERR124289
857       875       1               206              5.2        ERR129057
857       875       1               213              4.4        ERR065966
857       875       1               218              4.7        ERR065957
857       875       1               219              5.2        ERR068042
857       875       1               222              4.4        ERR067976
857       875       1               223              4.4        ERR065307
857       875       1               229              4.4        ERR069790
857       875       1               232              5.2        ERR124309
817       875       1               233              5.0        ERR067978
857       875       1               239              4.7        ERR067991
809       875       1               242              6.4        ERR124260
857       875       1               245              5.2        ERR129184
809       875       1               252              6.4        ERR069778
857       875       1               253              5.2        ERR068015
857       875       1               256              4.4        ERR065355
857       875       1               262              5.2        ERR069807
857       875       1               268              5.2        ERR065346
809       875       1               272              6.4        ERR129156
857       875       1               275              4.4        ERR065306
857       875       1               276              4.7        ERR069838
857       875       1               277              4.4        ERR065313
857       875       1               278              4.7        ERR129038
817       875       1               283              5.0        ERR124272
857       875       1               291              4.4        ERR129082
857       875       1               292              5.2        ERR069743
857       875       1               293              5.2        ERR067980
809       875       1               294              6.4        ERR069836
857       875       1               296              4.7        ERR124258
857       875       1               301              5.2        ERR065318
857       875       1               307              4.4        ERR129202
857       875       1               308              5.2        ERR065955
809       875       1               315              6.4        ERR067965
809       875       1               320              6.4        ERR124318
857       875       1               327              5.2        ERR065290
857       875       1               328              5.2        ERR065322
857       875       1               340              5.2        ERR129208
857       875       1               342              5.2        ERR129110
857       875       1               344              5.2        ERR129135
857       875       1               357              4.4        ERR129205
857       875       1               360              5.2        ERR069694
830       875       1               365              3.1        ERR124313
857       875       1               372              5.2        ERR124245
857       875       1               378              4.7        ERR124306
857       875       1               381              4.4        ERR129192
857       875       1               383              4.4        ERR069736
857       875       1               384              4.4        ERR129098
857       875       1               389              5.2        ERR124238
809       875       1               394              6.4        ERR069783
857       875       1               395              4.4        ERR129103
857       875       1               399              4.7        ERR124230
857       875       1               404              5.2        ERR067973
857       875       1               410              4.4        ERR065331
809       875       1               416              6.4        ERR067987
857       875       1               417              5.2        ERR129141
817       875       1               420              5.0        ERR129047
857       875       1               421              4.4        ERR129133
857       875       1               422              4.7        ERR065312
857       875       1               423              5.2        ERR065348
857       875       1               428              4.4        ERR129171
857       875       1               429              5.2        ERR129122
857       875       1               430              5.2        ERR129100
