StrainIndex  Lineage  Cluster  Name
1            2        8        ERR069738
2            1        4        ERR065974
3            1        9        ERR129065
4            1        5        ERR129037
5            2        7        ERR069700
6            1        3        ERR124247
7            1        9        ERR124222
8            2        7        ERR065305
9            2        8        ERR069786
10           2        8        ERR129179
11           2        7        ERR129176
12           1        9        ERR069709
13           1        5        ERR067985
14           1        9        ERR129212
15           2        8        ERR068037
16           1        3        ERR069814
17           2        8        ERR124241
18           2        7        ERR069795
19           2        8        ERR124293
20           2        6        ERR069735
21           1        9        ERR069773
22           2        7        ERR067966
23           2        2        ERR129029
24           1        3        ERR129105
25           2        8        ERR124226
26           1        3        ERR129196
27           1        9        ERR069823
28           2        8        ERR124319
29           1        9        ERR068001
30           2        7        ERR129117
31           1        5        ERR069764
32           1        3        ERR068007
33           2        7        ERR068008
34           2        7        ERR067969
35           2        8        ERR069703
36           1        3        ERR129195
37           1        4        ERR065325
38           2        6        ERR124256
39           2        8        ERR129087
40           2        6        ERR069819
41           2        8        ERR129129
42           1        4        ERR065960
43           2        7        ERR069796
44           1        5        ERR065326
45           2        6        ERR069712
46           1        3        ERR124244
47           1        9        ERR129075
48           1        5        ERR069713
49           1        9        ERR069826
50           1        4        ERR065341
51           2        7        ERR069771
52           1        9        ERR069706
53           2        7        ERR065970
54           1        4        ERR129130
55           2        8        ERR129096
56           1        9        ERR129107
57           2        6        ERR069809
58           1        9        ERR065302
59           1        5        ERR129187
60           2        7        ERR124314
61           2        8        ERR069686
62           1        9        ERR069824
63           2        6        ERR068048
64           2        7        ERR065972
65           1        9        ERR129164
66           2        8        ERR069688
67           2        2        ERR069685
68           2        8        ERR124307
69           2        8        ERR067962
70           2        8        ERR124257
71           1        5        ERR129127
72           1        3        ERR065301
73           1        9        ERR124287
74           2        8        ERR068025
75           1        9        ERR067964
76           2        8        ERR069811
77           1        5        ERR069727
78           2        7        ERR129063
79           2        6        ERR065332
80           2        8        ERR129028
81           2        8        ERR065287
82           2        7        ERR129213
83           1        9        ERR129155
84           2        7        ERR129042
85           2        8        ERR129148
86           1        9        ERR129040
87           1        9        ERR069835
88           1        9        ERR129146
89           1        3        ERR129102
90           1        9        ERR069729
91           2        8        ERR129152
92           1        9        ERR069748
93           1        9        ERR069843
94           2        8        ERR124229
95           1        9        ERR129088
96           1        5        ERR069752
97           2        6        ERR065350
98           2        7        ERR129149
99           1        5        ERR129214
100          2        8        ERR069833
101          2        7        ERR124310
