StrainIndex  Lineage  Cluster  Name
1            3        3        ERR069738
2            4        6        ERR065974
3            3        7        ERR129065
4            4        8        ERR129037
5            3        7        ERR069700
6            4        8        ERR124247
7            4        4        ERR124222
8            4        8        ERR065305
9            4        8        ERR129179
10           4        8        ERR067985
11           4        8        ERR129212
12           4        5        ERR068037
13           4        8        ERR069814
14           4        8        ERR124241
15           4        8        ERR069795
16           4        8        ERR124293
17           4        8        ERR069735
18           3        7        ERR069773
19           3        7        ERR067966
20           3        7        ERR129029
21           4        8        ERR129105
22           3        7        ERR124226
23           4        8        ERR129196
24           4        6        ERR069823
25           3        3        ERR069764
26           4        8        ERR068007
27           4        8        ERR068008
28           3        7        ERR067969
29           4        8        ERR069703
30           4        8        ERR129195
31           4        5        ERR065325
32           2        2        ERR124256
33           4        8        ERR129087
34           4        5        ERR069819
35           4        8        ERR129129
36           4        5        ERR065960
37           4        8        ERR069796
38           4        8        ERR065326
39           4        6        ERR069712
40           3        3        ERR124244
41           4        4        ERR129075
42           4        8        ERR069713
43           3        7        ERR069826
44           4        6        ERR065341
45           4        8        ERR069771
46           4        4        ERR069706
47           4        8        ERR065970
48           4        6        ERR129130
49           3        3        ERR129096
50           3        7        ERR129107
51           2        2        ERR069809
52           3        7        ERR065302
53           4        8        ERR129187
54           3        7        ERR124314
55           4        5        ERR069686
56           4        8        ERR069824
57           4        8        ERR068048
58           4        8        ERR065972
59           4        6        ERR129164
60           4        5        ERR069688
61           3        3        ERR124307
62           4        8        ERR067962
63           4        8        ERR124257
64           4        8        ERR129127
65           4        8        ERR065301
66           4        8        ERR124287
67           4        8        ERR068025
68           4        6        ERR067964
69           4        8        ERR069811
70           4        8        ERR069727
71           4        8        ERR129063
72           4        8        ERR129028
73           4        8        ERR065287
74           3        7        ERR129155
75           4        8        ERR129148
76           3        7        ERR129040
77           4        6        ERR069835
78           4        8        ERR129146
79           4        8        ERR129102
80           4        8        ERR069729
81           1        1        ERR129152
82           4        8        ERR069748
83           4        4        ERR069843
84           4        8        ERR124229
85           4        8        ERR129088
86           4        8        ERR069752
87           4        8        ERR065350
88           4        8        ERR129149
89           4        8        ERR129214
90           4        8        ERR069833
91           4        8        ERR124310
92           4        8        ERR068046
93           4        8        ERR129215
94           4        8        ERR129140
95           4        8        ERR069831
96           3        3        ERR068014
97           4        8        ERR124315
98           4        4        ERR124255
99           4        8        ERR065342
100          4        8        ERR129159
101          3        3        ERR129204
102          3        3        ERR129094
103          4        8        ERR069689
104          4        8        ERR069751
105          4        8        ERR069749
106          4        6        ERR067981
107          4        5        ERR067996
108          3        7        ERR129052
109          4        8        ERR069785
110          3        3        ERR069792
111          4        5        ERR124271
112          4        8        ERR069687
113          4        8        ERR124277
114          4        5        ERR124228
115          4        8        ERR129044
116          4        8        ERR129074
117          4        8        ERR069817
118          3        7        ERR065953
119          4        8        ERR129076
120          4        8        ERR129154
121          4        8        ERR068040
122          4        6        ERR129051
123          4        8        ERR124311
124          4        6        ERR069746
125          3        3        ERR068031
126          4        8        ERR067986
127          4        8        ERR124291
128          4        8        ERR129055
129          3        7        ERR069780
130          4        8        ERR065327
131          4        8        ERR069822
132          4        8        ERR129207
133          4        8        ERR124218
134          3        7        ERR068027
135          4        8        ERR065310
136          4        8        ERR129160
137          4        8        ERR065300
138          4        8        ERR069789
139          4        5        ERR065343
140          3        7        ERR069802
141          4        8        ERR129170
142          4        8        ERR129048
143          4        6        ERR065968
144          4        6        ERR065965
145          4        8        ERR068044
146          4        8        ERR129180
147          3        7        ERR068016
148          4        8        ERR065324
149          4        8        ERR129112
150          4        6        ERR129158
151          4        6        ERR069812
152          4        8        ERR124302
153          4        8        ERR129083
154          3        3        ERR065354
155          3        7        ERR069787
156          4        8        ERR068017
157          3        7        ERR129066
158          4        8        ERR129039
159          4        8        ERR065329
160          4        8        ERR124269
161          2        2        ERR129200
162          4        5        ERR067995
163          4        6        ERR068012
164          4        6        ERR067993
165          3        7        ERR129106
166          4        8        ERR069717
167          4        8        ERR067974
168          3        7        ERR069744
169          4        8        ERR129210
170          4        8        ERR129108
171          4        6        ERR129132
172          4        8        ERR069711
173          4        8        ERR068019
174          4        8        ERR129099
175          4        8        ERR129059
176          4        6        ERR065292
177          4        5        ERR067961
178          4        8        ERR129216
179          3        7        ERR129116
180          4        8        ERR124250
181          4        6        ERR069690
182          4        4        ERR065973
183          4        8        ERR065309
184          4        8        ERR069825
185          3        3        ERR069737
186          4        8        ERR124316
187          3        7        ERR065304
188          4        8        ERR129144
189          4        8        ERR124232
190          4        6        ERR068018
191          4        8        ERR124296
192          4        8        ERR067960
193          4        8        ERR068050
194          3        7        ERR068039
195          4        8        ERR129032
196          3        3        ERR124248
197          4        8        ERR068041
198          4        8        ERR129086
199          4        8        ERR065317
200          4        8        ERR069834
201          4        4        ERR069720
202          4        5        ERR129050
203          4        8        ERR129064
204          3        7        ERR069830
205          4        8        ERR069774
206          3        3        ERR129206
207          4        8        ERR069801
208          4        8        ERR129080
209          3        7        ERR129147
210          4        8        ERR069829
211          4        8        ERR129077
212          4        8        ERR067994
213          4        8        ERR069726
214          4        5        ERR065338
215          4        5        ERR129041
216          4        8        ERR129120
217          3        7        ERR124219
218          3        7        ERR065345
219          4        8        ERR124305
220          3        7        ERR069769
221          4        8        ERR065295
222          4        6        ERR069768
223          4        8        ERR129197
224          4        6        ERR065967
225          4        8        ERR129143
226          4        8        ERR124299
227          4        6        ERR129090
228          4        8        ERR068002
229          4        4        ERR068003
230          4        8        ERR124268
231          2        2        ERR129181
232          4        8        ERR069696
233          4        8        ERR129072
234          4        6        ERR065344
235          4        8        ERR129111
236          4        8        ERR068006
237          4        4        ERR068035
238          4        6        ERR124278
239          4        8        ERR069760
240          4        8        ERR067984
241          4        5        ERR069782
242          4        8        ERR124236
243          4        8        ERR068045
244          3        7        ERR065959
245          3        3        ERR129045
246          4        8        ERR069781
247          4        8        ERR069832
248          4        5        ERR124292
249          4        8        ERR129186
250          4        8        ERR069805
251          4        8        ERR124220
252          3        7        ERR069800
253          4        8        ERR068021
254          4        8        ERR067998
255          4        5        ERR124312
256          4        8        ERR129183
257          4        8        ERR068034
258          3        7        ERR065311
259          4        6        ERR068020
260          3        3        ERR069767
261          3        7        ERR067967
262          4        8        ERR069691
263          3        7        ERR129161
264          4        8        ERR069716
265          4        5        ERR124289
266          4        8        ERR129153
267          4        8        ERR129057
268          4        6        ERR067977
269          4        8        ERR129131
270          4        8        ERR069772
271          4        8        ERR124281
272          4        8        ERR069750
273          4        6        ERR069715
274          4        6        ERR069683
275          4        5        ERR069813
276          4        8        ERR124253
277          3        7        ERR065966
278          4        6        ERR069803
279          4        8        ERR124267
280          4        8        ERR124254
281          4        8        ERR124320
282          4        8        ERR065298
283          4        8        ERR069804
284          4        5        ERR065957
285          3        3        ERR069692
286          3        3        ERR069723
287          4        8        ERR067976
288          4        8        ERR065307
289          4        6        ERR065962
290          4        8        ERR069745
291          4        8        ERR129081
292          4        5        ERR069718
293          4        5        ERR124224
294          3        7        ERR069790
295          4        8        ERR129142
296          4        5        ERR124309
297          4        8        ERR069806
298          4        8        ERR129068
299          4        8        ERR129136
300          4        4        ERR129062
301          4        8        ERR129203
302          4        8        ERR065316
303          4        8        ERR124217
304          3        7        ERR067991
305          4        8        ERR124284
306          4        8        ERR129079
307          4        4        ERR069722
308          3        3        ERR124260
309          4        8        ERR069701
310          4        8        ERR129162
311          3        7        ERR129124
312          4        8        ERR124246
313          4        5        ERR065299
314          4        5        ERR129184
315          4        4        ERR124233
316          4        8        ERR124266
317          4        8        ERR069818
318          4        8        ERR068029
319          4        8        ERR124279
320          4        8        ERR129175
321          4        8        ERR129139
322          4        5        ERR069778
323          3        7        ERR068015
324          3        7        ERR129128
325          4        8        ERR129163
326          3        7        ERR065355
327          3        7        ERR069777
328          4        4        ERR069791
329          4        8        ERR124263
330          4        8        ERR069704
331          4        8        ERR129134
332          4        8        ERR129025
333          4        8        ERR065351
334          3        7        ERR069807
335          4        8        ERR129209
336          4        8        ERR069761
337          4        8        ERR129034
338          4        8        ERR124240
339          4        8        ERR065315
340          3        7        ERR065346
341          4        8        ERR069731
342          4        8        ERR069828
343          4        6        ERR069755
344          3        3        ERR129156
345          4        8        ERR067988
346          4        8        ERR069714
347          4        4        ERR068036
348          4        8        ERR129071
349          4        8        ERR129035
350          3        3        ERR069697
351          3        7        ERR065306
352          4        8        ERR069838
353          4        8        ERR065313
354          3        7        ERR129038
355          4        8        ERR124294
356          4        5        ERR124243
357          4        8        ERR067975
358          4        8        ERR129046
359          4        8        ERR129053
360          4        6        ERR065289
361          4        6        ERR124285
362          4        6        ERR129126
363          4        8        ERR129151
364          4        8        ERR124225
365          3        7        ERR065321
366          4        8        ERR068011
367          4        8        ERR124264
368          4        8        ERR069707
369          4        8        ERR124252
370          4        8        ERR129082
371          3        7        ERR069743
372          3        7        ERR067980
373          3        3        ERR069836
374          4        8        ERR068047
375          4        8        ERR065288
376          4        8        ERR124258
377          4        4        ERR065314
378          4        8        ERR124301
379          4        8        ERR129091
380          4        8        ERR067982
381          4        5        ERR124276
382          4        8        ERR129118
383          4        5        ERR065318
384          4        8        ERR068010
385          4        5        ERR129067
386          4        4        ERR065349
387          4        8        ERR069728
388          4        8        ERR067997
389          4        8        ERR065291
390          4        8        ERR069730
391          3        7        ERR069763
392          4        8        ERR129202
393          4        8        ERR124290
394          4        8        ERR129178
395          4        6        ERR069841
396          3        7        ERR065955
397          4        6        ERR124265
398          4        8        ERR129121
399          4        8        ERR067968
400          4        8        ERR069739
401          4        8        ERR069766
402          4        6        ERR069765
403          4        8        ERR129123
404          3        3        ERR067965
405          4        4        ERR069842
406          4        8        ERR129185
407          3        3        ERR069810
408          4        8        ERR129174
409          4        5        ERR124318
410          4        8        ERR129177
411          4        6        ERR129113
412          4        8        ERR069839
413          4        8        ERR129182
414          4        8        ERR067983
415          4        8        ERR065347
416          4        8        ERR065290
417          3        7        ERR065322
418          4        8        ERR129169
419          4        6        ERR068013
420          4        8        ERR124242
421          4        8        ERR129138
422          4        8        ERR065337
423          4        8        ERR129137
424          4        6        ERR124231
425          4        4        ERR129036
426          4        6        ERR124304
427          4        6        ERR065296
428          4        8        ERR065308
