2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
588       649       3               33               21.0       ERR068008
588       649       3               43               20.2       ERR069796
588       649       3               51               21.0       ERR069771
588       649       3               78               21.0       ERR129063
575       601       1               80               4.4        ERR129028
588       649       3               104              20.2       ERR129140
588       649       3               105              21.0       ERR069831
588       649       3               107              21.0       ERR124315
588       649       3               130              21.0       ERR069817
588       649       3               154              21.0       ERR129160
588       649       3               168              20.2       ERR129112
575       601       1               173              4.4        ERR129083
588       649       3               176              20.2       ERR068017
588       649       3               180              21.0       ERR124269
588       649       3               188              20.2       ERR069717
588       649       3               192              21.0       ERR129108
588       649       3               197              21.0       ERR129059
575       601       1               201              4.4        ERR129216
588       649       3               245              21.0       ERR129120
588       649       3               253              21.0       ERR129197
588       649       3               266              21.0       ERR069696
588       649       3               267              21.0       ERR129072
588       649       3               275              21.0       ERR067984
588       649       3               281              21.0       ERR069781
588       649       3               288              20.2       ERR069805
588       649       3               305              20.2       ERR129153
588       649       3               336              21.0       ERR069745
588       649       3               344              21.0       ERR129142
575       601       1               350              4.4        ERR129136
588       649       3               357              21.0       ERR124284
588       649       3               388              21.0       ERR129025
588       649       3               391              21.0       ERR129209
588       649       3               440              21.0       ERR129118
575       601       1               452              4.4        ERR129202
588       649       3               463              21.0       ERR129123
575       601       1               486              4.4        ERR129138
588       649       3               510              20.2       ERR124234
588       649       3               517              20.2       ERR065328
588       649       3               544              20.2       ERR069684
588       649       3               561              21.0       ERR069753
588       649       3               564              21.0       ERR069776
575       601       1               567              4.4        ERR129103
588       649       3               575              21.0       ERR069794
588       649       3               576              21.0       ERR124295
588       649       3               588              21.0       ERR068024
588       649       3               590              21.0       ERR065323
575       601       1               616              4.4        ERR129030
