2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         28        1               1                0.2        ERR069738
517       532       1               9                1.2        ERR069786
517       532       1               11               1.2        ERR129176
517       532       1               28               1.2        ERR124319
517       532       1               30               1.2        ERR129117
1         28        1               55               0.2        ERR129096
1         28        1               59               0.2        ERR129187
517       532       1               67               1.2        ERR069685
1         28        1               68               0.2        ERR124307
517       532       1               79               1.2        ERR065332
517       532       1               82               1.2        ERR129213
517       532       1               84               1.2        ERR129042
1         28        1               106              0.2        ERR068014
517       532       1               110              1.2        ERR124235
1         28        1               112              0.2        ERR129204
1         28        1               113              0.2        ERR129094
1         28        1               122              0.2        ERR069792
517       532       1               134              1.2        ERR069725
517       532       1               137              1.2        ERR129157
1         28        1               140              0.2        ERR068031
517       532       1               148              1.2        ERR124288
517       532       1               149              1.2        ERR129026
517       532       1               170              1.2        ERR069698
1         28        1               174              0.2        ERR065354
517       532       1               184              1.2        ERR124274
517       532       1               186              1.2        ERR069708
517       532       1               207              1.2        ERR124283
517       532       1               208              1.2        ERR065293
1         28        1               210              0.2        ERR069737
1         28        1               222              0.2        ERR124248
1         28        1               232              0.2        ERR129206
517       532       1               234              1.2        ERR124221
517       532       1               236              1.2        ERR068026
517       532       1               244              1.2        ERR065297
517       532       1               246              1.2        ERR129061
517       532       1               257              1.2        ERR129167
517       532       1               272              1.2        ERR069798
517       532       1               283              1.2        ERR065320
517       532       1               286              1.2        ERR124308
517       532       1               287              1.2        ERR129043
517       532       1               294              1.2        ERR065971
1         28        1               299              0.2        ERR069767
517       532       1               313              1.2        ERR124227
517       532       1               317              1.2        ERR069724
517       532       1               322              1.2        ERR129168
517       532       1               326              1.2        ERR065303
517       532       1               328              1.2        ERR068042
1         28        1               329              0.2        ERR069692
517       532       1               330              1.2        ERR124249
1         28        1               332              0.2        ERR069723
517       532       1               338              1.2        ERR129198
517       532       1               348              1.2        ERR067978
517       532       1               353              1.2        ERR068032
1         28        1               360              0.2        ERR124260
517       532       1               371              1.2        ERR124239
517       532       1               380              1.2        ERR068028
517       532       1               382              1.2        ERR068023
517       532       1               394              1.2        ERR129172
1         28        1               401              0.2        ERR129156
1         28        1               407              0.2        ERR069697
517       532       1               412              1.2        ERR124294
517       532       1               417              1.2        ERR124272
1         28        1               431              0.2        ERR069836
517       532       1               451              1.2        ERR124300
1         28        1               464              0.2        ERR067965
517       532       1               465              1.2        ERR065969
1         28        1               468              0.2        ERR069810
517       532       1               482              1.2        ERR069693
517       532       1               498              1.2        ERR129054
1         28        1               525              0.2        ERR068009
517       532       1               528              1.2        ERR129060
517       532       1               539              1.2        ERR069779
517       532       1               563              1.2        ERR068049
1         28        1               566              0.2        ERR069783
517       532       1               587              1.2        ERR124297
1         28        1               600              0.2        ERR129047
1         28        1               605              0.2        ERR129095
517       532       1               606              1.2        ERR124286
