StrainIndex  Lineage  Cluster  Name
1            5        8        ERR069738
2            1        1        ERR065974
3            4        7        ERR129065
4            5        6        ERR129037
5            3        5        ERR069700
6            3        2        ERR124247
7            2        4        ERR124222
8            4        7        ERR065305
9            5        8        ERR069786
10           5        8        ERR129179
11           2        4        ERR129176
12           2        3        ERR069709
13           5        6        ERR067985
14           2        4        ERR129212
15           5        8        ERR068037
16           5        8        ERR069814
17           5        8        ERR124241
18           4        7        ERR069795
19           5        8        ERR124293
20           5        8        ERR069735
21           3        5        ERR067966
22           5        8        ERR129029
23           3        5        ERR129105
24           4        7        ERR124226
25           3        5        ERR129196
26           5        8        ERR124319
27           2        3        ERR068001
28           2        4        ERR129117
29           5        8        ERR069764
30           5        8        ERR068007
31           4        7        ERR068008
32           3        5        ERR067969
33           5        8        ERR069703
34           3        5        ERR129195
35           5        6        ERR065325
36           5        8        ERR129087
37           5        8        ERR069819
38           4        7        ERR129129
39           5        6        ERR065960
40           4        7        ERR069796
41           5        6        ERR065326
42           3        5        ERR124244
43           2        4        ERR129075
44           5        6        ERR069713
45           4        7        ERR069826
46           1        1        ERR065341
47           4        7        ERR069771
48           2        4        ERR069706
49           4        7        ERR065970
50           1        1        ERR129130
51           5        8        ERR129096
52           4        7        ERR129107
53           3        5        ERR129187
54           3        5        ERR124314
55           5        8        ERR069686
56           5        8        ERR069824
57           5        8        ERR068048
58           4        7        ERR065972
59           2        4        ERR129164
60           5        8        ERR069688
61           5        8        ERR124307
62           5        8        ERR067962
63           5        8        ERR124257
64           5        6        ERR129127
65           3        5        ERR065301
66           5        8        ERR124287
67           4        7        ERR068025
68           5        6        ERR069811
69           5        6        ERR069727
70           4        7        ERR129063
71           4        7        ERR129028
72           4        7        ERR065287
73           2        4        ERR129213
74           4        7        ERR129155
75           2        4        ERR129042
76           5        8        ERR129148
77           5        8        ERR129146
78           5        8        ERR069729
79           5        6        ERR129152
80           2        4        ERR069748
81           2        4        ERR069843
82           4        7        ERR124229
