StrainIndex  Lineage  Cluster  Name
1            5        5        ERR065974
2            4        6        ERR129065
3            5        9        ERR129037
4            3        4        ERR069700
5            5        8        ERR124247
6            5        7        ERR124222
7            5        10       ERR065305
8            5        5        ERR069786
9            5        7        ERR129179
10           5        5        ERR129176
11           5        8        ERR069709
12           5        9        ERR067985
13           5        5        ERR129212
14           5        9        ERR069814
15           5        7        ERR124241
16           5        10       ERR069795
17           5        7        ERR124293
18           1        1        ERR069735
19           3        4        ERR067966
20           5        10       ERR129029
21           3        4        ERR129105
22           4        3        ERR124226
23           3        4        ERR129196
24           4        3        ERR069823
25           5        5        ERR124319
26           5        5        ERR068001
27           5        5        ERR129117
28           5        8        ERR069764
29           5        9        ERR068007
30           5        10       ERR068008
31           3        4        ERR067969
32           5        7        ERR069703
33           3        4        ERR129195
34           3        4        ERR065325
35           4        6        ERR124256
36           5        7        ERR129087
37           1        1        ERR069819
38           5        10       ERR129129
39           3        4        ERR065960
40           5        10       ERR069796
41           5        9        ERR065326
42           4        3        ERR069712
43           4        6        ERR124244
44           5        7        ERR129075
45           5        9        ERR069713
46           4        6        ERR069826
47           5        5        ERR065341
48           5        10       ERR069771
49           5        7        ERR069706
50           5        10       ERR065970
51           5        5        ERR129130
52           4        6        ERR129107
53           4        6        ERR069809
54           5        8        ERR129187
55           3        4        ERR124314
56           5        10       ERR069824
57           4        6        ERR068048
58           5        10       ERR065972
59           4        3        ERR129164
60           5        5        ERR069685
61           5        7        ERR067962
62           5        8        ERR124257
63           5        9        ERR129127
64           3        4        ERR065301
65           4        6        ERR124287
66           3        4        ERR068025
67           4        3        ERR067964
68           3        4        ERR069811
69           5        9        ERR069727
70           5        10       ERR129063
71           5        9        ERR065332
72           2        2        ERR129028
73           5        10       ERR065287
74           5        5        ERR129213
75           4        6        ERR129155
76           5        5        ERR129042
77           5        7        ERR129148
78           4        3        ERR069835
79           4        6        ERR129146
80           5        5        ERR129102
81           5        10       ERR069729
82           3        4        ERR129152
83           5        5        ERR069748
84           5        7        ERR069843
85           5        10       ERR124229
86           4        3        ERR129088
87           5        9        ERR069752
88           4        6        ERR065350
89           5        10       ERR129149
90           5        9        ERR129214
91           5        10       ERR069833
92           5        8        ERR124310
93           5        9        ERR068046
94           5        9        ERR129215
95           5        10       ERR129140
96           5        10       ERR069831
97           5        8        ERR068014
98           5        7        ERR124255
99           3        4        ERR065342
100          5        5        ERR124235
101          5        9        ERR129159
102          5        8        ERR129094
103          5        5        ERR069689
104          5        10       ERR069751
105          5        8        ERR068005
106          5        7        ERR069749
107          4        3        ERR067981
108          5        10       ERR129052
109          5        8        ERR069785
110          5        8        ERR069792
111          5        8        ERR124271
112          5        10       ERR069687
113          5        7        ERR124277
114          5        8        ERR129044
115          5        8        ERR065353
116          5        7        ERR129074
117          5        10       ERR069817
118          5        8        ERR065953
119          4        6        ERR129076
120          5        9        ERR129154
121          5        9        ERR069725
122          5        9        ERR068040
123          4        3        ERR129051
124          5        5        ERR129157
125          5        5        ERR124311
126          4        3        ERR069746
127          5        8        ERR068031
128          5        9        ERR067986
129          5        9        ERR124291
130          4        6        ERR129055
131          4        6        ERR069780
132          3        4        ERR065327
133          5        9        ERR069822
134          5        10       ERR129207
135          5        5        ERR124288
136          5        9        ERR129026
137          4        6        ERR068027
138          5        8        ERR069710
139          5        9        ERR065310
140          5        10       ERR129160
141          5        7        ERR065300
142          5        9        ERR069789
143          4        6        ERR069802
144          5        8        ERR129027
145          5        10       ERR129170
146          5        8        ERR129048
147          4        3        ERR065968
148          5        5        ERR065965
149          5        10       ERR068044
150          5        5        ERR129180
151          4        6        ERR068016
152          5        7        ERR065324
153          5        10       ERR129112
154          4        3        ERR129158
155          5        9        ERR069698
156          4        3        ERR069812
157          5        9        ERR124302
158          2        2        ERR129083
159          5        8        ERR065354
160          3        4        ERR069787
161          5        10       ERR068017
162          4        6        ERR129066
163          3        4        ERR129039
164          5        7        ERR065329
165          5        10       ERR124269
166          5        7        ERR129200
167          4        3        ERR068012
168          5        9        ERR124274
169          5        5        ERR067993
170          5        5        ERR069708
171          4        6        ERR129106
172          5        10       ERR069717
173          5        10       ERR067974
174          3        4        ERR069744
175          5        9        ERR129210
176          5        10       ERR129108
177          4        3        ERR129132
178          5        10       ERR069711
179          5        7        ERR068019
180          5        7        ERR129099
181          5        10       ERR129059
182          4        3        ERR065292
183          5        8        ERR069820
184          2        2        ERR129216
185          4        6        ERR129116
186          5        7        ERR124250
187          4        3        ERR069690
188          5        7        ERR065973
189          5        8        ERR065309
190          5        9        ERR124283
191          5        9        ERR065293
192          3        4        ERR069825
193          3        4        ERR069737
194          5        7        ERR124316
195          4        6        ERR065304
196          3        4        ERR129144
197          3        4        ERR124232
198          4        3        ERR068018
199          5        9        ERR124296
200          5        10       ERR067960
201          5        10       ERR068050
202          5        8        ERR068004
203          5        10       ERR129032
204          5        9        ERR068041
205          5        7        ERR129086
206          5        10       ERR065317
207          5        7        ERR069834
208          5        7        ERR069720
209          3        4        ERR129050
210          4        3        ERR129064
211          4        6        ERR069830
212          5        10       ERR069774
213          5        8        ERR129206
214          5        9        ERR069801
215          5        9        ERR124221
216          5        9        ERR129080
217          5        9        ERR068026
218          4        6        ERR129147
219          5        10       ERR069829
220          3        4        ERR129077
221          3        4        ERR067994
222          5        7        ERR069726
223          5        8        ERR129041
224          5        9        ERR065297
225          5        10       ERR129120
226          5        9        ERR129061
227          5        10       ERR124219
228          4        6        ERR065345
229          5        8        ERR124305
230          4        3        ERR069769
231          5        8        ERR065295
232          4        3        ERR069768
233          5        10       ERR129197
234          4        3        ERR065967
235          5        8        ERR069734
236          5        5        ERR129167
237          5        7        ERR129143
238          5        7        ERR124299
239          5        8        ERR129092
240          4        3        ERR129090
241          5        7        ERR068002
242          5        7        ERR068003
243          5        9        ERR124268
244          4        6        ERR129181
245          5        10       ERR069696
246          5        10       ERR129072
247          4        3        ERR065344
248          5        8        ERR129111
249          5        5        ERR068006
250          5        7        ERR068035
251          5        5        ERR069798
252          5        5        ERR124278
253          5        9        ERR069760
254          5        10       ERR067984
255          1        1        ERR069782
256          5        7        ERR124236
257          5        10       ERR068045
258          4        6        ERR065959
259          5        8        ERR129045
260          5        10       ERR069781
261          5        5        ERR069832
262          5        9        ERR065320
263          5        10       ERR129186
264          5        5        ERR124308
265          5        10       ERR069805
266          5        10       ERR124220
267          5        10       ERR069800
268          5        9        ERR068021
269          3        4        ERR067998
270          5        5        ERR065971
271          5        10       ERR129183
272          5        10       ERR068034
273          4        6        ERR065311
274          4        3        ERR068020
275          4        6        ERR067967
276          5        10       ERR069691
277          4        6        ERR129161
278          5        5        ERR069716
279          5        8        ERR124289
280          5        10       ERR129153
281          5        5        ERR129057
282          4        3        ERR067977
283          5        9        ERR129131
284          5        10       ERR069772
285          5        10       ERR124281
286          5        5        ERR069750
287          4        3        ERR069715
288          5        5        ERR124227
289          4        3        ERR069683
290          1        1        ERR069813
291          5        8        ERR124253
292          5        9        ERR069724
293          5        10       ERR065966
294          5        5        ERR069803
295          5        10       ERR124267
296          3        4        ERR124254
297          5        5        ERR129168
298          3        4        ERR124320
299          3        4        ERR065298
300          5        9        ERR069804
301          5        5        ERR065303
302          1        1        ERR065957
303          5        9        ERR068042
304          5        8        ERR069692
305          5        9        ERR124249
306          5        8        ERR069759
307          5        8        ERR069723
308          4        6        ERR067976
309          4        6        ERR065307
310          4        3        ERR065962
311          5        10       ERR069745
312          5        10       ERR129081
313          5        9        ERR129198
314          3        4        ERR069742
315          5        10       ERR069790
316          5        8        ERR069827
317          5        10       ERR129142
318          5        8        ERR124309
319          5        10       ERR069806
320          5        9        ERR129068
321          5        9        ERR067978
322          5        8        ERR069741
323          2        2        ERR129136
324          5        7        ERR129062
325          5        9        ERR068032
326          5        8        ERR065316
327          5        8        ERR124217
328          4        6        ERR067991
329          5        10       ERR124284
330          5        9        ERR129079
331          5        8        ERR069722
332          5        5        ERR069701
333          5        8        ERR129162
334          5        9        ERR124246
335          3        4        ERR065299
336          5        8        ERR129184
337          5        7        ERR124233
338          5        8        ERR124266
339          3        4        ERR069818
340          5        7        ERR068029
341          5        9        ERR124239
342          5        7        ERR124279
343          5        10       ERR129175
344          5        10       ERR065294
345          5        9        ERR129139
346          4        6        ERR068015
347          3        4        ERR129128
348          5        7        ERR129163
349          5        9        ERR068028
350          5        10       ERR065355
351          5        5        ERR068023
352          4        6        ERR069777
353          5        7        ERR069791
354          5        10       ERR124263
355          5        10       ERR069704
356          5        7        ERR129134
357          5        10       ERR129025
358          5        7        ERR065351
