StrainIndex  Lineage  Cluster  Name
1            2        7        ERR069738
2            2        7        ERR129065
3            2        7        ERR129037
4            2        2        ERR069700
5            2        7        ERR124247
6            2        3        ERR124222
7            2        7        ERR065305
8            2        5        ERR069786
9            2        7        ERR129179
10           2        7        ERR129176
11           2        6        ERR069709
12           2        7        ERR067985
13           2        6        ERR129212
14           2        7        ERR068037
15           2        7        ERR069814
16           2        7        ERR124241
17           2        7        ERR069795
18           2        7        ERR124293
19           2        5        ERR069735
20           2        7        ERR069773
21           2        2        ERR067966
22           2        7        ERR129029
23           2        6        ERR129105
24           2        6        ERR124226
25           2        6        ERR129196
26           2        6        ERR069823
27           1        4        ERR124319
28           2        6        ERR068001
29           2        7        ERR129117
30           2        7        ERR069764
31           2        7        ERR068007
32           2        7        ERR068008
33           2        2        ERR067969
34           2        7        ERR069703
35           2        6        ERR129195
36           2        7        ERR065325
37           2        6        ERR124256
38           2        7        ERR129087
39           2        5        ERR069819
40           2        7        ERR129129
41           2        7        ERR065960
42           2        7        ERR069796
43           2        7        ERR065326
44           2        6        ERR069712
45           1        1        ERR124244
46           2        3        ERR129075
47           2        7        ERR069713
48           2        7        ERR069826
49           2        7        ERR069771
50           2        3        ERR069706
51           2        7        ERR065970
52           2        7        ERR129096
53           2        7        ERR129107
54           2        6        ERR069809
55           2        7        ERR065302
56           1        4        ERR129187
57           2        2        ERR124314
58           2        7        ERR069686
59           2        7        ERR069824
60           2        6        ERR068048
61           2        7        ERR065972
62           2        2        ERR129164
63           2        7        ERR069688
64           2        5        ERR069685
65           2        7        ERR124307
66           2        7        ERR067962
67           2        7        ERR124257
68           2        7        ERR129127
69           2        6        ERR065301
70           2        7        ERR124287
71           2        5        ERR068025
72           2        6        ERR067964
73           2        5        ERR069811
74           2        7        ERR069727
75           2        7        ERR129063
76           2        5        ERR065332
77           1        4        ERR129028
78           2        7        ERR065287
79           2        7        ERR129213
80           2        7        ERR129155
81           2        7        ERR129042
82           2        7        ERR129148
83           2        7        ERR129040
84           2        6        ERR069835
85           2        7        ERR129146
86           2        7        ERR129102
87           2        7        ERR069729
88           2        5        ERR129152
89           2        6        ERR069748
90           2        3        ERR069843
91           2        7        ERR124229
92           2        2        ERR129088
93           2        7        ERR069752
94           2        6        ERR065350
95           2        7        ERR129149
96           2        7        ERR129214
97           2        7        ERR069833
98           2        5        ERR124310
99           2        7        ERR068046
100          2        7        ERR129215
101          2        7        ERR129140
102          2        7        ERR069831
103          2        7        ERR068014
104          2        7        ERR124315
105          2        3        ERR124255
106          2        6        ERR065342
107          2        7        ERR124235
108          2        7        ERR129159
109          2        7        ERR129204
110          2        7        ERR129094
111          2        6        ERR069689
112          2        7        ERR069751
113          2        6        ERR068005
114          2        7        ERR069749
115          2        2        ERR067981
116          2        7        ERR067996
117          2        7        ERR129052
118          2        6        ERR069785
119          2        7        ERR069792
120          1        4        ERR124271
121          2        7        ERR069687
122          2        7        ERR124277
123          2        6        ERR124228
124          2        6        ERR129044
125          2        6        ERR065353
126          2        7        ERR129074
127          2        7        ERR069817
128          2        6        ERR065953
129          2        7        ERR129076
130          2        7        ERR129154
131          2        5        ERR069725
132          2        7        ERR068040
133          2        6        ERR129051
134          2        7        ERR129157
135          1        4        ERR124311
136          2        6        ERR069746
137          2        7        ERR068031
138          2        7        ERR067986
139          2        7        ERR124291
140          2        7        ERR129055
141          2        7        ERR069780
142          2        5        ERR065327
143          2        7        ERR069822
144          2        7        ERR129207
145          1        4        ERR124288
146          2        5        ERR129026
147          2        6        ERR124218
148          2        7        ERR068027
149          2        6        ERR069710
150          2        7        ERR065310
151          2        7        ERR129160
152          2        7        ERR065300
153          2        7        ERR069789
154          2        7        ERR065343
155          2        7        ERR069802
156          2        6        ERR129027
157          2        7        ERR129170
158          2        5        ERR129048
159          2        6        ERR065968
160          2        7        ERR068044
161          2        6        ERR129180
162          2        7        ERR068016
163          2        7        ERR065324
164          2        7        ERR129112
165          2        2        ERR129158
166          2        5        ERR069698
167          2        6        ERR069812
168          2        7        ERR124302
169          1        4        ERR129083
170          2        7        ERR065354
171          2        2        ERR069787
172          2        7        ERR068017
173          2        7        ERR129066
174          2        5        ERR129039
175          2        7        ERR065329
176          2        7        ERR124269
177          2        7        ERR129200
178          2        7        ERR067995
179          2        2        ERR068012
180          2        5        ERR124274
181          2        7        ERR069708
182          1        4        ERR129106
183          2        7        ERR069717
184          2        7        ERR067974
185          2        2        ERR069744
186          2        7        ERR129210
187          2        7        ERR129108
188          2        6        ERR129132
189          2        7        ERR069711
190          2        7        ERR068019
191          2        7        ERR129099
192          2        7        ERR129059
193          2        6        ERR065292
194          2        6        ERR067961
195          2        5        ERR069820
196          1        4        ERR129216
197          2        7        ERR129116
198          2        5        ERR124250
199          2        6        ERR069690
200          2        3        ERR065973
201          2        5        ERR065309
202          2        5        ERR124283
203          2        5        ERR065293
204          2        5        ERR069825
205          2        7        ERR069737
206          2        7        ERR124316
207          2        7        ERR065304
208          2        6        ERR129144
209          2        5        ERR124232
210          2        6        ERR068018
211          2        7        ERR124296
212          2        7        ERR067960
213          2        7        ERR068050
214          2        7        ERR068039
215          2        6        ERR068004
216          2        7        ERR129032
217          2        7        ERR124248
218          2        7        ERR068041
219          2        7        ERR129086
220          2        7        ERR065317
221          2        7        ERR069834
222          2        3        ERR069720
223          2        7        ERR129050
224          2        6        ERR129064
225          2        7        ERR069830
226          2        7        ERR069774
227          2        7        ERR129206
228          2        7        ERR069801
229          2        5        ERR124221
230          2        7        ERR129080
231          2        5        ERR068026
232          2        7        ERR129147
233          2        7        ERR069829
234          2        6        ERR129077
235          2        5        ERR067994
236          2        7        ERR069726
237          2        7        ERR065338
238          1        4        ERR129041
239          2        5        ERR065297
240          2        7        ERR129120
241          2        5        ERR129061
242          2        7        ERR124219
243          2        7        ERR065345
244          2        5        ERR124305
245          2        6        ERR069769
246          2        5        ERR065295
