3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
313       340       2               28               1.9        ERR124319
313       340       2               122              1.7        ERR069792
313       340       2               140              1.7        ERR068031
313       340       2               148              1.9        ERR124288
313       340       2               174              1.7        ERR065354
313       340       2               189              1.7        ERR067974
313       340       2               210              1.7        ERR069737
70        76        2               219              0.5        ERR068039
313       340       2               280              1.7        ERR129045
313       340       2               329              1.7        ERR069692
313       340       2               332              1.7        ERR069723
343       359       2               396              1.2        ERR065315
313       340       2               407              1.5        ERR069697
313       340       2               412              1.9        ERR124294
343       359       2               460              1.2        ERR069739
313       340       2               468              1.7        ERR069810
313       340       2               503              1.9        ERR129110
343       359       2               568              1.2        ERR069695
313       340       2               587              1.9        ERR124297
313       340       2               598              1.9        ERR069808
313       340       2               606              1.9        ERR124286
