6 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1102      1149      4               2                4.4        ERR129065
1         313       1               6                11.2       ERR069814
1         313       1               13               11.2       ERR069703
1         313       1               15               11.2       ERR069819
484       541       4               16               3.2        ERR124244
1         313       1               21               11.2       ERR069824
1         313       1               31               11.2       ERR129215
1         313       1               33               11.1       ERR129159
616       624       1               33               5.1        ERR129159
484       541       4               40               3.2        ERR129026
1         313       1               46               11.2       ERR124302
1         313       1               62               10.0       ERR124219
881       1092      3               62               1.6        ERR124219
987       1113      1               64               3.5        ERR065295
1         313       1               65               11.2       ERR069782
1         313       1               67               11.2       ERR129045
1         313       1               73               11.2       ERR124289
1         313       1               80               11.2       ERR124309
1         313       1               82               11.2       ERR067978
1         313       1               88               11.2       ERR129184
1         313       1               104              11.2       ERR129202
1         313       1               114              11.2       ERR065964
484       541       4               124              3.4        ERR069840
1         313       1               131              11.2       ERR129103
1         313       1               139              11.2       ERR067979
1         313       1               140              11.2       ERR129211
1         313       1               143              11.2       ERR124298
