11 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
807       854       2               1                15.4       ERR069738
974       1022      5               2                3.3        ERR065974
1221      1351      1               2                3.5        ERR065974
1249      1362      4               4                3.4        ERR129037
1221      1362      1               5                3.5        ERR069700
1327      1429      5               7                3.6        ERR124222
997       1078      2               10               1.1        ERR129179
1283      1429      5               10               6.3        ERR129179
788       891       2               12               16.7       ERR069709
1023      1111      3               12               5.1        ERR069709
1249      1362      4               13               3.4        ERR067985
807       854       2               15               15.4       ERR068037
1249      1362      4               16               3.4        ERR069814
997       1078      2               17               1.1        ERR124241
1283      1429      5               17               6.3        ERR124241
997       1078      2               19               1.1        ERR124293
1283      1429      5               19               6.3        ERR124293
1221      1362      1               22               3.5        ERR067966
1249      1429      4               27               2.8        ERR069823
1133      1362      2               28               7.9        ERR124319
788       891       2               29               16.7       ERR068001
1023      1111      3               29               5.1        ERR068001
766       787       2               31               1.2        ERR069764
869       1282      2               31               1.7        ERR069764
1249      1362      4               32               3.4        ERR068007
1221      1362      1               34               3.5        ERR067969
997       1078      2               35               1.1        ERR069703
1283      1429      5               35               6.3        ERR069703
997       1078      2               39               1.1        ERR129087
1283      1429      5               39               6.3        ERR129087
1249      1362      4               44               3.4        ERR065326
1249      1362      4               46               3.1        ERR124244
1327      1429      5               47               3.6        ERR129075
1249      1362      4               48               3.4        ERR069713
974       1022      5               50               3.3        ERR065341
1221      1351      1               50               3.5        ERR065341
1327      1429      5               52               3.6        ERR069706
974       1022      5               54               3.3        ERR129130
1221      1351      1               54               3.5        ERR129130
807       854       2               55               15.4       ERR129096
766       787       2               59               1.2        ERR129187
869       1282      2               59               1.7        ERR129187
1221      1362      1               60               3.5        ERR124314
807       854       2               61               15.4       ERR069686
807       854       2               66               15.4       ERR069688
807       854       2               68               15.4       ERR124307
997       1078      2               69               1.1        ERR067962
1283      1429      5               69               6.3        ERR067962
1249      1362      4               70               3.4        ERR124257
1249      1362      4               71               3.4        ERR129127
1221      1362      1               73               3.4        ERR124287
1249      1429      4               75               2.8        ERR067964
