StrainIndex  Lineage  Cluster  Name
1            5        9        ERR069738
2            2        3        ERR065974
3            5        9        ERR129065
4            5        9        ERR129037
5            5        9        ERR069700
6            4        8        ERR124247
7            5        9        ERR124222
8            5        9        ERR065305
9            4        8        ERR069786
10           5        7        ERR129179
11           4        8        ERR129176
12           5        9        ERR069709
13           5        9        ERR067985
14           5        9        ERR129212
15           5        9        ERR068037
16           1        2        ERR069814
17           5        7        ERR124241
18           5        9        ERR069795
19           5        7        ERR124293
20           3        5        ERR069735
21           4        6        ERR069773
22           5        9        ERR067966
23           5        9        ERR129029
24           4        8        ERR129105
25           5        9        ERR124226
26           4        8        ERR129196
27           3        4        ERR069823
28           4        8        ERR124319
29           5        9        ERR068001
30           4        8        ERR129117
31           5        9        ERR069764
32           1        2        ERR068007
33           5        9        ERR068008
34           5        9        ERR067969
35           5        7        ERR069703
36           4        8        ERR129195
37           3        5        ERR065325
38           5        9        ERR124256
39           5        7        ERR129087
40           5        9        ERR069819
41           5        9        ERR129129
42           3        5        ERR065960
43           5        9        ERR069796
44           5        9        ERR065326
45           4        6        ERR069712
46           5        9        ERR124244
47           5        9        ERR129075
48           5        9        ERR069713
49           5        9        ERR069826
50           2        3        ERR065341
51           5        9        ERR069771
52           5        9        ERR069706
53           5        9        ERR065970
54           2        3        ERR129130
55           5        9        ERR129096
56           5        9        ERR129107
57           5        9        ERR069809
58           4        6        ERR065302
59           5        9        ERR129187
60           5        9        ERR124314
61           5        9        ERR069686
62           5        9        ERR069824
63           5        9        ERR068048
64           5        9        ERR065972
65           4        6        ERR129164
66           5        9        ERR069688
67           5        9        ERR069685
68           5        9        ERR124307
69           5        7        ERR067962
70           5        9        ERR124257
71           5        9        ERR129127
72           4        8        ERR065301
73           5        9        ERR124287
74           5        9        ERR068025
75           3        5        ERR067964
76           5        9        ERR069811
77           5        9        ERR069727
78           5        9        ERR129063
79           4        8        ERR065332
80           4        8        ERR129028
81           5        9        ERR065287
82           4        8        ERR129213
83           5        9        ERR129155
84           4        8        ERR129042
85           5        7        ERR129148
86           4        6        ERR129040
87           3        4        ERR069835
88           5        9        ERR129146
89           5        9        ERR129102
90           5        9        ERR069729
91           5        9        ERR129152
92           5        9        ERR069748
93           5        9        ERR069843
94           5        9        ERR124229
95           4        6        ERR129088
96           5        9        ERR069752
97           5        9        ERR065350
98           5        9        ERR129149
99           5        9        ERR129214
100          5        9        ERR069833
101          5        9        ERR124310
102          5        9        ERR068046
103          5        9        ERR129215
104          5        9        ERR129140
105          5        9        ERR069831
106          3        5        ERR068014
107          5        9        ERR124315
108          5        9        ERR124255
109          4        8        ERR065342
110          4        8        ERR124235
111          5        9        ERR129159
112          5        9        ERR129204
113          3        5        ERR129094
114          5        9        ERR069689
115          5        9        ERR069751
116          5        9        ERR068005
117          5        7        ERR069749
118          4        6        ERR067981
119          5        9        ERR067996
120          5        9        ERR129052
121          5        9        ERR069785
122          5        9        ERR069792
123          5        9        ERR124271
124          5        9        ERR069687
125          5        7        ERR124277
126          5        9        ERR124228
127          4        6        ERR129044
128          5        9        ERR065353
129          5        7        ERR129074
130          5        9        ERR069817
131          5        9        ERR065953
132          5        9        ERR129076
133          5        9        ERR129154
134          4        8        ERR069725
135          5        9        ERR068040
136          4        6        ERR129051
137          4        8        ERR129157
138          5        9        ERR124311
139          3        4        ERR069746
140          5        9        ERR068031
141          5        9        ERR067986
142          5        9        ERR124291
143          5        9        ERR129055
144          5        9        ERR069780
145          5        9        ERR065327
146          5        9        ERR069822
147          5        9        ERR129207
148          4        8        ERR124288
149          4        8        ERR129026
150          5        9        ERR124218
151          5        9        ERR068027
152          5        9        ERR069710
153          5        9        ERR065310
154          5        9        ERR129160
155          5        7        ERR065300
156          5        9        ERR069789
157          5        9        ERR065343
158          5        9        ERR069802
159          5        9        ERR129027
160          5        9        ERR129170
161          5        9        ERR129048
162          4        6        ERR065968
163          2        3        ERR065965
164          5        9        ERR068044
165          5        9        ERR129180
166          5        9        ERR068016
167          5        7        ERR065324
168          5        9        ERR129112
169          4        6        ERR129158
170          4        8        ERR069698
171          3        4        ERR069812
172          5        9        ERR124302
173          4        8        ERR129083
174          5        9        ERR065354
175          5        9        ERR069787
176          5        9        ERR068017
177          5        9        ERR129066
178          5        9        ERR129039
179          5        7        ERR065329
180          5        9        ERR124269
181          5        7        ERR129200
182          4        8        ERR067995
183          4        6        ERR068012
184          4        8        ERR124274
185          2        3        ERR067993
186          4        8        ERR069708
187          5        9        ERR129106
188          5        9        ERR069717
189          5        9        ERR067974
190          5        9        ERR069744
191          5        9        ERR129210
192          5        9        ERR129108
193          4        6        ERR129132
194          5        9        ERR069711
195          5        7        ERR068019
196          5        7        ERR129099
197          5        9        ERR129059
198          3        4        ERR065292
199          5        9        ERR067961
200          5        9        ERR069820
201          4        8        ERR129216
202          5        9        ERR129116
203          5        7        ERR124250
204          4        6        ERR069690
205          5        9        ERR065973
206          5        9        ERR065309
207          4        8        ERR124283
208          4        8        ERR065293
209          5        9        ERR069825
210          3        5        ERR069737
211          5        7        ERR124316
212          5        9        ERR065304
213          4        8        ERR129144
214          5        9        ERR124232
215          4        6        ERR068018
216          5        9        ERR124296
217          5        9        ERR067960
218          5        9        ERR068050
219          4        6        ERR068039
220          5        9        ERR068004
221          5        9        ERR129032
222          5        9        ERR124248
223          5        9        ERR068041
224          5        7        ERR129086
225          5        9        ERR065317
226          5        7        ERR069834
227          5        9        ERR069720
228          3        5        ERR129050
229          3        5        ERR129064
230          5        9        ERR069830
231          5        9        ERR069774
232          3        5        ERR129206
233          5        9        ERR069801
234          4        8        ERR124221
235          5        9        ERR129080
236          4        8        ERR068026
237          5        9        ERR129147
238          5        9        ERR069829
239          3        5        ERR129077
240          5        9        ERR067994
241          5        7        ERR069726
242          4        8        ERR065338
243          5        9        ERR129041
244          4        8        ERR065297
245          5        9        ERR129120
246          4        8        ERR129061
247          5        9        ERR124219
248          5        9        ERR065345
249          5        9        ERR124305
250          5        9        ERR069769
251          5        9        ERR065295
252          4        6        ERR069768
253          5        9        ERR129197
254          3        4        ERR065967
255          5        9        ERR124223
256          5        9        ERR069734
257          4        8        ERR129167
258          5        7        ERR129143
259          5        7        ERR124299
260          5        9        ERR129092
261          4        6        ERR129090
262          5        7        ERR068002
263          5        9        ERR068003
264          5        9        ERR124268
265          5        9        ERR129181
266          5        9        ERR069696
267          5        9        ERR129072
268          3        4        ERR065344
269          5        9        ERR129111
270          5        9        ERR068006
271          5        9        ERR068035
272          5        9        ERR069798
273          2        3        ERR124278
274          5        9        ERR069760
275          5        9        ERR067984
276          5        9        ERR069782
277          5        7        ERR124236
278          5        9        ERR068045
279          5        9        ERR065959
280          3        5        ERR129045
281          5        9        ERR069781
282          5        9        ERR069832
283          4        8        ERR065320
284          5        9        ERR124292
285          5        9        ERR129186
286          4        8        ERR124308
287          4        8        ERR129043
288          5        9        ERR069805
289          5        9        ERR124220
290          5        9        ERR069800
291          5        9        ERR068021
292          4        8        ERR067998
293          5        9        ERR124312
294          5        9        ERR065971
295          5        9        ERR129183
296          5        9        ERR068034
297          5        9        ERR065311
298          4        6        ERR068020
299          5        9        ERR069767
300          5        9        ERR067967
301          5        9        ERR069691
302          5        9        ERR129161
303          5        9        ERR069716
304          5        9        ERR124289
305          5        9        ERR129153
306          5        9        ERR129057
307          4        6        ERR067977
308          5        9        ERR129131
309          5        9        ERR069772
310          5        9        ERR124281
311          5        9        ERR069750
312          4        6        ERR069715
313          4        8        ERR124227
314          1        2        ERR069683
315          5        9        ERR069813
316          5        9        ERR124253
317          4        8        ERR069724
318          5        9        ERR065966
319          2        3        ERR069803
320          5        9        ERR124267
321          5        9        ERR124254
322          5        9        ERR129168
323          4        8        ERR124320
324          5        9        ERR065298
325          5        9        ERR069804
326          4        8        ERR065303
327          5        9        ERR065957
328          4        8        ERR068042
329          5        9        ERR069692
330          4        8        ERR124249
331          5        9        ERR069759
332          5        9        ERR069723
333          5        9        ERR067976
334          5        9        ERR065307
335          3        4        ERR065962
336          5        9        ERR069745
337          5        9        ERR129081
338          4        8        ERR129198
339          1        2        ERR069742
340          5        9        ERR069718
341          5        9        ERR124224
342          5        9        ERR069790
343          5        9        ERR069827
344          5        9        ERR129142
345          5        9        ERR124309
346          5        9        ERR069806
347          5        9        ERR129068
348          4        8        ERR067978
349          5        9        ERR069741
350          4        8        ERR129136
351          5        9        ERR129062
352          5        9        ERR129203
353          4        8        ERR068032
354          5        9        ERR065316
355          5        9        ERR124217
356          5        9        ERR067991
357          5        9        ERR124284
358          5        9        ERR129079
359          5        9        ERR069722
360          5        9        ERR124260
361          5        9        ERR069701
362          5        9        ERR129162
363          4        6        ERR129124
364          5        9        ERR124246
365          3        5        ERR065299
366          5        9        ERR129184
367          5        9        ERR124233
368          5        9        ERR124266
369          4        8        ERR069818
370          5        7        ERR068029
371          4        8        ERR124239
372          5        7        ERR124279
373          5        9        ERR129175
374          1        2        ERR065294
375          5        9        ERR129139
376          5        9        ERR069778
377          5        9        ERR068015
378          5        9        ERR129128
379          5        7        ERR129163
380          4        8        ERR068028
381          5        9        ERR065355
382          4        8        ERR068023
383          4        8        ERR069777
384          5        9        ERR069791
385          5        9        ERR124263
386          5        9        ERR069704
387          5        7        ERR129134
388          5        9        ERR129025
389          5        7        ERR065351
390          5        9        ERR069807
391          5        9        ERR129209
392          5        9        ERR069761
393          5        9        ERR129034
394          5        9        ERR129172
395          5        9        ERR124240
396          5        9        ERR065315
397          5        9        ERR065346
398          5        9        ERR069731
399          5        9        ERR069828
400          3        4        ERR069755
401          5        9        ERR129156
402          5        7        ERR067988
403          4        8        ERR069714
404          5        9        ERR068036
405          5        9        ERR129071
406          5        7        ERR129035
407          5        9        ERR069697
408          5        9        ERR065306
409          5        9        ERR069838
410          5        9        ERR065313
411          5        9        ERR129038
412          4        8        ERR124294
413          5        9        ERR124243
414          5        9        ERR067975
415          5        9        ERR129046
416          4        8        ERR129053
417          4        8        ERR124272
418          2        3        ERR065289
419          3        5        ERR124285
420          4        6        ERR129126
421          3        1        ERR129151
422          5        9        ERR124225
423          4        6        ERR065321
424          5        9        ERR068011
425          5        9        ERR124264
426          5        9        ERR069707
427          5        9        ERR124252
428          5        9        ERR129082
429          5        9        ERR069743
430          5        9        ERR067980
431          5        9        ERR069836
432          5        9        ERR068047
433          5        9        ERR065288
434          5        9        ERR124258
435          5        9        ERR065314
436          5        7        ERR124301
437          5        9        ERR129091
438          5        9        ERR067982
439          5        9        ERR124276
440          5        9        ERR129118
441          5        9        ERR065318
442          4        8        ERR068010
443          5        9        ERR129067
444          5        9        ERR065349
445          4        8        ERR068030
446          5        7        ERR069728
447          5        9        ERR067997
448          5        9        ERR065291
449          5        9        ERR069730
450          5        9        ERR069763
451          4        8        ERR124300
452          4        8        ERR129202
453          5        7        ERR124290
454          5        9        ERR129178
455          2        3        ERR069841
456          5        9        ERR065955
457          5        9        ERR129121
458          5        9        ERR067968
459          5        9        ERR069739
460          5        9        ERR069766
461          3        4        ERR069765
462          5        9        ERR129123
463          5        9        ERR067965
464          5        9        ERR065969
465          5        9        ERR069842
466          5        9        ERR129185
467          5        9        ERR069810
468          5        9        ERR129174
469          5        9        ERR124318
470          5        9        ERR129177
471          1        2        ERR065352
472          4        6        ERR129113
473          5        9        ERR069839
474          4        8        ERR129182
475          5        9        ERR069788
476          5        9        ERR067983
477          5        9        ERR069784
478          5        9        ERR065347
479          5        9        ERR065290
480          5        9        ERR065322
481          4        8        ERR069693
482          5        9        ERR129169
483          4        6        ERR068013
484          5        9        ERR124242
485          4        8        ERR129138
486          5        9        ERR065337
487          5        9        ERR129137
488          3        4        ERR124231
489          5        9        ERR129036
490          4        6        ERR124304
491          2        3        ERR065296
492          5        9        ERR065308
493          5        9        ERR065958
494          4        6        ERR124282
495          5        9        ERR067989
496          5        9        ERR129078
497          4        8        ERR129054
498          5        9        ERR069747
499          3        5        ERR069732
500          5        9        ERR129208
501          5        9        ERR124251
502          4        6        ERR129110
503          5        9        ERR065975
504          5        9        ERR129135
505          5        9        ERR069699
506          5        9        ERR069702
507          5        9        ERR069793
508          5        7        ERR129119
509          5        9        ERR124234
510          5        7        ERR124273
511          5        9        ERR068038
512          5        9        ERR068043
513          5        9        ERR065964
514          5        9        ERR129125
515          5        9        ERR069705
516          5        9        ERR065328
517          5        9        ERR129031
518          5        9        ERR129049
519          5        9        ERR129205
520          4        8        ERR069799
521          5        9        ERR067990
522          5        9        ERR069694
523          4        6        ERR129058
524          3        5        ERR068009
525          5        9        ERR124303
526          3        4        ERR065330
527          4        8        ERR129060
