1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
398       734       3               31               17.2       ERR069764
398       734       3               59               16.6       ERR129187
398       734       3               106              16.6       ERR068014
398       734       3               113              16.6       ERR129094
398       734       3               122              17.2       ERR069792
398       734       3               140              17.2       ERR068031
398       734       3               174              17.2       ERR065354
398       734       3               232              16.6       ERR129206
398       734       3               265              17.2       ERR129181
697       789       3               327              1.2        ERR065957
398       734       3               329              17.2       ERR069692
398       734       3               332              17.2       ERR069723
398       734       3               407              17.2       ERR069697
398       734       3               468              17.2       ERR069810
398       734       3               525              16.6       ERR068009
398       734       3               600              16.6       ERR129047
398       734       3               605              16.6       ERR129095
