6 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
52        157       5               21               0.1        ERR069773
462       623       5               21               4.7        ERR069773
52        157       5               58               0.1        ERR065302
462       623       5               58               4.7        ERR065302
119       140       3               84               8.3        ERR129042
227       235       3               84               2.9        ERR129042
52        157       5               86               0.1        ERR129040
462       623       5               86               4.7        ERR129040
119       140       3               166              7.9        ERR068016
227       235       3               166              2.7        ERR068016
119       140       3               177              7.9        ERR129066
227       235       3               177              2.7        ERR129066
119       140       3               186              8.3        ERR069708
227       235       3               186              2.9        ERR069708
119       140       3               209              8.1        ERR069825
227       235       5               209              2.8        ERR069825
119       140       3               212              7.9        ERR065304
227       235       3               212              2.7        ERR065304
52        157       5               219              0.1        ERR068039
462       623       5               219              4.7        ERR068039
119       140       3               279              7.9        ERR065959
227       235       3               279              2.7        ERR065959
119       140       3               286              8.3        ERR124308
227       235       3               286              2.9        ERR124308
119       140       3               326              8.3        ERR065303
227       235       3               326              2.9        ERR065303
119       140       3               356              7.9        ERR067991
227       235       3               356              2.7        ERR067991
52        157       5               363              0.1        ERR129124
462       623       5               363              4.7        ERR129124
119       140       3               382              8.3        ERR068023
227       235       3               382              2.9        ERR068023
119       140       3               411              7.9        ERR129038
227       235       3               411              2.7        ERR129038
52        157       5               423              0.1        ERR065321
462       623       5               423              4.7        ERR065321
227       235       3               445              2.7        ERR068030
1         203       1               523              16.0       ERR069694
52        157       5               534              0.1        ERR129188
462       623       5               534              4.7        ERR129188
52        157       5               537              0.1        ERR129056
462       623       5               537              4.7        ERR129056
462       615       5               541              2.8        ERR069775
119       140       3               572              7.9        ERR124230
227       235       3               572              2.7        ERR124230
