1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
116       140       4               11               8.8        ERR129176
116       140       4               28               8.8        ERR124319
116       140       4               30               8.8        ERR129117
116       140       4               40               8.8        ERR069819
116       140       4               67               8.8        ERR069685
116       140       4               82               8.8        ERR129213
116       140       4               84               8.8        ERR129042
116       140       4               89               8.8        ERR129102
116       140       4               110              8.8        ERR124235
116       140       4               137              8.8        ERR129157
116       140       4               148              8.8        ERR124288
116       140       4               186              8.8        ERR069708
116       140       4               229              8.8        ERR129064
116       140       4               272              8.8        ERR069798
116       140       4               276              8.8        ERR069782
116       140       4               286              8.8        ERR124308
116       140       4               287              8.8        ERR129043
116       140       4               294              8.8        ERR065971
116       140       4               313              8.8        ERR124227
116       140       4               315              8.8        ERR069813
116       140       4               322              8.8        ERR129168
116       140       4               326              8.8        ERR065303
116       140       4               327              9.7        ERR065957
116       140       4               382              8.8        ERR068023
116       140       4               394              8.8        ERR129172
116       140       4               396              9.7        ERR065315
116       140       4               405              8.8        ERR129071
116       140       4               412              8.8        ERR124294
116       140       4               445              8.8        ERR068030
116       140       4               460              9.7        ERR069739
116       140       4               465              8.8        ERR065969
116       140       4               482              8.8        ERR069693
116       140       4               539              8.8        ERR069779
116       140       4               568              9.7        ERR069695
116       140       4               587              8.8        ERR124297
116       140       4               606              8.8        ERR124286
