2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
299       304       2               25               1.6        ERR124226
86        112       4               27               1.1        ERR069823
86        112       4               38               1.1        ERR124256
86        112       4               57               1.1        ERR069809
86        112       4               63               1.1        ERR068048
86        112       4               65               1.1        ERR129164
86        112       4               75               1.1        ERR067964
86        112       4               87               1.1        ERR069835
86        112       4               95               1.1        ERR129088
86        112       4               97               1.1        ERR065350
86        112       4               118              1.1        ERR067981
86        112       4               139              1.1        ERR069746
86        112       4               169              1.1        ERR129158
86        112       4               171              1.1        ERR069812
86        112       4               183              1.1        ERR068012
86        112       4               198              1.1        ERR065292
299       304       2               229              1.6        ERR129064
299       304       2               250              1.6        ERR069769
86        112       4               254              1.1        ERR065967
86        112       4               268              1.1        ERR065344
86        112       4               314              1.1        ERR069683
86        112       4               335              1.1        ERR065962
86        112       4               398              1.1        ERR069731
86        112       4               400              1.1        ERR069755
86        112       4               419              1.1        ERR124285
86        112       4               420              1.1        ERR129126
86        112       4               462              1.1        ERR069765
86        112       4               479              1.1        ERR065347
86        112       4               489              1.1        ERR124231
86        112       4               500              1.1        ERR069732
86        112       4               527              1.1        ERR065330
86        112       4               532              1.1        ERR069719
86        112       4               543              1.1        ERR069770
86        112       4               551              1.1        ERR069721
86        112       4               562              1.1        ERR129199
86        112       4               581              1.1        ERR069740
86        112       4               608              1.1        ERR129201
