StrainIndex  Lineage  Cluster  Name
1            3        3        ERR124222
2            3        3        ERR129075
3            3        3        ERR069843
4            3        3        ERR124255
5            1        1        ERR124271
6            2        2        ERR124218
7            2        2        ERR069820
8            3        3        ERR065973
9            3        3        ERR069720
10           1        1        ERR129041
11           3        3        ERR068035
12           2        2        ERR067967
13           1        1        ERR124289
14           1        1        ERR124309
15           3        3        ERR129062
16           1        1        ERR129184
17           3        3        ERR124233
18           2        2        ERR068015
19           3        3        ERR068036
20           2        2        ERR124258
21           1        1        ERR065318
22           3        3        ERR129036
23           3        3        ERR129031
24           3        3        ERR129049
25           3        3        ERR067990
26           2        2        ERR124306
27           2        2        ERR129084
28           3        3        ERR129193
29           2        2        ERR065312
