StrainIndex  Lineage  Cluster  Name
1            3        7        ERR069738
2            2        3        ERR065974
3            3        6        ERR129065
4            4        10       ERR129037
5            3        8        ERR069700
6            4        2        ERR124247
7            4        10       ERR124222
8            4        10       ERR065305
9            4        10       ERR069786
10           4        9        ERR129179
11           3        8        ERR129176
12           4        10       ERR069709
13           4        10       ERR067985
14           3        8        ERR129212
15           3        7        ERR068037
16           4        10       ERR069814
17           4        9        ERR124241
18           4        10       ERR069795
19           4        9        ERR124293
20           3        8        ERR069735
21           4        10       ERR069773
22           3        8        ERR067966
23           3        6        ERR129029
24           4        10       ERR129105
25           4        10       ERR124226
26           4        10       ERR129196
27           3        7        ERR069823
28           3        8        ERR124319
29           4        10       ERR068001
30           3        8        ERR129117
31           4        10       ERR069764
32           4        10       ERR068007
33           4        10       ERR068008
34           3        8        ERR067969
35           4        9        ERR069703
36           4        10       ERR129195
37           4        10       ERR065325
38           3        7        ERR124256
39           4        9        ERR129087
40           3        8        ERR069819
41           4        10       ERR129129
42           4        10       ERR065960
43           4        10       ERR069796
44           4        10       ERR065326
45           4        10       ERR069712
46           4        10       ERR124244
47           4        10       ERR129075
48           4        10       ERR069713
49           3        6        ERR069826
50           2        3        ERR065341
51           4        10       ERR069771
52           4        10       ERR069706
53           4        10       ERR065970
54           2        3        ERR129130
55           3        7        ERR129096
56           3        6        ERR129107
57           3        7        ERR069809
58           4        10       ERR065302
59           4        10       ERR129187
60           3        8        ERR124314
61           3        7        ERR069686
62           4        10       ERR069824
63           3        7        ERR068048
64           4        10       ERR065972
65           3        8        ERR129164
66           3        7        ERR069688
67           4        4        ERR069685
68           3        7        ERR124307
69           4        9        ERR067962
70           4        2        ERR124257
71           4        10       ERR129127
72           4        10       ERR065301
73           4        4        ERR124287
74           4        10       ERR068025
75           3        7        ERR067964
76           4        10       ERR069811
77           4        10       ERR069727
78           4        10       ERR129063
79           3        5        ERR065332
80           4        10       ERR129028
81           4        10       ERR065287
82           3        8        ERR129213
83           3        6        ERR129155
84           3        8        ERR129042
85           4        9        ERR129148
86           4        10       ERR129040
87           3        7        ERR069835
88           4        4        ERR129146
89           4        9        ERR129102
90           4        10       ERR069729
91           4        10       ERR129152
92           3        8        ERR069748
93           4        10       ERR069843
94           4        10       ERR124229
95           3        8        ERR129088
96           4        10       ERR069752
97           3        7        ERR065350
98           4        10       ERR129149
