3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         146       3               3                0.4        ERR129065
309       490       4               5                1.3        ERR069700
1         146       3               9                0.4        ERR069786
1         146       3               11               1.3        ERR129176
309       490       4               12               1.3        ERR069709
1         162       3               20               1.3        ERR069735
309       490       4               22               1.3        ERR067966
1         146       3               28               0.4        ERR124319
309       490       4               29               1.3        ERR068001
1         146       3               30               1.3        ERR129117
1         162       3               31               1.3        ERR069764
309       490       4               34               1.3        ERR067969
107       146       3               37               2.1        ERR065325
1         162       3               40               1.3        ERR069819
107       146       3               42               2.1        ERR065960
262       347       3               46               1.8        ERR124244
1         146       3               49               0.4        ERR069826
107       146       3               51               2.1        ERR069771
1         146       3               56               0.4        ERR129107
107       146       3               59               2.1        ERR129187
309       490       4               60               1.3        ERR124314
1         146       3               67               0.4        ERR069685
1         146       3               82               1.3        ERR129213
1         146       3               83               0.4        ERR129155
1         146       3               84               1.3        ERR129042
1         146       3               89               0.4        ERR129102
107       146       3               106              1.7        ERR068014
1         146       3               110              1.3        ERR124235
107       146       3               113              2.1        ERR129094
309       490       4               116              1.3        ERR068005
107       146       3               122              2.1        ERR069792
309       490       4               128              1.3        ERR065353
309       490       4               131              1.3        ERR065953
1         146       3               137              1.3        ERR129157
107       146       3               140              2.1        ERR068031
1         146       3               144              0.4        ERR069780
1         146       3               148              0.4        ERR124288
1         146       3               150              0.4        ERR124218
1         146       3               151              0.4        ERR068027
309       490       4               152              1.3        ERR069710
1         146       3               158              0.4        ERR069802
309       490       4               159              1.3        ERR129027
107       146       3               174              2.1        ERR065354
309       490       4               175              1.3        ERR069787
1         146       3               186              1.3        ERR069708
1         146       3               187              0.4        ERR129106
309       490       4               190              1.3        ERR069744
1         146       3               202              0.4        ERR129116
309       490       4               209              1.3        ERR069825
107       146       3               210              2.1        ERR069737
309       490       4               220              1.3        ERR068004
107       146       3               228              2.1        ERR129050
1         146       3               229              0.4        ERR129064
1         146       3               230              0.4        ERR069830
107       146       3               232              2.1        ERR129206
1         146       3               237              0.4        ERR129147
1         146       3               248              0.4        ERR065345
107       146       3               253              2.1        ERR129197
309       490       4               255              1.3        ERR124223
309       490       4               256              1.3        ERR069734
1         162       3               257              1.3        ERR129167
309       490       4               260              1.3        ERR129092
1         146       3               272              0.4        ERR069798
1         162       3               276              1.3        ERR069782
107       146       3               281              2.1        ERR069781
1         146       3               286              1.3        ERR124308
1         146       3               287              1.3        ERR129043
1         146       3               294              0.4        ERR065971
1         146       3               297              0.4        ERR065311
1         146       3               300              0.4        ERR067967
1         146       3               302              0.4        ERR129161
1         146       3               313              1.3        ERR124227
1         162       3               315              1.3        ERR069813
1         146       3               322              0.4        ERR129168
1         146       3               326              1.3        ERR065303
1         162       3               327              1.3        ERR065957
107       146       3               329              2.1        ERR069692
309       490       4               331              1.3        ERR069759
107       146       3               332              2.1        ERR069723
1         146       3               339              0.4        ERR069742
309       490       4               343              1.3        ERR069827
309       490       4               349              1.3        ERR069741
1         162       3               359              1.3        ERR069722
107       146       3               365              2.1        ERR065299
1         146       3               374              0.4        ERR065294
1         146       3               377              0.4        ERR068015
309       490       4               378              1.3        ERR129128
1         146       3               382              1.3        ERR068023
1         146       3               383              0.4        ERR069777
1         162       3               390              1.3        ERR069807
1         146       3               394              0.4        ERR129172
1         146       3               397              0.4        ERR065346
1         146       3               405              0.4        ERR129071
107       146       3               407              2.1        ERR069697
1         162       3               408              1.3        ERR065306
1         162       3               409              1.3        ERR069838
1         146       3               412              0.4        ERR124294
1         146       3               421              0.4        ERR129151
1         146       3               429              0.4        ERR069743
1         146       3               430              0.4        ERR067980
1         146       3               434              0.4        ERR124258
1         162       3               444              1.3        ERR065349
309       490       4               450              1.3        ERR069763
1         146       3               456              0.4        ERR065955
1         146       3               464              0.4        ERR065969
107       146       3               467              2.1        ERR069810
1         146       3               471              0.4        ERR065352
309       490       4               475              1.3        ERR069788
309       490       4               477              1.3        ERR069784
1         146       3               480              0.4        ERR065322
1         146       3               481              0.4        ERR069693
309       490       4               498              1.3        ERR069747
1         146       3               500              0.4        ERR129208
309       490       4               512              1.3        ERR068043
1         146       3               522              0.4        ERR069694
107       146       3               524              2.1        ERR068009
309       490       4               525              1.3        ERR124303
1         146       3               537              0.4        ERR124245
1         146       3               538              0.4        ERR069779
1         146       3               544              0.4        ERR124306
1         146       3               547              0.4        ERR069815
1         162       3               549              1.3        ERR129192
1         146       3               557              0.4        ERR065339
1         146       3               559              0.4        ERR124238
309       490       4               569              1.3        ERR129115
1         162       3               570              1.3        ERR068022
1         146       3               576              0.4        ERR067973
309       490       4               581              1.3        ERR065963
1         146       3               586              0.4        ERR124297
1         146       3               592              0.4        ERR129141
107       146       3               597              2.1        ERR069808
107       146       3               599              2.1        ERR129047
1         146       3               601              0.4        ERR065312
1         146       3               602              0.4        ERR065348
309       490       4               603              1.3        ERR067979
107       146       3               604              2.1        ERR129095
1         146       3               605              0.4        ERR124286
1         146       3               613              0.4        ERR129122
1         146       3               614              0.4        ERR129100
